task_index,total_latency_ms,scheduling_latency_ms,execution_latency_ms
0,275300.98,0.00,0.00
1,249671.22,0.00,0.00
2,262436.15,0.00,0.00
3,238312.24,0.00,0.00
4,253474.95,0.00,0.00
5,221779.11,0.00,0.00
6,241497.99,0.00,0.00
7,208356.62,0.00,0.00
8,229401.59,0.00,0.00
9,192956.21,0.00,0.00
10,213352.44,0.00,0.00
11,177750.35,0.00,0.00
12,201123.95,0.00,0.00
13,160840.51,0.00,0.00
14,193677.66,0.00,0.00
15,147222.04,0.00,0.00
16,177773.00,0.00,0.00
17,133004.67,0.00,0.00
18,167940.14,0.00,0.00
19,120230.67,0.00,0.00
20,155811.79,0.00,0.00
21,109921.93,0.00,0.00
22,99553.11,0.00,0.00
23,145341.16,0.00,0.00
24,137350.80,0.00,0.00
25,102575.06,0.00,0.00
26,128047.70,0.00,0.00
27,93979.60,0.00,0.00
28,119531.63,0.00,0.00
29,110075.00,0.00,0.00
30,102718.59,0.00,0.00
31,99868.30,0.00,0.00
32,104110.72,0.00,0.00
33,107785.46,0.00,0.00
34,113932.85,0.00,0.00
35,120328.19,0.00,0.00
36,106657.27,0.00,0.00
37,111439.23,0.00,0.00
38,100901.60,0.00,0.00
39,112400.77,0.00,0.00
40,114218.47,0.00,0.00
41,123420.48,0.00,0.00
42,113664.63,0.00,0.00
43,120480.06,0.00,0.00
44,106974.36,0.00,0.00
45,116979.60,0.00,0.00
46,103627.68,0.00,0.00
47,98164.32,0.00,0.00
48,117418.05,0.00,0.00
49,97340.35,0.00,0.00
50,116059.78,0.00,0.00
51,116158.49,0.00,0.00
52,114345.07,0.00,0.00
53,110787.39,0.00,0.00
54,147863.86,0.00,0.00
55,129114.63,0.00,0.00
56,151174.07,0.00,0.00
57,121525.76,0.00,0.00
58,146937.61,0.00,0.00
59,113495.83,0.00,0.00
60,135087.49,0.00,0.00
61,134732.96,0.00,0.00
62,132890.70,0.00,0.00
63,138499.02,0.00,0.00
64,155970.10,0.00,0.00
65,138876.91,0.00,0.00
66,155303.48,0.00,0.00
67,137319.56,0.00,0.00
68,158561.47,0.00,0.00
69,132771.97,0.00,0.00
70,154830.69,0.00,0.00
71,121958.26,0.00,0.00
72,141809.94,0.00,0.00
73,114843.85,0.00,0.00
74,133430.48,0.00,0.00
75,107650.52,0.00,0.00
76,126399.04,0.00,0.00
77,102025.75,0.00,0.00
78,122202.16,0.00,0.00
79,118875.74,0.00,0.00
80,119005.44,0.00,0.00
81,130640.03,0.00,0.00
82,116201.16,0.00,0.00
83,125460.86,0.00,0.00
84,108307.36,0.00,0.00
85,117192.51,0.00,0.00
86,104017.73,0.00,0.00
87,106110.10,0.00,0.00
