task_index,total_latency_ms,scheduling_latency_ms,execution_latency_ms
0,397860.29,0.00,0.00
1,2360564.47,0.00,0.00
2,2722855.81,0.00,0.00
3,2790506.84,0.00,0.00
4,3212383.75,0.00,0.00
5,7983860.25,0.00,0.00
6,8136592.63,0.00,0.00
7,8577997.92,0.00,0.00
8,8650064.47,0.00,0.00
9,8783635.38,0.00,0.00
10,9240610.12,0.00,0.00
11,9372657.30,0.00,0.00
12,9562261.58,0.00,0.00
13,9714058.64,0.00,0.00
14,9856375.93,0.00,0.00
15,10905917.88,0.00,0.00
16,10991395.24,0.00,0.00
17,11114323.62,0.00,0.00
18,11269014.12,0.00,0.00
19,11337777.61,0.00,0.00
20,11472922.09,0.00,0.00
21,13417273.04,0.00,0.00
22,13785746.57,0.00,0.00
23,13850375.41,0.00,0.00
24,14279452.32,0.00,0.00
25,17849729.78,0.00,0.00
26,17898268.22,0.00,0.00
27,18349421.26,0.00,0.00
28,18493139.98,0.00,0.00
29,18564464.09,0.00,0.00
30,19010975.84,0.00,0.00
31,23163817.88,0.00,0.00
32,23236021.76,0.00,0.00
33,23371460.20,0.00,0.00
34,23530777.69,0.00,0.00
35,23582123.04,0.00,0.00
36,23653818.13,0.00,0.00
37,23722370.39,0.00,0.00
38,23861395.12,0.00,0.00
39,23925640.58,0.00,0.00
40,23978628.40,0.00,0.00
41,26084155.80,0.00,0.00
42,26154315.23,0.00,0.00
43,26218613.15,0.00,0.00
44,26748258.83,0.00,0.00
45,27480542.90,0.00,0.00
46,27619693.52,0.00,0.00
47,28063321.59,0.00,0.00
48,28196164.61,0.00,0.00
49,28337011.34,0.00,0.00
50,28804573.54,0.00,0.00
51,29865891.70,0.00,0.00
52,29931541.68,0.00,0.00
53,30064433.57,0.00,0.00
54,30196043.97,0.00,0.00
55,30261734.25,0.00,0.00
56,30398424.15,0.00,0.00
57,30461622.00,0.00,0.00
58,30528840.54,0.00,0.00
59,30661906.24,0.00,0.00
60,30781244.75,0.00,0.00
61,32855597.73,0.00,0.00
62,33341692.45,0.00,0.00
63,33404676.91,0.00,0.00
64,33918388.13,0.00,0.00
65,35010960.10,0.00,0.00
66,35143259.76,0.00,0.00
67,35588572.98,0.00,0.00
68,35733306.88,0.00,0.00
69,35803623.91,0.00,0.00
70,36240376.71,0.00,0.00
71,36930195.57,0.00,0.00
72,36992313.86,0.00,0.00
73,37127074.96,0.00,0.00
74,37259025.81,0.00,0.00
75,37337362.53,0.00,0.00
76,37472016.81,0.00,0.00
77,37614943.98,0.00,0.00
78,37663614.27,0.00,0.00
79,37734373.09,0.00,0.00
80,37871921.78,0.00,0.00
81,39707027.91,0.00,0.00
82,40200046.78,0.00,0.00
83,40269172.19,0.00,0.00
84,40806179.52,0.00,0.00
85,41832630.87,0.00,0.00
86,41898139.95,0.00,0.00
87,42343042.85,0.00,0.00
88,42406358.24,0.00,0.00
89,42463829.76,0.00,0.00
90,42924997.33,0.00,0.00
91,47318951.37,0.00,0.00
92,47385170.22,0.00,0.00
93,47520938.16,0.00,0.00
94,47669355.39,0.00,0.00
95,48316815.85,0.00,0.00
96,48387420.18,0.00,0.00
97,48454874.28,0.00,0.00
98,48523154.02,0.00,0.00
99,48658108.47,0.00,0.00
100,48789015.53,0.00,0.00
101,50786101.58,0.00,0.00
102,50936809.06,0.00,0.00
103,50986487.15,0.00,0.00
104,51409257.17,0.00,0.00
105,55710764.17,0.00,0.00
106,55860748.53,0.00,0.00
107,56255919.69,0.00,0.00
108,56391199.59,0.00,0.00
109,56545647.62,0.00,0.00
110,56995021.10,0.00,0.00
111,57834861.52,0.00,0.00
112,58036436.56,0.00,0.00
113,58173274.28,0.00,0.00
