task_index,total_latency_ms,scheduling_latency_ms,execution_latency_ms
0,1711915.49,0.00,0.00
1,1511605.98,0.00,0.00
2,1845365.29,0.00,0.00
3,1406638.38,0.00,0.00
4,2067112.68,0.00,0.00
5,1829165.94,0.00,0.00
6,2127636.43,0.00,0.00
7,2290564.54,0.00,0.00
8,1141778.23,0.00,0.00
9,2184859.28,0.00,0.00
10,2417531.25,0.00,0.00
11,2280974.15,0.00,0.00
12,2540912.87,0.00,0.00
13,2021147.25,0.00,0.00
14,2460593.70,0.00,0.00
15,2699223.52,0.00,0.00
16,2178434.85,0.00,0.00
17,2564370.39,0.00,0.00
18,2230778.22,0.00,0.00
19,1778238.77,0.00,0.00
20,2285159.11,0.00,0.00
21,2807364.46,0.00,0.00
22,3017036.20,0.00,0.00
23,2370172.50,0.00,0.00
24,1925050.02,0.00,0.00
25,3168656.59,0.00,0.00
26,2972636.94,0.00,0.00
27,3244018.55,0.00,0.00
28,2036438.47,0.00,0.00
29,2669473.17,0.00,0.00
30,3151688.58,0.00,0.00
31,2328987.12,0.00,0.00
32,1484456.78,0.00,0.00
33,3422915.22,0.00,0.00
34,3271036.39,0.00,0.00
35,3607175.83,0.00,0.00
36,2277833.22,0.00,0.00
37,1673738.24,0.00,0.00
38,3898646.83,0.00,0.00
39,1724904.30,0.00,0.00
40,3862469.91,0.00,0.00
41,3234479.67,0.00,0.00
42,1925212.86,0.00,0.00
43,2739051.58,0.00,0.00
44,3851169.35,0.00,0.00
45,3278587.58,0.00,0.00
46,3839455.60,0.00,0.00
47,3808369.87,0.00,0.00
48,4237885.71,0.00,0.00
49,2867191.31,0.00,0.00
50,4065277.58,0.00,0.00
51,1357718.94,0.00,0.00
52,3620443.58,0.00,0.00
53,3022908.21,0.00,0.00
54,2294743.78,0.00,0.00
55,3873374.70,0.00,0.00
56,3685681.82,0.00,0.00
57,2499141.69,0.00,0.00
58,3428335.67,0.00,0.00
59,1723443.27,0.00,0.00
60,2558453.32,0.00,0.00
61,1926618.34,0.00,0.00
62,3567430.26,0.00,0.00
63,2758101.22,0.00,0.00
64,1178238.63,0.00,0.00
65,2819688.08,0.00,0.00
66,2306788.21,0.00,0.00
67,2972147.46,0.00,0.00
68,2301896.10,0.00,0.00
69,1538262.84,0.00,0.00
70,1751393.80,0.00,0.00
71,2574278.83,0.00,0.00
72,1814222.57,0.00,0.00
73,3423141.24,0.00,0.00
74,2788453.10,0.00,0.00
75,5745397.33,0.00,0.00
76,6652958.39,0.00,0.00
77,5414038.90,0.00,0.00
78,1447127.82,0.00,0.00
79,2263124.23,0.00,0.00
80,3314643.86,0.00,0.00
81,4590593.58,0.00,0.00
82,2536366.22,0.00,0.00
83,3298722.98,0.00,0.00
84,1776953.94,0.00,0.00
85,3795289.52,0.00,0.00
86,7084831.24,0.00,0.00
87,2815730.09,0.00,0.00
88,1969836.95,0.00,0.00
89,3642446.76,0.00,0.00
90,4000507.35,0.00,0.00
91,2888562.44,0.00,0.00
92,2337117.67,0.00,0.00
93,1333312.03,0.00,0.00
94,2242914.68,0.00,0.00
95,7160615.68,0.00,0.00
96,3089171.89,0.00,0.00
97,2337979.56,0.00,0.00
98,6566683.77,0.00,0.00
99,3383786.92,0.00,0.00
100,2481690.65,0.00,0.00
101,1707530.02,0.00,0.00
102,7690602.06,0.00,0.00
103,5678591.97,0.00,0.00
104,1736209.87,0.00,0.00
105,2006186.96,0.00,0.00
106,8660105.23,0.00,0.00
107,3636056.42,0.00,0.00
108,7115727.42,0.00,0.00
109,8468267.68,0.00,0.00
110,2854397.54,0.00,0.00
111,2114148.14,0.00,0.00
112,5214843.27,0.00,0.00
113,3210258.25,0.00,0.00
114,8173241.14,0.00,0.00
115,1471695.90,0.00,0.00
116,2305263.76,0.00,0.00
117,7336808.68,0.00,0.00
118,1770855.43,0.00,0.00
119,3222538.71,0.00,0.00
120,1572274.92,0.00,0.00
121,3508417.61,0.00,0.00
122,2506203.41,0.00,0.00
123,1824090.00,0.00,0.00
124,1011430.26,0.00,0.00
125,2833472.97,0.00,0.00
126,2641465.66,0.00,0.00
127,1225266.93,0.00,0.00
128,2853789.81,0.00,0.00
129,1386433.36,0.00,0.00
130,2097662.69,0.00,0.00
131,2324082.85,0.00,0.00
132,9110345.13,0.00,0.00
133,1020541.19,0.00,0.00
134,2438661.10,0.00,0.00
135,8198429.35,0.00,0.00
136,2725207.33,0.00,0.00
137,3411723.61,0.00,0.00
138,1860698.70,0.00,0.00
139,2584617.85,0.00,0.00
140,2079626.56,0.00,0.00
141,2655011.42,0.00,0.00
142,8177097.08,0.00,0.00
143,1314073.56,0.00,0.00
144,7448616.74,0.00,0.00
145,7257522.58,0.00,0.00
146,1538152.46,0.00,0.00
147,2212525.13,0.00,0.00
148,2406130.31,0.00,0.00
149,6567852.74,0.00,0.00
150,1764481.78,0.00,0.00
151,3109102.96,0.00,0.00
152,6426666.50,0.00,0.00
153,5401968.96,0.00,0.00
154,1329658.03,0.00,0.00
155,2889110.57,0.00,0.00
156,1481482.03,0.00,0.00
157,2170027.02,0.00,0.00
158,2905453.92,0.00,0.00
159,7689264.06,0.00,0.00
160,1548143.86,0.00,0.00
161,2434555.05,0.00,0.00
162,3326724.05,0.00,0.00
163,1865610.36,0.00,0.00
164,3306609.87,0.00,0.00
165,2696260.21,0.00,0.00
166,2721440.08,0.00,0.00
167,1278091.91,0.00,0.00
168,2212155.10,0.00,0.00
169,2271450.76,0.00,0.00
170,8259098.53,0.00,0.00
171,2488988.88,0.00,0.00
172,3364256.62,0.00,0.00
173,2058266.16,0.00,0.00
174,7759265.90,0.00,0.00
175,2045845.51,0.00,0.00
176,3796016.22,0.00,0.00
177,6780121.56,0.00,0.00
178,2963334.32,0.00,0.00
179,4055530.07,0.00,0.00
180,3182542.09,0.00,0.00
181,11301592.59,0.00,0.00
182,8680457.83,0.00,0.00
183,6011274.58,0.00,0.00
184,2417717.70,0.00,0.00
185,2793819.43,0.00,0.00
186,1725843.19,0.00,0.00
187,2557810.31,0.00,0.00
188,5371869.80,0.00,0.00
189,7859945.30,0.00,0.00
190,1783638.95,0.00,0.00
191,3567103.86,0.00,0.00
192,3556015.25,0.00,0.00
193,1928473.71,0.00,0.00
194,4729965.69,0.00,0.00
195,3014902.83,0.00,0.00
196,7094965.93,0.00,0.00
197,2157191.99,0.00,0.00
198,2930964.23,0.00,0.00
199,6371269.23,0.00,0.00
200,1343271.97,0.00,0.00
