task_index,total_latency_ms,scheduling_latency_ms,execution_latency_ms
0,375921.96,0.00,0.00
1,2275712.73,0.00,0.00
2,2412877.80,0.00,0.00
3,2475733.76,0.00,0.00
4,2899887.32,0.00,0.00
5,3895869.49,0.00,0.00
6,4036877.39,0.00,0.00
7,4451296.57,0.00,0.00
8,4516107.08,0.00,0.00
9,4650361.06,0.00,0.00
10,5105814.46,0.00,0.00
11,5247364.76,0.00,0.00
12,5311547.28,0.00,0.00
13,5453076.12,0.00,0.00
14,5594059.71,0.00,0.00
15,5658598.18,0.00,0.00
16,5720699.79,0.00,0.00
17,5862136.36,0.00,0.00
18,5924821.85,0.00,0.00
19,5987819.91,0.00,0.00
20,6128613.95,0.00,0.00
21,8053094.15,0.00,0.00
22,8418404.58,0.00,0.00
23,8481926.44,0.00,0.00
24,8871676.92,0.00,0.00
25,13618643.28,0.00,0.00
26,13752610.68,0.00,0.00
27,14192518.71,0.00,0.00
28,14255696.77,0.00,0.00
29,14316598.18,0.00,0.00
30,14772311.45,0.00,0.00
31,19528726.82,0.00,0.00
32,19592656.61,0.00,0.00
33,19735345.84,0.00,0.00
34,19878377.20,0.00,0.00
35,19943301.20,0.00,0.00
36,20084813.59,0.00,0.00
37,20227111.10,0.00,0.00
38,20371449.23,0.00,0.00
39,20437958.24,0.00,0.00
40,20479533.43,0.00,0.00
41,22626308.92,0.00,0.00
42,23117307.90,0.00,0.00
43,23186869.86,0.00,0.00
44,23587083.34,0.00,0.00
45,28307481.77,0.00,0.00
46,28370940.69,0.00,0.00
47,28811022.52,0.00,0.00
48,28875900.98,0.00,0.00
49,29016235.83,0.00,0.00
50,29471517.32,0.00,0.00
51,34261681.32,0.00,0.00
52,34324308.40,0.00,0.00
53,34464716.67,0.00,0.00
54,34605972.29,0.00,0.00
55,34672256.71,0.00,0.00
56,34816686.15,0.00,0.00
57,34958980.32,0.00,0.00
58,35100101.23,0.00,0.00
59,35164988.28,0.00,0.00
60,35307496.31,0.00,0.00
61,37223711.49,0.00,0.00
62,37588686.70,0.00,0.00
63,37653069.26,0.00,0.00
64,38064300.78,0.00,0.00
65,42488956.45,0.00,0.00
66,42552821.87,0.00,0.00
67,42996166.71,0.00,0.00
68,43076972.25,0.00,0.00
69,43139878.99,0.00,0.00
70,43595068.45,0.00,0.00
71,48088321.92,0.00,0.00
72,48150012.02,0.00,0.00
73,48263353.82,0.00,0.00
74,48402126.79,0.00,0.00
75,48464772.46,0.00,0.00
76,48524315.83,0.00,0.00
77,48589024.31,0.00,0.00
78,48649002.79,0.00,0.00
79,48711155.41,0.00,0.00
80,48773563.15,0.00,0.00
81,50708651.30,0.00,0.00
82,51075983.52,0.00,0.00
83,51139089.11,0.00,0.00
84,51675285.82,0.00,0.00
85,56563596.25,0.00,0.00
86,56642184.02,0.00,0.00
87,57151804.21,0.00,0.00
88,57227201.94,0.00,0.00
89,57300704.96,0.00,0.00
90,57862439.39,0.00,0.00
91,62883044.48,0.00,0.00
92,62966411.35,0.00,0.00
93,63128720.52,0.00,0.00
94,63317666.29,0.00,0.00
95,63393886.57,0.00,0.00
96,63469612.12,0.00,0.00
97,63635340.21,0.00,0.00
98,63794178.72,0.00,0.00
99,63943578.72,0.00,0.00
100,64011209.73,0.00,0.00
101,66181193.11,0.00,0.00
102,66634637.12,0.00,0.00
103,66710387.71,0.00,0.00
104,67234546.42,0.00,0.00
105,72672123.19,0.00,0.00
106,72811619.52,0.00,0.00
107,73330919.03,0.00,0.00
108,73396907.33,0.00,0.00
109,73472970.01,0.00,0.00
110,74043106.32,0.00,0.00
111,79602517.13,0.00,0.00
112,79841202.26,0.00,0.00
113,79992379.90,0.00,0.00
114,80147802.83,0.00,0.00
