task_index,total_latency_ms,scheduling_latency_ms,execution_latency_ms
0,473855.26,0.00,0.00
1,355048.18,0.00,0.00
2,453201.29,0.00,0.00
3,643769.03,0.00,0.00
4,261976.48,0.00,0.00
5,640389.92,0.00,0.00
6,530943.63,0.00,0.00
7,612750.77,0.00,0.00
8,421563.15,0.00,0.00
9,293892.86,0.00,0.00
10,790220.98,0.00,0.00
11,297986.27,0.00,0.00
12,713619.95,0.00,0.00
13,602420.57,0.00,0.00
14,890605.69,0.00,0.00
15,297854.42,0.00,0.00
16,694761.04,0.00,0.00
17,510450.84,0.00,0.00
18,396248.82,0.00,0.00
19,1197298.77,0.00,0.00
20,497947.93,0.00,0.00
21,872355.94,0.00,0.00
22,595537.90,0.00,0.00
23,995734.45,0.00,0.00
24,1041769.98,0.00,0.00
25,1162237.41,0.00,0.00
26,1048125.51,0.00,0.00
27,351345.54,0.00,0.00
28,423614.98,0.00,0.00
29,482058.53,0.00,0.00
30,2004957.44,0.00,0.00
31,618954.42,0.00,0.00
32,2110839.84,0.00,0.00
33,764616.25,0.00,0.00
34,2291762.11,0.00,0.00
35,2497954.85,0.00,0.00
36,2847357.99,0.00,0.00
37,2934103.25,0.00,0.00
38,2632133.48,0.00,0.00
39,3361783.74,0.00,0.00
40,3550404.79,0.00,0.00
41,2494730.00,0.00,0.00
42,3053967.24,0.00,0.00
43,3701340.20,0.00,0.00
44,3142747.40,0.00,0.00
45,3528829.10,0.00,0.00
46,2659751.42,0.00,0.00
47,2929708.24,0.00,0.00
48,2724923.61,0.00,0.00
49,3045046.81,0.00,0.00
50,2924973.25,0.00,0.00
51,3119826.08,0.00,0.00
52,3084959.51,0.00,0.00
53,3639584.54,0.00,0.00
54,4094366.55,0.00,0.00
55,4196460.25,0.00,0.00
56,3309224.84,0.00,0.00
57,3333845.14,0.00,0.00
58,2982821.94,0.00,0.00
59,4600775.00,0.00,0.00
60,3482475.76,0.00,0.00
61,3764189.96,0.00,0.00
62,3677258.01,0.00,0.00
63,2944241.52,0.00,0.00
64,3426541.33,0.00,0.00
65,2867089.03,0.00,0.00
66,5110280.75,0.00,0.00
67,3510012.87,0.00,0.00
68,2649479.87,0.00,0.00
69,3039744.62,0.00,0.00
70,4988887.31,0.00,0.00
71,3125331.40,0.00,0.00
72,5073402.17,0.00,0.00
73,3288158.66,0.00,0.00
74,4669426.92,0.00,0.00
75,3375282.05,0.00,0.00
76,5560626.51,0.00,0.00
77,5643162.49,0.00,0.00
78,3763913.87,0.00,0.00
79,5825367.45,0.00,0.00
80,6412830.11,0.00,0.00
81,5035269.98,0.00,0.00
82,5798450.71,0.00,0.00
83,5874925.85,0.00,0.00
84,6639209.99,0.00,0.00
85,4836837.77,0.00,0.00
86,6734749.32,0.00,0.00
87,5526626.83,0.00,0.00
88,5627201.32,0.00,0.00
89,6387062.07,0.00,0.00
90,5029771.33,0.00,0.00
91,6925182.10,0.00,0.00
92,5110231.88,0.00,0.00
93,7086026.67,0.00,0.00
94,6098974.47,0.00,0.00
95,6836370.94,0.00,0.00
96,5996976.61,0.00,0.00
97,5680750.61,0.00,0.00
98,6067870.86,0.00,0.00
99,5075834.04,0.00,0.00
100,7844103.34,0.00,0.00
101,6977150.20,0.00,0.00
102,7165367.60,0.00,0.00
103,7353642.46,0.00,0.00
104,9255978.82,0.00,0.00
105,8156500.34,0.00,0.00
106,9445941.93,0.00,0.00
107,8342016.70,0.00,0.00
108,8529966.59,0.00,0.00
109,8631601.81,0.00,0.00
110,9992311.00,0.00,0.00
111,8850018.74,0.00,0.00
112,8076722.86,0.00,0.00
113,7578119.28,0.00,0.00
114,8183366.54,0.00,0.00
115,9545166.02,0.00,0.00
116,8287756.68,0.00,0.00
117,10356480.12,0.00,0.00
118,8387253.52,0.00,0.00
119,9715657.47,0.00,0.00
120,8011546.37,0.00,0.00
121,8494509.46,0.00,0.00
122,10541254.52,0.00,0.00
123,8118487.12,0.00,0.00
124,11051175.36,0.00,0.00
125,11144485.47,0.00,0.00
126,11304511.07,0.00,0.00
127,11987456.56,0.00,0.00
128,11120379.21,0.00,0.00
129,10879415.04,0.00,0.00
130,11288943.77,0.00,0.00
