task_index,total_latency_ms,scheduling_latency_ms,execution_latency_ms
0,93879.70,0.00,0.00
1,86804.63,0.00,0.00
2,96823.22,0.00,0.00
3,106483.94,0.00,0.00
4,116387.61,0.00,0.00
5,127069.23,0.00,0.00
6,137575.39,0.00,0.00
7,143941.16,0.00,0.00
8,151172.16,0.00,0.00
9,159220.93,0.00,0.00
10,167292.83,0.00,0.00
11,173710.82,0.00,0.00
12,179220.44,0.00,0.00
13,184591.29,0.00,0.00
14,189479.83,0.00,0.00
15,193555.59,0.00,0.00
16,200104.48,0.00,0.00
17,207575.08,0.00,0.00
18,212841.27,0.00,0.00
19,216290.95,0.00,0.00
20,221797.94,0.00,0.00
21,227664.71,0.00,0.00
22,233054.40,0.00,0.00
23,236600.64,0.00,0.00
24,241782.67,0.00,0.00
25,246633.53,0.00,0.00
26,251350.40,0.00,0.00
27,254989.39,0.00,0.00
28,259500.74,0.00,0.00
29,267453.19,0.00,0.00
30,270194.05,0.00,0.00
31,276292.80,0.00,0.00
32,280436.52,0.00,0.00
33,286043.88,0.00,0.00
34,290258.88,0.00,0.00
35,295742.75,0.00,0.00
36,301748.99,0.00,0.00
37,308784.72,0.00,0.00
38,313593.63,0.00,0.00
39,320761.92,0.00,0.00
40,327676.53,0.00,0.00
41,335639.48,0.00,0.00
42,341870.31,0.00,0.00
43,348462.10,0.00,0.00
44,355742.45,0.00,0.00
45,361222.98,0.00,0.00
46,368448.02,0.00,0.00
47,375294.45,0.00,0.00
48,381600.86,0.00,0.00
49,387382.27,0.00,0.00
50,395162.58,0.00,0.00
51,402604.34,0.00,0.00
52,408587.69,0.00,0.00
53,413987.16,0.00,0.00
54,420277.12,0.00,0.00
55,426636.70,0.00,0.00
56,432161.81,0.00,0.00
57,438104.87,0.00,0.00
58,445465.56,0.00,0.00
59,452333.21,0.00,0.00
60,456777.33,0.00,0.00
61,459710.60,0.00,0.00
62,468723.30,0.00,0.00
63,475770.95,0.00,0.00
64,482337.24,0.00,0.00
65,488693.95,0.00,0.00
66,495459.32,0.00,0.00
67,502499.82,0.00,0.00
68,509321.21,0.00,0.00
69,515606.88,0.00,0.00
70,522046.09,0.00,0.00
71,526657.10,0.00,0.00
72,531952.14,0.00,0.00
73,539109.95,0.00,0.00
74,545631.89,0.00,0.00
75,553166.39,0.00,0.00
76,556160.45,0.00,0.00
77,561452.87,0.00,0.00
78,567686.80,0.00,0.00
79,573843.96,0.00,0.00
80,577463.87,0.00,0.00
81,584620.48,0.00,0.00
82,589622.97,0.00,0.00
83,615345.72,0.00,0.00
84,623125.79,0.00,0.00
85,633092.40,0.00,0.00
86,643278.84,0.00,0.00
87,652832.27,0.00,0.00
88,662895.92,0.00,0.00
89,670105.70,0.00,0.00
90,678337.10,0.00,0.00
91,682796.00,0.00,0.00
92,689304.59,0.00,0.00
93,695987.70,0.00,0.00
94,702266.22,0.00,0.00
95,707325.46,0.00,0.00
96,715684.89,0.00,0.00
97,722793.34,0.00,0.00
98,729340.08,0.00,0.00
99,737640.62,0.00,0.00
100,744365.93,0.00,0.00
101,751196.86,0.00,0.00
102,755313.40,0.00,0.00
103,761788.85,0.00,0.00
104,767561.67,0.00,0.00
105,773216.49,0.00,0.00
106,780665.64,0.00,0.00
107,786955.60,0.00,0.00
108,792980.91,0.00,0.00
109,797082.66,0.00,0.00
110,803018.81,0.00,0.00
111,809540.03,0.00,0.00
112,813832.52,0.00,0.00
113,819935.56,0.00,0.00
114,826096.06,0.00,0.00
115,831991.91,0.00,0.00
116,838031.77,0.00,0.00
117,844823.60,0.00,0.00
118,848673.82,0.00,0.00
119,852677.35,0.00,0.00
120,859687.81,0.00,0.00
121,867200.61,0.00,0.00
122,874181.99,0.00,0.00
123,879430.53,0.00,0.00
124,884709.12,0.00,0.00
125,891338.83,0.00,0.00
126,897672.65,0.00,0.00
127,901117.80,0.00,0.00
128,907847.88,0.00,0.00
129,914946.56,0.00,0.00
130,921522.62,0.00,0.00
131,928577.42,0.00,0.00
132,935374.98,0.00,0.00
133,942020.65,0.00,0.00
134,945916.18,0.00,0.00
135,951219.32,0.00,0.00
136,957773.21,0.00,0.00
137,965302.23,0.00,0.00
138,971161.37,0.00,0.00
139,976147.65,0.00,0.00
140,983367.92,0.00,0.00
141,989491.94,0.00,0.00
142,996037.48,0.00,0.00
143,1001488.92,0.00,0.00
144,1007573.60,0.00,0.00
145,1015164.38,0.00,0.00
146,1021533.01,0.00,0.00
147,1025603.29,0.00,0.00
148,1032422.07,0.00,0.00
149,1041768.79,0.00,0.00
150,1050326.59,0.00,0.00
151,1055179.36,0.00,0.00
152,1063217.16,0.00,0.00
153,1070028.07,0.00,0.00
154,1095292.57,0.00,0.00
155,1105638.27,0.00,0.00
156,1116117.00,0.00,0.00
157,1129876.85,0.00,0.00
158,1138403.18,0.00,0.00
159,1149710.42,0.00,0.00
160,1160396.58,0.00,0.00
161,1170422.08,0.00,0.00
162,1179313.18,0.00,0.00
163,1189095.26,0.00,0.00
164,1197454.69,0.00,0.00
165,1204476.83,0.00,0.00
166,1213584.42,0.00,0.00
167,1220698.12,0.00,0.00
168,1227793.46,0.00,0.00
169,1233725.31,0.00,0.00
170,1237960.58,0.00,0.00
171,1242378.95,0.00,0.00
172,1249696.73,0.00,0.00
173,1255777.60,0.00,0.00
174,1261906.39,0.00,0.00
175,1266755.10,0.00,0.00
176,1271864.18,0.00,0.00
177,1278658.63,0.00,0.00
178,1284936.19,0.00,0.00
179,1288520.34,0.00,0.00
180,1292056.80,0.00,0.00
181,1297368.53,0.00,0.00
182,1302940.85,0.00,0.00
183,1308700.08,0.00,0.00
184,1315889.60,0.00,0.00
185,1322016.48,0.00,0.00
186,1327853.68,0.00,0.00
187,1334827.90,0.00,0.00
188,1341723.20,0.00,0.00
189,1348505.02,0.00,0.00
190,1355914.83,0.00,0.00
191,1363170.86,0.00,0.00
192,1369531.15,0.00,0.00
193,1376766.20,0.00,0.00
194,1381444.69,0.00,0.00
195,1388327.84,0.00,0.00
196,1394683.60,0.00,0.00
197,1400554.42,0.00,0.00
198,1405159.00,0.00,0.00
199,1411501.65,0.00,0.00
200,1418349.03,0.00,0.00
201,1425585.27,0.00,0.00
202,1434163.81,0.00,0.00
203,1443121.19,0.00,0.00
204,1451484.92,0.00,0.00
205,1459330.32,0.00,0.00
206,1467506.65,0.00,0.00
207,1475901.84,0.00,0.00
208,1483923.44,0.00,0.00
209,1493083.95,0.00,0.00
210,1503619.91,0.00,0.00
211,1512862.68,0.00,0.00
212,1521079.78,0.00,0.00
213,1529265.64,0.00,0.00
214,1535727.02,0.00,0.00
215,1544592.86,0.00,0.00
216,1553771.73,0.00,0.00
217,1561985.73,0.00,0.00
218,1569818.02,0.00,0.00
219,1579943.42,0.00,0.00
220,1587585.93,0.00,0.00
221,1595694.54,0.00,0.00
222,1600650.79,0.00,0.00
223,1608525.51,0.00,0.00
224,1615566.25,0.00,0.00
225,1622873.31,0.00,0.00
226,1631212.47,0.00,0.00
227,1638861.42,0.00,0.00
228,1647177.46,0.00,0.00
229,1657732.49,0.00,0.00
230,1667018.41,0.00,0.00
231,1675493.72,0.00,0.00
232,1682225.70,0.00,0.00
233,1692623.62,0.00,0.00
234,1700747.01,0.00,0.00
235,1706042.29,0.00,0.00
236,1714463.47,0.00,0.00
237,1721930.74,0.00,0.00
238,1730261.56,0.00,0.00
239,1742153.41,0.00,0.00
240,1748194.22,0.00,0.00
241,1757985.83,0.00,0.00
242,1766463.28,0.00,0.00
243,1775997.88,0.00,0.00
244,1783206.22,0.00,0.00
245,1792503.12,0.00,0.00
246,1804412.13,0.00,0.00
247,1812577.49,0.00,0.00
248,1818218.95,0.00,0.00
249,1827329.64,0.00,0.00
250,1835397.72,0.00,0.00
251,1844730.62,0.00,0.00
252,1851211.07,0.00,0.00
253,1859848.98,0.00,0.00
254,1870187.28,0.00,0.00
255,1878468.04,0.00,0.00
256,1886090.04,0.00,0.00
257,1894776.82,0.00,0.00
258,1903775.45,0.00,0.00
259,1913255.21,0.00,0.00
260,1920664.55,0.00,0.00
261,1928918.36,0.00,0.00
262,1940055.61,0.00,0.00
263,1949590.68,0.00,0.00
264,1956826.21,0.00,0.00
265,1965909.00,0.00,0.00
266,1975362.30,0.00,0.00
267,1983495.95,0.00,0.00
268,1996510.74,0.00,0.00
269,2005485.06,0.00,0.00
270,2014202.12,0.00,0.00
271,2022111.65,0.00,0.00
272,2030812.98,0.00,0.00
273,2038596.15,0.00,0.00
274,2049932.00,0.00,0.00
275,2060211.18,0.00,0.00
276,2069365.02,0.00,0.00
277,2076207.64,0.00,0.00
278,2084295.75,0.00,0.00
279,2092215.54,0.00,0.00
280,2101201.53,0.00,0.00
281,2109954.60,0.00,0.00
282,2118172.17,0.00,0.00
283,2131147.62,0.00,0.00
284,2139938.59,0.00,0.00
285,2148186.45,0.00,0.00
286,2153878.45,0.00,0.00
287,2162013.05,0.00,0.00
288,2169900.42,0.00,0.00
289,2177120.69,0.00,0.00
290,2185604.81,0.00,0.00
291,2196418.52,0.00,0.00
292,2204875.95,0.00,0.00
293,2210799.22,0.00,0.00
294,2238665.34,0.00,0.00
295,2249650.96,0.00,0.00
296,2260817.05,0.00,0.00
297,2271085.98,0.00,0.00
298,2281673.67,0.00,0.00
299,2295744.66,0.00,0.00
300,2305826.90,0.00,0.00
301,2316260.34,0.00,0.00
302,2326312.07,0.00,0.00
303,2337825.06,0.00,0.00
304,2348312.38,0.00,0.00
305,2357228.04,0.00,0.00
306,2362683.77,0.00,0.00
307,2370545.63,0.00,0.00
308,2382650.61,0.00,0.00
309,2392104.39,0.00,0.00
310,2402135.85,0.00,0.00
311,2410392.52,0.00,0.00
312,2418660.64,0.00,0.00
313,2425431.01,0.00,0.00
314,2440219.88,0.00,0.00
315,2450279.71,0.00,0.00
316,2460412.26,0.00,0.00
317,2466637.13,0.00,0.00
318,2473983.76,0.00,0.00
319,2482319.83,0.00,0.00
320,2493306.16,0.00,0.00
321,2501535.65,0.00,0.00
322,2507524.25,0.00,0.00
323,2515737.77,0.00,0.00
324,2523612.26,0.00,0.00
325,2532711.03,0.00,0.00
326,2538713.93,0.00,0.00
327,2547233.34,0.00,0.00
328,2557359.22,0.00,0.00
329,2564661.03,0.00,0.00
330,2574013.95,0.00,0.00
331,2582267.52,0.00,0.00
332,2590566.16,0.00,0.00
333,2598917.25,0.00,0.00
334,2602893.35,0.00,0.00
335,2610448.84,0.00,0.00
336,2617491.96,0.00,0.00
337,2625312.09,0.00,0.00
338,2635351.18,0.00,0.00
339,2642744.06,0.00,0.00
340,2650374.89,0.00,0.00
341,2658404.83,0.00,0.00
342,2667665.48,0.00,0.00
343,2676505.57,0.00,0.00
344,2684856.41,0.00,0.00
345,2694814.21,0.00,0.00
346,2700403.69,0.00,0.00
347,2708634.14,0.00,0.00
348,2716637.37,0.00,0.00
349,2724562.64,0.00,0.00
350,2729121.69,0.00,0.00
351,2737909.56,0.00,0.00
352,2745950.46,0.00,0.00
353,2756469.49,0.00,0.00
354,2766465.43,0.00,0.00
355,2775551.56,0.00,0.00
356,2783802.03,0.00,0.00
357,2792683.36,0.00,0.00
358,2799493.79,0.00,0.00
359,2808448.79,0.00,0.00
360,2812127.83,0.00,0.00
361,2819236.52,0.00,0.00
362,2830711.36,0.00,0.00
363,2836055.04,0.00,0.00
364,2843864.68,0.00,0.00
365,2851829.05,0.00,0.00
366,2860039.95,0.00,0.00
367,2866687.77,0.00,0.00
368,2875068.90,0.00,0.00
369,2883922.58,0.00,0.00
370,2895157.58,0.00,0.00
371,2902877.57,0.00,0.00
372,2910841.46,0.00,0.00
373,2921098.23,0.00,0.00
374,2930011.03,0.00,0.00
375,2936220.65,0.00,0.00
376,2944877.15,0.00,0.00
377,2953123.33,0.00,0.00
378,2961803.44,0.00,0.00
379,2971634.39,0.00,0.00
380,2982299.57,0.00,0.00
381,2989905.83,0.00,0.00
382,2997848.03,0.00,0.00
383,3005817.89,0.00,0.00
384,3013720.51,0.00,0.00
385,3022611.38,0.00,0.00
386,3031025.89,0.00,0.00
387,3035264.25,0.00,0.00
388,3040749.55,0.00,0.00
389,3048715.83,0.00,0.00
390,3056524.75,0.00,0.00
391,3064171.31,0.00,0.00
392,3070392.85,0.00,0.00
