task_index,total_latency_ms,scheduling_latency_ms,execution_latency_ms
0,562060.59,0.00,0.00
1,535498.38,0.00,0.00
2,647567.51,0.00,0.00
3,641341.69,0.00,0.00
4,700184.58,0.00,0.00
5,706146.96,0.00,0.00
6,658687.83,0.00,0.00
7,789374.59,0.00,0.00
8,764668.23,0.00,0.00
9,848620.65,0.00,0.00
10,711929.56,0.00,0.00
11,817183.73,0.00,0.00
12,963775.63,0.00,0.00
13,903881.31,0.00,0.00
14,926599.74,0.00,0.00
15,821194.41,0.00,0.00
16,924728.16,0.00,0.00
17,1032173.16,0.00,0.00
18,1442740.92,0.00,0.00
19,1042661.91,0.00,0.00
20,1009403.47,0.00,0.00
21,1019573.45,0.00,0.00
22,1217243.19,0.00,0.00
23,954459.91,0.00,0.00
24,1142387.39,0.00,0.00
25,1242988.59,0.00,0.00
26,1298045.64,0.00,0.00
27,1186751.84,0.00,0.00
28,1211839.91,0.00,0.00
29,1216252.09,0.00,0.00
30,1998551.37,0.00,0.00
31,1417901.52,0.00,0.00
32,1949023.96,0.00,0.00
33,1575822.59,0.00,0.00
34,1379901.41,0.00,0.00
35,1542024.37,0.00,0.00
36,1529853.11,0.00,0.00
37,1371319.06,0.00,0.00
38,2275547.98,0.00,0.00
39,1433218.96,0.00,0.00
40,2222809.31,0.00,0.00
41,1426998.85,0.00,0.00
42,1679602.62,0.00,0.00
43,1675064.33,0.00,0.00
44,1470252.04,0.00,0.00
45,2386632.20,0.00,0.00
46,1632811.07,0.00,0.00
47,1639317.04,0.00,0.00
48,1720605.61,0.00,0.00
49,2621065.86,0.00,0.00
50,1738595.96,0.00,0.00
51,2173743.72,0.00,0.00
52,1749187.71,0.00,0.00
53,2199856.76,0.00,0.00
54,2206667.90,0.00,0.00
55,1925963.88,0.00,0.00
56,1918301.11,0.00,0.00
57,1906057.36,0.00,0.00
58,2405946.49,0.00,0.00
59,1966563.94,0.00,0.00
60,2453653.57,0.00,0.00
61,3700458.29,0.00,0.00
62,3704166.41,0.00,0.00
63,2000509.26,0.00,0.00
64,3705724.48,0.00,0.00
65,2621843.81,0.00,0.00
66,3846093.89,0.00,0.00
67,2668048.62,0.00,0.00
68,2229534.39,0.00,0.00
