task_index,total_latency_ms,scheduling_latency_ms,execution_latency_ms
0,628845.21,0.00,0.00
1,614237.55,0.00,0.00
2,608899.83,0.00,0.00
3,594926.36,0.00,0.00
4,574232.58,0.00,0.00
5,590157.27,0.00,0.00
6,411696.67,0.00,0.00
7,572900.77,0.00,0.00
8,436267.38,0.00,0.00
9,421211.00,0.00,0.00
10,407402.04,0.00,0.00
11,389551.40,0.00,0.00
12,406603.10,0.00,0.00
13,252136.95,0.00,0.00
14,396625.52,0.00,0.00
15,253532.65,0.00,0.00
16,251579.28,0.00,0.00
17,624296.90,0.00,0.00
18,475933.07,0.00,0.00
19,303716.90,0.00,0.00
20,725567.34,0.00,0.00
21,363446.95,0.00,0.00
22,581722.50,0.00,0.00
23,786799.19,0.00,0.00
24,433050.39,0.00,0.00
25,640645.98,0.00,0.00
26,867155.31,0.00,0.00
27,242080.21,0.00,0.00
28,495595.46,0.00,0.00
29,721739.29,0.00,0.00
30,278619.77,0.00,0.00
31,953352.45,0.00,0.00
32,562263.01,0.00,0.00
33,320803.88,0.00,0.00
34,809583.19,0.00,0.00
35,1003283.98,0.00,0.00
36,632041.69,0.00,0.00
37,862071.51,0.00,0.00
38,384536.50,0.00,0.00
39,1070591.45,0.00,0.00
40,705277.44,0.00,0.00
41,1147077.32,0.00,0.00
42,935520.41,0.00,0.00
43,427296.64,0.00,0.00
44,750627.28,0.00,0.00
45,1007568.60,0.00,0.00
46,1183520.32,0.00,0.00
47,482115.27,0.00,0.00
48,825279.24,0.00,0.00
49,1048937.56,0.00,0.00
50,224821.57,0.00,0.00
51,529573.20,0.00,0.00
52,869587.18,0.00,0.00
53,265797.62,0.00,0.00
54,583381.18,0.00,0.00
55,916804.79,0.00,0.00
56,337204.69,0.00,0.00
57,644931.55,0.00,0.00
58,975784.78,0.00,0.00
59,375601.53,0.00,0.00
60,681591.99,0.00,0.00
61,1042584.66,0.00,0.00
62,429969.79,0.00,0.00
63,762314.08,0.00,0.00
64,515211.11,0.00,0.00
65,892670.87,0.00,0.00
66,266660.69,0.00,0.00
67,590987.68,0.00,0.00
68,928217.65,0.00,0.00
69,340660.33,0.00,0.00
70,665421.72,0.00,0.00
71,1000306.37,0.00,0.00
72,398585.08,0.00,0.00
73,757280.35,0.00,0.00
74,1079180.72,0.00,0.00
75,439364.19,0.00,0.00
76,808896.78,0.00,0.00
77,1172345.40,0.00,0.00
78,542407.51,0.00,0.00
79,906557.08,0.00,0.00
80,612767.46,0.00,0.00
81,997319.22,0.00,0.00
82,681346.18,0.00,0.00
83,305023.43,0.00,0.00
84,1071686.98,0.00,0.00
85,736812.59,0.00,0.00
86,373272.18,0.00,0.00
87,1142052.65,0.00,0.00
88,789724.59,0.00,0.00
89,435273.17,0.00,0.00
90,1229877.23,0.00,0.00
91,877354.86,0.00,0.00
92,515807.87,0.00,0.00
93,1321238.76,0.00,0.00
94,963289.26,0.00,0.00
95,583994.39,0.00,0.00
96,654258.97,0.00,0.00
97,1046757.22,0.00,0.00
98,259969.47,0.00,0.00
99,1110974.31,0.00,0.00
100,722905.64,0.00,0.00
101,325104.24,0.00,0.00
102,777979.37,0.00,0.00
103,1176208.73,0.00,0.00
104,417519.09,0.00,0.00
105,1243158.82,0.00,0.00
106,868361.47,0.00,0.00
107,494874.72,0.00,0.00
108,1328685.28,0.00,0.00
109,952850.82,0.00,0.00
110,569276.09,0.00,0.00
111,998983.14,0.00,0.00
112,634844.78,0.00,0.00
113,1087155.58,0.00,0.00
114,301435.71,0.00,0.00
115,712883.71,0.00,0.00
116,1151114.70,0.00,0.00
117,364813.80,0.00,0.00
118,766016.96,0.00,0.00
119,1216585.40,0.00,0.00
120,453927.76,0.00,0.00
121,857491.25,0.00,0.00
122,1273567.44,0.00,0.00
123,497832.54,0.00,0.00
124,906129.60,0.00,0.00
125,1359594.11,0.00,0.00
126,572823.05,0.00,0.00
127,991931.92,0.00,0.00
128,640739.20,0.00,0.00
129,1070475.10,0.00,0.00
130,254926.20,0.00,0.00
131,706882.72,0.00,0.00
132,1138465.40,0.00,0.00
133,321300.98,0.00,0.00
134,797239.07,0.00,0.00
135,1214391.71,0.00,0.00
136,413388.25,0.00,0.00
137,854662.66,0.00,0.00
138,1267129.90,0.00,0.00
139,455146.55,0.00,0.00
140,940883.40,0.00,0.00
141,529427.29,0.00,0.00
142,1367446.18,0.00,0.00
143,1038975.00,0.00,0.00
144,644523.86,0.00,0.00
145,1116769.08,0.00,0.00
146,712935.21,0.00,0.00
147,341910.84,0.00,0.00
148,1190458.30,0.00,0.00
149,768047.09,0.00,0.00
150,399824.62,0.00,0.00
151,1228392.12,0.00,0.00
152,829478.50,0.00,0.00
153,451162.34,0.00,0.00
154,1318708.18,0.00,0.00
155,902809.86,0.00,0.00
156,532282.59,0.00,0.00
157,1372144.70,0.00,0.00
158,584966.42,0.00,0.00
159,996034.86,0.00,0.00
160,1071663.14,0.00,0.00
161,669630.29,0.00,0.00
162,284859.18,0.00,0.00
163,733464.00,0.00,0.00
164,1144787.79,0.00,0.00
165,367539.41,0.00,0.00
166,1196395.16,0.00,0.00
167,839991.09,0.00,0.00
168,448241.47,0.00,0.00
169,1287156.58,0.00,0.00
170,906269.07,0.00,0.00
171,534328.22,0.00,0.00
172,1384704.11,0.00,0.00
173,977490.43,0.00,0.00
174,590312.00,0.00,0.00
175,1042463.54,0.00,0.00
176,686553.72,0.00,0.00
177,1123229.03,0.00,0.00
178,290606.74,0.00,0.00
179,759042.26,0.00,0.00
180,1210016.73,0.00,0.00
