task_index,total_latency_ms,scheduling_latency_ms,execution_latency_ms
0,334955.45,0.00,0.00
1,318331.96,0.00,0.00
2,161211.49,0.00,0.00
3,429227.59,0.00,0.00
4,424774.65,0.00,0.00
5,417964.22,0.00,0.00
6,223657.61,0.00,0.00
7,440101.86,0.00,0.00
8,281817.44,0.00,0.00
9,515914.92,0.00,0.00
10,337445.97,0.00,0.00
11,602062.23,0.00,0.00
12,419791.46,0.00,0.00
13,657178.64,0.00,0.00
14,477697.85,0.00,0.00
15,743525.27,0.00,0.00
16,221887.59,0.00,0.00
17,547882.56,0.00,0.00
18,288979.05,0.00,0.00
19,819735.77,0.00,0.00
20,622571.47,0.00,0.00
21,893610.72,0.00,0.00
22,671270.37,0.00,0.00
23,371889.11,0.00,0.00
24,383023.26,0.00,0.00
25,957320.21,0.00,0.00
26,741162.54,0.00,0.00
27,427251.58,0.00,0.00
28,1007903.34,0.00,0.00
29,798946.62,0.00,0.00
30,1085237.03,0.00,0.00
31,501397.61,0.00,0.00
32,862007.62,0.00,0.00
33,204831.36,0.00,0.00
34,1138135.43,0.00,0.00
35,569484.71,0.00,0.00
36,932860.85,0.00,0.00
37,282534.12,0.00,0.00
38,610481.02,0.00,0.00
39,973940.37,0.00,0.00
40,351518.87,0.00,0.00
41,675507.78,0.00,0.00
42,1033382.89,0.00,0.00
43,379491.09,0.00,0.00
44,714627.03,0.00,0.00
45,1104397.77,0.00,0.00
46,432654.38,0.00,0.00
47,799825.43,0.00,0.00
48,536764.38,0.00,0.00
49,823622.47,0.00,0.00
50,234141.83,0.00,0.00
51,566460.61,0.00,0.00
52,926556.59,0.00,0.00
53,603006.84,0.00,0.00
54,309354.54,0.00,0.00
55,966994.05,0.00,0.00
56,345487.12,0.00,0.00
57,668094.16,0.00,0.00
58,1022145.51,0.00,0.00
59,400202.51,0.00,0.00
60,737713.10,0.00,0.00
61,1063415.05,0.00,0.00
62,457559.35,0.00,0.00
63,793368.58,0.00,0.00
64,523314.48,0.00,0.00
65,849286.56,0.00,0.00
66,222903.97,0.00,0.00
67,895109.89,0.00,0.00
68,596014.50,0.00,0.00
69,272360.56,0.00,0.00
70,629725.22,0.00,0.00
71,967379.57,0.00,0.00
72,341305.02,0.00,0.00
73,693901.06,0.00,0.00
74,1024499.42,0.00,0.00
75,394440.41,0.00,0.00
76,1064032.79,0.00,0.00
77,766594.65,0.00,0.00
78,419693.23,0.00,0.00
79,824720.62,0.00,0.00
80,495649.81,0.00,0.00
81,879939.56,0.00,0.00
82,215191.36,0.00,0.00
83,561275.24,0.00,0.00
84,919134.38,0.00,0.00
85,263058.42,0.00,0.00
86,620142.46,0.00,0.00
87,987216.47,0.00,0.00
88,337563.99,0.00,0.00
89,655611.75,0.00,0.00
90,380337.95,0.00,0.00
91,1063668.25,0.00,0.00
92,735459.80,0.00,0.00
93,1082947.73,0.00,0.00
94,780659.91,0.00,0.00
95,471161.60,0.00,0.00
96,503995.42,0.00,0.00
97,834811.93,0.00,0.00
98,237115.38,0.00,0.00
99,879860.40,0.00,0.00
100,579990.15,0.00,0.00
101,292112.35,0.00,0.00
102,952975.27,0.00,0.00
103,648907.66,0.00,0.00
104,333992.00,0.00,0.00
105,993574.14,0.00,0.00
106,685460.09,0.00,0.00
107,382902.15,0.00,0.00
108,1053878.07,0.00,0.00
109,734518.77,0.00,0.00
110,449130.06,0.00,0.00
111,810136.32,0.00,0.00
112,510208.13,0.00,0.00
113,858128.79,0.00,0.00
114,226968.05,0.00,0.00
115,554242.13,0.00,0.00
116,907446.15,0.00,0.00
117,610460.28,0.00,0.00
118,288338.42,0.00,0.00
119,972010.61,0.00,0.00
120,315678.36,0.00,0.00
121,646680.36,0.00,0.00
122,1015348.91,0.00,0.00
123,392918.83,0.00,0.00
124,723294.02,0.00,0.00
125,1075292.83,0.00,0.00
126,428218.36,0.00,0.00
127,762931.59,0.00,0.00
128,486753.23,0.00,0.00
129,841259.48,0.00,0.00
130,228255.75,0.00,0.00
131,560210.23,0.00,0.00
132,897306.20,0.00,0.00
133,602708.34,0.00,0.00
134,288505.08,0.00,0.00
135,934136.39,0.00,0.00
136,676651.00,0.00,0.00
137,368072.75,0.00,0.00
138,1026924.61,0.00,0.00
139,719832.18,0.00,0.00
140,420138.60,0.00,0.00
141,1070857.52,0.00,0.00
142,795656.44,0.00,0.00
143,463385.34,0.00,0.00
144,844792.37,0.00,0.00
145,192042.35,0.00,0.00
146,581842.18,0.00,0.00
147,888347.15,0.00,0.00
148,587845.56,0.00,0.00
149,273067.24,0.00,0.00
150,955816.98,0.00,0.00
151,658257.72,0.00,0.00
152,336189.99,0.00,0.00
153,691580.06,0.00,0.00
154,1033104.42,0.00,0.00
155,362457.99,0.00,0.00
156,1059313.06,0.00,0.00
157,760832.55,0.00,0.00
158,415630.82,0.00,0.00
159,467899.80,0.00,0.00
160,836189.27,0.00,0.00
161,215541.12,0.00,0.00
162,535788.06,0.00,0.00
163,889878.27,0.00,0.00
164,590512.28,0.00,0.00
165,946152.93,0.00,0.00
166,304231.41,0.00,0.00
167,347590.92,0.00,0.00
168,662803.89,0.00,0.00
169,1014046.91,0.00,0.00
170,1053840.64,0.00,0.00
171,398473.26,0.00,0.00
172,728255.03,0.00,0.00
173,1113454.34,0.00,0.00
174,452878.95,0.00,0.00
175,775445.46,0.00,0.00
176,831536.05,0.00,0.00
177,532743.22,0.00,0.00
178,230564.83,0.00,0.00
179,879727.36,0.00,0.00
180,576606.27,0.00,0.00
181,285132.41,0.00,0.00
182,616762.64,0.00,0.00
183,947941.78,0.00,0.00
184,363384.49,0.00,0.00
185,687614.20,0.00,0.00
186,1014297.96,0.00,0.00
187,421456.58,0.00,0.00
188,748987.91,0.00,0.00
189,1088711.98,0.00,0.00
190,472795.96,0.00,0.00
191,818232.77,0.00,0.00
192,539714.81,0.00,0.00
193,888221.26,0.00,0.00
194,959900.62,0.00,0.00
195,653525.59,0.00,0.00
196,705833.44,0.00,0.00
197,1040721.18,0.00,0.00
198,1097621.44,0.00,0.00
199,1155635.60,0.00,0.00
