task_index,total_latency_ms,scheduling_latency_ms,execution_latency_ms
0,19108243.23,0.00,0.00
1,18877822.88,0.00,0.00
2,18657155.99,0.00,0.00
3,18438031.44,0.00,0.00
4,18214451.79,0.00,0.00
5,17991663.46,0.00,0.00
6,17761859.66,0.00,0.00
7,19178268.67,0.00,0.00
8,18953001.02,0.00,0.00
9,18734013.08,0.00,0.00
10,17590780.97,0.00,0.00
11,18519076.59,0.00,0.00
12,17361999.99,0.00,0.00
13,18285621.88,0.00,0.00
14,17129718.78,0.00,0.00
15,18084519.15,0.00,0.00
16,16889260.29,0.00,0.00
17,16652125.36,0.00,0.00
18,17863294.84,0.00,0.00
19,16392910.00,0.00,0.00
20,17660078.53,0.00,0.00
21,17430577.99,0.00,0.00
22,19301570.89,0.00,0.00
23,17196394.68,0.00,0.00
24,19078357.93,0.00,0.00
25,16953869.34,0.00,0.00
26,18862286.33,0.00,0.00
27,16712862.01,0.00,0.00
28,18643864.39,0.00,0.00
29,16489566.09,0.00,0.00
30,18442712.31,0.00,0.00
31,18211359.98,0.00,0.00
32,17987701.65,0.00,0.00
33,17802853.82,0.00,0.00
34,17571767.57,0.00,0.00
35,17338244.92,0.00,0.00
36,17099149.70,0.00,0.00
37,16861507.18,0.00,0.00
38,16626712.80,0.00,0.00
39,19590471.51,0.00,0.00
40,19587562.56,0.00,0.00
41,19373373.03,0.00,0.00
42,19370482.92,0.00,0.00
43,19156576.63,0.00,0.00
44,19155200.48,0.00,0.00
45,18936300.52,0.00,0.00
46,18715286.49,0.00,0.00
47,18933794.26,0.00,0.00
48,18493934.39,0.00,0.00
49,18716003.66,0.00,0.00
50,19631743.67,0.00,0.00
51,18265080.69,0.00,0.00
52,18496677.16,0.00,0.00
53,19402071.00,0.00,0.00
54,18271821.02,0.00,0.00
55,19202043.29,0.00,0.00
56,18067899.70,0.00,0.00
57,18982704.88,0.00,0.00
58,17837676.05,0.00,0.00
59,18765270.95,0.00,0.00
60,18079111.34,0.00,0.00
61,17604147.91,0.00,0.00
62,19687968.25,0.00,0.00
63,18544484.38,0.00,0.00
64,17848501.92,0.00,0.00
65,17363248.59,0.00,0.00
66,19488344.91,0.00,0.00
67,18321226.84,0.00,0.00
68,17613059.52,0.00,0.00
69,17125922.92,0.00,0.00
70,19258147.72,0.00,0.00
71,17374241.11,0.00,0.00
72,16887872.93,0.00,0.00
73,19039035.56,0.00,0.00
74,18126786.47,0.00,0.00
75,17146162.27,0.00,0.00
76,18822026.97,0.00,0.00
77,17895697.36,0.00,0.00
78,16904531.00,0.00,0.00
79,18603032.83,0.00,0.00
80,17657549.86,0.00,0.00
81,18381923.20,0.00,0.00
82,17424734.59,0.00,0.00
83,17197636.37,0.00,0.00
84,18189949.75,0.00,0.00
85,16954547.88,0.00,0.00
86,17957782.98,0.00,0.00
87,17722160.58,0.00,0.00
88,17484290.84,0.00,0.00
89,17258508.44,0.00,0.00
90,17016666.17,0.00,0.00
91,21945248.60,0.00,0.00
92,21732517.24,0.00,0.00
93,21517677.07,0.00,0.00
94,21298593.28,0.00,0.00
95,21077502.73,0.00,0.00
96,20870970.01,0.00,0.00
97,20646939.52,0.00,0.00
98,20442464.59,0.00,0.00
99,20209115.74,0.00,0.00
100,19968806.51,0.00,0.00
101,19729013.68,0.00,0.00
102,19504778.86,0.00,0.00
103,19260686.16,0.00,0.00
104,22591839.31,0.00,0.00
105,22376721.38,0.00,0.00
106,22161244.63,0.00,0.00
107,21940358.64,0.00,0.00
108,21720607.28,0.00,0.00
109,21497269.15,0.00,0.00
110,21273689.03,0.00,0.00
111,21079595.33,0.00,0.00
112,20844378.23,0.00,0.00
113,20602689.27,0.00,0.00
114,20359258.89,0.00,0.00
115,20120694.16,0.00,0.00
116,22886592.63,0.00,0.00
117,22670648.81,0.00,0.00
118,22458457.23,0.00,0.00
119,22239237.79,0.00,0.00
120,22016578.44,0.00,0.00
121,22939326.52,0.00,0.00
122,21793407.68,0.00,0.00
123,22942734.48,0.00,0.00
124,21573960.78,0.00,0.00
125,22727228.16,0.00,0.00
126,22725574.25,0.00,0.00
127,22516551.97,0.00,0.00
128,22511820.32,0.00,0.00
129,22298782.35,0.00,0.00
130,21382908.11,0.00,0.00
131,22296884.06,0.00,0.00
132,22080995.56,0.00,0.00
133,21149992.70,0.00,0.00
134,22077483.89,0.00,0.00
135,21859766.96,0.00,0.00
136,20911054.61,0.00,0.00
137,21850781.92,0.00,0.00
138,23003208.40,0.00,0.00
139,21637544.39,0.00,0.00
140,21626107.45,0.00,0.00
141,20670415.64,0.00,0.00
142,22787035.94,0.00,0.00
143,20432744.74,0.00,0.00
144,22572480.92,0.00,0.00
145,21438472.27,0.00,0.00
146,21423208.00,0.00,0.00
147,22353892.09,0.00,0.00
148,21203747.99,0.00,0.00
149,21191168.07,0.00,0.00
150,22136952.88,0.00,0.00
151,20962431.19,0.00,0.00
152,20951239.59,0.00,0.00
153,20719657.18,0.00,0.00
154,21914070.61,0.00,0.00
155,20708991.05,0.00,0.00
156,20482524.87,0.00,0.00
157,21679241.90,0.00,0.00
158,20472114.09,0.00,0.00
159,21494293.21,0.00,0.00
160,21268739.46,0.00,0.00
161,21036990.88,0.00,0.00
162,20800117.97,0.00,0.00
163,20582969.43,0.00,0.00
164,23234480.86,0.00,0.00
165,23016996.38,0.00,0.00
166,22801945.21,0.00,0.00
167,22584620.48,0.00,0.00
168,22366609.81,0.00,0.00
169,22140511.75,0.00,0.00
170,21936135.29,0.00,0.00
171,21728601.69,0.00,0.00
172,21499998.57,0.00,0.00
173,21267829.42,0.00,0.00
174,21027770.76,0.00,0.00
175,20809487.58,0.00,0.00
176,23457314.01,0.00,0.00
177,23241142.51,0.00,0.00
178,23026708.36,0.00,0.00
179,22814904.69,0.00,0.00
180,22597369.19,0.00,0.00
181,22373018.03,0.00,0.00
182,22156333.92,0.00,0.00
183,21958555.70,0.00,0.00
184,21722692.25,0.00,0.00
185,21483606.82,0.00,0.00
186,21245219.95,0.00,0.00
187,21014394.04,0.00,0.00
188,25343295.81,0.00,0.00
189,25130350.83,0.00,0.00
190,24918954.37,0.00,0.00
191,24706053.26,0.00,0.00
192,24493065.12,0.00,0.00
193,24272881.03,0.00,0.00
194,24058682.20,0.00,0.00
195,23874759.44,0.00,0.00
196,23651245.12,0.00,0.00
197,23423283.10,0.00,0.00
198,23196461.92,0.00,0.00
199,22983315.23,0.00,0.00
