task_index,total_latency_ms,scheduling_latency_ms,execution_latency_ms
0,436854.36,0.00,0.00
1,419349.91,0.00,0.00
2,383207.32,0.00,0.00
3,374844.55,0.00,0.00
4,344966.17,0.00,0.00
5,441486.12,0.00,0.00
6,335064.89,0.00,0.00
7,306774.38,0.00,0.00
8,298378.23,0.00,0.00
9,398508.55,0.00,0.00
10,447306.63,0.00,0.00
11,265874.39,0.00,0.00
12,307399.99,0.00,0.00
13,221353.29,0.00,0.00
14,415364.98,0.00,0.00
15,273616.08,0.00,0.00
16,387830.26,0.00,0.00
17,109159.71,0.00,0.00
18,325559.14,0.00,0.00
19,233287.81,0.00,0.00
20,288691.52,0.00,0.00
21,198107.48,0.00,0.00
22,120982.89,0.00,0.00
23,409904.96,0.00,0.00
24,247577.67,0.00,0.00
25,86828.95,0.00,0.00
26,216719.87,0.00,0.00
27,312251.33,0.00,0.00
28,135578.87,0.00,0.00
29,108068.47,0.00,0.00
30,224463.22,0.00,0.00
31,207066.77,0.00,0.00
32,117443.08,0.00,0.00
33,164216.04,0.00,0.00
34,99239.35,0.00,0.00
35,317823.89,0.00,0.00
36,147980.21,0.00,0.00
37,120016.34,0.00,0.00
38,130976.20,0.00,0.00
39,113535.64,0.00,0.00
40,135660.65,0.00,0.00
41,135701.18,0.00,0.00
42,101287.36,0.00,0.00
43,157781.84,0.00,0.00
44,124944.69,0.00,0.00
45,163729.67,0.00,0.00
46,101382.49,0.00,0.00
47,143330.10,0.00,0.00
48,148951.29,0.00,0.00
49,124788.28,0.00,0.00
50,145492.32,0.00,0.00
51,120632.65,0.00,0.00
52,156608.58,0.00,0.00
53,144639.73,0.00,0.00
54,104285.48,0.00,0.00
55,156938.79,0.00,0.00
56,129703.76,0.00,0.00
57,172817.95,0.00,0.00
58,103899.96,0.00,0.00
59,124653.10,0.00,0.00
60,113560.91,0.00,0.00
61,171919.58,0.00,0.00
62,134238.96,0.00,0.00
63,112477.30,0.00,0.00
64,149493.93,0.00,0.00
65,124376.30,0.00,0.00
66,141925.33,0.00,0.00
67,114094.50,0.00,0.00
68,153400.18,0.00,0.00
69,142710.92,0.00,0.00
70,114523.65,0.00,0.00
71,159261.47,0.00,0.00
72,168136.36,0.00,0.00
73,138822.32,0.00,0.00
74,97463.13,0.00,0.00
75,154080.87,0.00,0.00
76,125046.25,0.00,0.00
77,165437.70,0.00,0.00
78,139989.85,0.00,0.00
79,116254.81,0.00,0.00
80,150197.74,0.00,0.00
81,143489.12,0.00,0.00
82,117188.69,0.00,0.00
83,157854.56,0.00,0.00
84,173298.84,0.00,0.00
85,145950.56,0.00,0.00
86,107713.46,0.00,0.00
87,160522.70,0.00,0.00
88,120467.90,0.00,0.00
89,177595.14,0.00,0.00
90,109784.13,0.00,0.00
91,152074.10,0.00,0.00
92,139399.77,0.00,0.00
93,171779.63,0.00,0.00
94,114899.87,0.00,0.00
95,160541.53,0.00,0.00
96,135472.06,0.00,0.00
97,184365.75,0.00,0.00
98,153466.46,0.00,0.00
99,178193.81,0.00,0.00
