task_index,total_latency_ms,scheduling_latency_ms,execution_latency_ms
0,597958.33,0.00,0.00
1,294836.04,0.00,0.00
2,66301.35,0.00,0.00
3,578057.53,0.00,0.00
4,311525.34,0.00,0.00
5,84681.51,0.00,0.00
6,626390.22,0.00,0.00
7,112555.03,0.00,0.00
8,345638.51,0.00,0.00
9,635837.32,0.00,0.00
10,142126.32,0.00,0.00
11,365459.44,0.00,0.00
12,666679.86,0.00,0.00
13,178288.94,0.00,0.00
14,428910.02,0.00,0.00
15,703515.05,0.00,0.00
16,443127.39,0.00,0.00
17,220005.99,0.00,0.00
18,740695.00,0.00,0.00
19,261452.91,0.00,0.00
20,517672.54,0.00,0.00
21,771875.14,0.00,0.00
22,555021.29,0.00,0.00
23,307666.78,0.00,0.00
24,814383.75,0.00,0.00
25,599665.88,0.00,0.00
26,340462.45,0.00,0.00
27,846400.02,0.00,0.00
28,137130.02,0.00,0.00
29,370666.98,0.00,0.00
30,642789.84,0.00,0.00
31,883083.58,0.00,0.00
32,176042.08,0.00,0.00
33,398385.29,0.00,0.00
34,686553.72,0.00,0.00
35,920853.14,0.00,0.00
36,203779.70,0.00,0.00
37,428504.71,0.00,0.00
38,727930.31,0.00,0.00
39,960591.55,0.00,0.00
40,232144.59,0.00,0.00
41,456264.50,0.00,0.00
42,769323.11,0.00,0.00
43,1000868.80,0.00,0.00
44,262081.62,0.00,0.00
45,487262.01,0.00,0.00
46,813242.44,0.00,0.00
47,1040234.80,0.00,0.00
48,294139.62,0.00,0.00
49,516897.68,0.00,0.00
50,854931.12,0.00,0.00
51,1081707.72,0.00,0.00
52,324218.03,0.00,0.00
53,546133.04,0.00,0.00
54,897248.74,0.00,0.00
55,355683.09,0.00,0.00
56,145312.07,0.00,0.00
57,387262.58,0.00,0.00
58,195441.72,0.00,0.00
59,420752.05,0.00,0.00
60,228865.62,0.00,0.00
61,452569.01,0.00,0.00
62,259228.23,0.00,0.00
63,484720.47,0.00,0.00
64,290186.17,0.00,0.00
65,516693.35,0.00,0.00
66,305793.29,0.00,0.00
67,552880.05,0.00,0.00
68,336920.02,0.00,0.00
69,584802.87,0.00,0.00
70,362931.25,0.00,0.00
71,622682.57,0.00,0.00
72,134686.23,0.00,0.00
73,409222.60,0.00,0.00
74,197378.64,0.00,0.00
75,444437.74,0.00,0.00
76,199198.72,0.00,0.00
77,474357.60,0.00,0.00
78,287511.59,0.00,0.00
79,506182.91,0.00,0.00
80,290221.69,0.00,0.00
81,542939.66,0.00,0.00
82,311485.53,0.00,0.00
83,575613.74,0.00,0.00
84,340197.32,0.00,0.00
85,609551.91,0.00,0.00
86,376557.59,0.00,0.00
87,642460.58,0.00,0.00
88,135637.76,0.00,0.00
89,409861.09,0.00,0.00
90,187032.70,0.00,0.00
91,441854.95,0.00,0.00
92,219647.41,0.00,0.00
93,475185.16,0.00,0.00
94,248070.72,0.00,0.00
95,507511.14,0.00,0.00
96,287321.81,0.00,0.00
97,540998.22,0.00,0.00
98,319737.20,0.00,0.00
99,575509.07,0.00,0.00
100,357559.44,0.00,0.00
101,609812.50,0.00,0.00
102,389084.10,0.00,0.00
103,111040.83,0.00,0.00
104,640456.44,0.00,0.00
105,420127.63,0.00,0.00
106,159294.84,0.00,0.00
107,452393.29,0.00,0.00
108,185350.66,0.00,0.00
109,224477.05,0.00,0.00
110,492788.31,0.00,0.00
111,254836.80,0.00,0.00
112,526614.90,0.00,0.00
113,562728.40,0.00,0.00
114,298240.66,0.00,0.00
115,328320.26,0.00,0.00
116,602310.18,0.00,0.00
117,362923.62,0.00,0.00
118,635172.13,0.00,0.00
119,391928.67,0.00,0.00
120,668497.80,0.00,0.00
121,141209.13,0.00,0.00
122,416751.38,0.00,0.00
123,192918.30,0.00,0.00
124,446274.28,0.00,0.00
125,222715.62,0.00,0.00
126,477509.98,0.00,0.00
127,252718.93,0.00,0.00
128,507542.13,0.00,0.00
129,285311.94,0.00,0.00
130,533288.72,0.00,0.00
131,316853.52,0.00,0.00
132,570314.17,0.00,0.00
133,348536.73,0.00,0.00
134,603501.56,0.00,0.00
135,377187.73,0.00,0.00
136,136093.38,0.00,0.00
137,407177.69,0.00,0.00
138,182919.03,0.00,0.00
139,440963.75,0.00,0.00
140,213414.67,0.00,0.00
141,472425.70,0.00,0.00
142,244949.82,0.00,0.00
143,494372.84,0.00,0.00
144,285803.56,0.00,0.00
145,582709.07,0.00,0.00
146,319291.11,0.00,0.00
147,589685.92,0.00,0.00
148,350587.37,0.00,0.00
149,619331.84,0.00,0.00
150,378333.33,0.00,0.00
151,121240.14,0.00,0.00
152,652710.44,0.00,0.00
153,411244.63,0.00,0.00
154,168591.02,0.00,0.00
155,442631.96,0.00,0.00
156,201478.00,0.00,0.00
157,474632.98,0.00,0.00
158,236552.95,0.00,0.00
159,508494.85,0.00,0.00
160,267531.39,0.00,0.00
161,533921.00,0.00,0.00
162,299423.93,0.00,0.00
163,557868.72,0.00,0.00
164,328956.84,0.00,0.00
165,589028.60,0.00,0.00
166,360769.51,0.00,0.00
167,618077.04,0.00,0.00
168,121021.75,0.00,0.00
169,388844.97,0.00,0.00
170,169794.08,0.00,0.00
171,409288.17,0.00,0.00
172,433705.57,0.00,0.00
173,203530.79,0.00,0.00
174,465301.28,0.00,0.00
175,236468.55,0.00,0.00
176,498693.94,0.00,0.00
177,272998.09,0.00,0.00
178,536169.05,0.00,0.00
179,312443.02,0.00,0.00
180,571294.78,0.00,0.00
181,346460.10,0.00,0.00
182,601955.89,0.00,0.00
183,376360.42,0.00,0.00
184,408230.78,0.00,0.00
185,148970.84,0.00,0.00
186,439242.60,0.00,0.00
187,223019.12,0.00,0.00
188,471931.93,0.00,0.00
189,258631.47,0.00,0.00
190,507268.19,0.00,0.00
191,308393.24,0.00,0.00
192,547075.75,0.00,0.00
193,346018.55,0.00,0.00
194,586968.90,0.00,0.00
195,389227.39,0.00,0.00
196,633026.60,0.00,0.00
197,432816.51,0.00,0.00
198,671141.15,0.00,0.00
199,479604.96,0.00,0.00
