task_index,total_latency_ms,scheduling_latency_ms,execution_latency_ms
0,486604.21,0.00,0.00
1,354241.85,0.00,0.00
2,459338.43,0.00,0.00
3,257508.04,0.00,0.00
4,543568.13,0.00,0.00
5,673928.26,0.00,0.00
6,598748.92,0.00,0.00
7,844083.79,0.00,0.00
8,268493.65,0.00,0.00
9,630112.17,0.00,0.00
10,401422.02,0.00,0.00
11,704873.80,0.00,0.00
12,610972.64,0.00,0.00
13,827937.84,0.00,0.00
14,493170.50,0.00,0.00
15,769790.65,0.00,0.00
16,321174.14,0.00,0.00
17,550772.91,0.00,0.00
18,952785.02,0.00,0.00
19,270788.91,0.00,0.00
20,415140.15,0.00,0.00
21,639485.36,0.00,0.00
22,744664.43,0.00,0.00
23,400046.11,0.00,0.00
24,1391923.67,0.00,0.00
25,465549.71,0.00,0.00
26,637638.57,0.00,0.00
27,1240084.41,0.00,0.00
28,868368.86,0.00,0.00
29,518156.05,0.00,0.00
30,1457927.70,0.00,0.00
31,1347106.93,0.00,0.00
32,1207672.60,0.00,0.00
33,1421396.49,0.00,0.00
34,983814.24,0.00,0.00
35,308596.37,0.00,0.00
36,654393.20,0.00,0.00
37,1289593.70,0.00,0.00
38,255642.65,0.00,0.00
39,294299.36,0.00,0.00
40,1501638.17,0.00,0.00
41,1265849.59,0.00,0.00
42,1649030.45,0.00,0.00
43,366039.28,0.00,0.00
44,1580535.17,0.00,0.00
45,1227026.46,0.00,0.00
46,1623514.18,0.00,0.00
47,447266.10,0.00,0.00
48,1449658.16,0.00,0.00
49,505256.89,0.00,0.00
50,1835448.74,0.00,0.00
51,2099843.50,0.00,0.00
52,1330556.87,0.00,0.00
53,1496324.06,0.00,0.00
54,1887358.43,0.00,0.00
55,1408750.77,0.00,0.00
56,1110189.68,0.00,0.00
57,1486783.50,0.00,0.00
58,1192472.70,0.00,0.00
59,1211504.46,0.00,0.00
60,1757469.89,0.00,0.00
61,2434302.09,0.00,0.00
62,1193188.67,0.00,0.00
63,1316862.58,0.00,0.00
64,1350944.04,0.00,0.00
65,2515877.72,0.00,0.00
66,1414055.11,0.00,0.00
67,1394862.65,0.00,0.00
68,1493288.04,0.00,0.00
69,1431216.96,0.00,0.00
70,1550021.89,0.00,0.00
71,2732399.94,0.00,0.00
72,1954391.72,0.00,0.00
73,2163188.93,0.00,0.00
74,1073259.83,0.00,0.00
75,1917228.94,0.00,0.00
76,2199597.36,0.00,0.00
77,699789.29,0.00,0.00
78,1154345.75,0.00,0.00
79,1644080.16,0.00,0.00
80,772306.68,0.00,0.00
81,1176101.21,0.00,0.00
82,2019216.78,0.00,0.00
83,806339.03,0.00,0.00
84,1464809.66,0.00,0.00
85,1290130.62,0.00,0.00
86,2420700.31,0.00,0.00
87,887855.77,0.00,0.00
88,2159186.84,0.00,0.00
89,1316219.33,0.00,0.00
90,932238.10,0.00,0.00
91,2203687.91,0.00,0.00
92,1352581.02,0.00,0.00
93,1389849.19,0.00,0.00
94,1643686.06,0.00,0.00
95,1363062.62,0.00,0.00
96,1681669.95,0.00,0.00
97,1677178.86,0.00,0.00
98,1469717.74,0.00,0.00
99,778700.83,0.00,0.00
100,1741664.17,0.00,0.00
101,601665.02,0.00,0.00
102,637187.96,0.00,0.00
103,948891.64,0.00,0.00
104,716404.91,0.00,0.00
105,760935.07,0.00,0.00
106,804362.54,0.00,0.00
107,2732542.04,0.00,0.00
108,2804830.07,0.00,0.00
109,3022332.91,0.00,0.00
110,3097502.47,0.00,0.00
111,1906690.84,0.00,0.00
112,3172386.17,0.00,0.00
113,2364844.80,0.00,0.00
114,3888504.27,0.00,0.00
115,2149759.53,0.00,0.00
116,2189354.42,0.00,0.00
117,3409569.26,0.00,0.00
118,2551541.33,0.00,0.00
119,1289156.20,0.00,0.00
120,2595982.07,0.00,0.00
121,4165466.07,0.00,0.00
122,2005741.60,0.00,0.00
123,3289262.29,0.00,0.00
124,2037105.08,0.00,0.00
125,3328038.45,0.00,0.00
126,1782796.14,0.00,0.00
127,2876889.71,0.00,0.00
128,3564048.05,0.00,0.00
129,2028821.47,0.00,0.00
130,2076780.80,0.00,0.00
131,1225197.55,0.00,0.00
132,3955254.55,0.00,0.00
133,4037073.85,0.00,0.00
134,2275899.89,0.00,0.00
135,4269884.35,0.00,0.00
136,4544312.72,0.00,0.00
137,3664430.62,0.00,0.00
138,3703185.32,0.00,0.00
139,4110585.69,0.00,0.00
140,2532318.59,0.00,0.00
141,3569292.55,0.00,0.00
142,2581875.32,0.00,0.00
143,4332138.78,0.00,0.00
144,3951198.10,0.00,0.00
145,4379182.10,0.00,0.00
146,4430735.59,0.00,0.00
147,2855256.56,0.00,0.00
148,2250256.06,0.00,0.00
149,2446636.44,0.00,0.00
150,4666971.21,0.00,0.00
151,2497835.16,0.00,0.00
152,2713600.40,0.00,0.00
153,4390603.07,0.00,0.00
154,5249477.39,0.00,0.00
155,3258763.55,0.00,0.00
156,5322896.00,0.00,0.00
157,4686660.77,0.00,0.00
158,3332305.19,0.00,0.00
159,5924694.54,0.00,0.00
160,4743956.80,0.00,0.00
161,6018097.40,0.00,0.00
162,5526987.31,0.00,0.00
163,6083775.28,0.00,0.00
164,3554065.94,0.00,0.00
165,4958338.02,0.00,0.00
166,6164750.58,0.00,0.00
167,6208748.82,0.00,0.00
168,4796577.22,0.00,0.00
169,2832353.59,0.00,0.00
170,5393471.00,0.00,0.00
171,4232413.77,0.00,0.00
172,5475929.74,0.00,0.00
173,5887470.01,0.00,0.00
174,5541111.71,0.00,0.00
175,5933608.77,0.00,0.00
176,5580440.28,0.00,0.00
177,6006044.86,0.00,0.00
178,5661609.89,0.00,0.00
179,5902243.38,0.00,0.00
180,6088073.73,0.00,0.00
181,5707517.15,0.00,0.00
182,5982350.11,0.00,0.00
183,5790184.50,0.00,0.00
184,5870673.18,0.00,0.00
185,6328883.65,0.00,0.00
186,4977618.22,0.00,0.00
187,5166289.09,0.00,0.00
188,5449233.06,0.00,0.00
189,6249008.89,0.00,0.00
190,5097028.97,0.00,0.00
191,6274096.01,0.00,0.00
192,5323508.02,0.00,0.00
193,5560221.67,0.00,0.00
194,5702331.78,0.00,0.00
195,5192052.84,0.00,0.00
196,6402443.65,0.00,0.00
197,5658068.42,0.00,0.00
198,7053217.65,0.00,0.00
199,5789416.55,0.00,0.00
200,5276391.98,0.00,0.00
201,6160657.88,0.00,0.00
202,5552370.07,0.00,0.00
203,5368088.72,0.00,0.00
204,6244790.08,0.00,0.00
205,6631112.10,0.00,0.00
206,6021881.34,0.00,0.00
207,5936903.24,0.00,0.00
208,6062478.54,0.00,0.00
209,4862024.55,0.00,0.00
210,5973201.99,0.00,0.00
211,6150004.39,0.00,0.00
212,6488206.62,0.00,0.00
213,6090555.91,0.00,0.00
214,6130450.25,0.00,0.00
215,6213282.35,0.00,0.00
216,6380955.22,0.00,0.00
217,7067475.56,0.00,0.00
218,5385795.35,0.00,0.00
219,6206231.59,0.00,0.00
220,5478047.85,0.00,0.00
221,5533733.37,0.00,0.00
222,5584859.13,0.00,0.00
223,6718951.70,0.00,0.00
224,6437992.57,0.00,0.00
225,6187027.22,0.00,0.00
226,5680387.02,0.00,0.00
227,6558487.18,0.00,0.00
228,6366470.10,0.00,0.00
229,6636250.02,0.00,0.00
230,6403268.10,0.00,0.00
231,6078100.20,0.00,0.00
232,6714896.20,0.00,0.00
233,6567471.50,0.00,0.00
234,6136065.72,0.00,0.00
235,6530125.86,0.00,0.00
236,5217871.67,0.00,0.00
237,6623432.64,0.00,0.00
238,6571075.20,0.00,0.00
239,6866873.03,0.00,0.00
240,5309464.45,0.00,0.00
241,5760195.49,0.00,0.00
242,6664972.54,0.00,0.00
243,6942847.25,0.00,0.00
244,6383305.79,0.00,0.00
245,6998965.74,0.00,0.00
246,6140267.85,0.00,0.00
247,5542866.71,0.00,0.00
248,5590672.49,0.00,0.00
249,6909993.41,0.00,0.00
250,6223437.55,0.00,0.00
251,5646119.59,0.00,0.00
252,6992844.34,0.00,0.00
253,6313941.72,0.00,0.00
254,6138305.43,0.00,0.00
255,6624611.14,0.00,0.00
256,6395065.31,0.00,0.00
257,6666610.96,0.00,0.00
258,6229913.23,0.00,0.00
259,5890080.21,0.00,0.00
260,6472364.43,0.00,0.00
261,6952036.38,0.00,0.00
262,6843129.87,0.00,0.00
263,6077864.41,0.00,0.00
264,6873856.07,0.00,0.00
265,6795066.83,0.00,0.00
266,6966019.15,0.00,0.00
267,8734727.38,0.00,0.00
268,7198560.71,0.00,0.00
269,7014769.08,0.00,0.00
270,8783113.00,0.00,0.00
271,7283051.97,0.00,0.00
272,7046179.77,0.00,0.00
273,6150576.35,0.00,0.00
274,8876326.56,0.00,0.00
275,7102014.30,0.00,0.00
276,6239532.47,0.00,0.00
277,8967512.37,0.00,0.00
278,7520542.14,0.00,0.00
