task_index,total_latency_ms,scheduling_latency_ms,execution_latency_ms
0,11801.48,0.00,0.00
1,17335.89,0.00,0.00
2,4287.96,0.00,0.00
3,6297.83,0.00,0.00
4,27260.78,0.00,0.00
5,14626.50,0.00,0.00
6,21579.50,0.00,0.00
7,12023.69,0.00,0.00
8,21829.37,0.00,0.00
9,21286.01,0.00,0.00
10,14218.81,0.00,0.00
11,22732.26,0.00,0.00
12,31895.64,0.00,0.00
13,40912.63,0.00,0.00
14,30433.65,0.00,0.00
15,37295.10,0.00,0.00
16,49405.81,0.00,0.00
17,43762.21,0.00,0.00
18,26957.51,0.00,0.00
19,35916.57,0.00,0.00
20,58601.86,0.00,0.00
21,34709.69,0.00,0.00
22,50935.51,0.00,0.00
23,47876.12,0.00,0.00
24,38593.29,0.00,0.00
25,70369.01,0.00,0.00
26,47914.27,0.00,0.00
27,64404.73,0.00,0.00
28,44932.84,0.00,0.00
29,53710.46,0.00,0.00
30,41101.46,0.00,0.00
31,42106.39,0.00,0.00
32,62769.65,0.00,0.00
33,56224.11,0.00,0.00
34,77437.64,0.00,0.00
35,51793.58,0.00,0.00
36,78132.15,0.00,0.00
37,43245.55,0.00,0.00
38,81485.75,0.00,0.00
39,76298.24,0.00,0.00
40,44725.66,0.00,0.00
41,41498.18,0.00,0.00
42,67171.57,0.00,0.00
43,95071.32,0.00,0.00
44,77623.37,0.00,0.00
45,76553.82,0.00,0.00
46,66938.16,0.00,0.00
47,56810.38,0.00,0.00
48,82283.97,0.00,0.00
49,76235.29,0.00,0.00
50,41978.60,0.00,0.00
51,70282.46,0.00,0.00
52,43406.25,0.00,0.00
53,52965.88,0.00,0.00
54,40629.39,0.00,0.00
55,88494.78,0.00,0.00
56,48165.32,0.00,0.00
57,41430.00,0.00,0.00
58,61578.27,0.00,0.00
59,42573.45,0.00,0.00
60,58484.32,0.00,0.00
61,64288.85,0.00,0.00
62,48573.73,0.00,0.00
63,43987.27,0.00,0.00
64,64492.94,0.00,0.00
65,71686.51,0.00,0.00
66,36290.88,0.00,0.00
67,57679.89,0.00,0.00
68,63569.31,0.00,0.00
69,36457.78,0.00,0.00
70,61527.97,0.00,0.00
71,57383.06,0.00,0.00
72,37769.56,0.00,0.00
73,35666.47,0.00,0.00
74,46842.34,0.00,0.00
75,30145.65,0.00,0.00
76,41318.89,0.00,0.00
77,47080.99,0.00,0.00
78,37612.92,0.00,0.00
79,32417.77,0.00,0.00
80,44273.85,0.00,0.00
81,44585.94,0.00,0.00
82,54695.61,0.00,0.00
83,42207.96,0.00,0.00
84,49419.64,0.00,0.00
85,60400.96,0.00,0.00
86,54031.61,0.00,0.00
87,49227.71,0.00,0.00
88,56778.43,0.00,0.00
89,56224.82,0.00,0.00
90,32585.14,0.00,0.00
91,75679.30,0.00,0.00
92,37444.83,0.00,0.00
93,39004.56,0.00,0.00
94,71070.19,0.00,0.00
95,64737.56,0.00,0.00
96,35314.08,0.00,0.00
97,34582.85,0.00,0.00
98,46782.02,0.00,0.00
99,34255.74,0.00,0.00
100,41990.52,0.00,0.00
101,53101.06,0.00,0.00
102,43596.98,0.00,0.00
103,41620.25,0.00,0.00
104,55440.43,0.00,0.00
105,56361.44,0.00,0.00
106,65672.40,0.00,0.00
107,56283.00,0.00,0.00
108,62103.99,0.00,0.00
109,30131.82,0.00,0.00
110,61063.53,0.00,0.00
111,53715.47,0.00,0.00
112,33020.50,0.00,0.00
113,31914.47,0.00,0.00
114,46958.21,0.00,0.00
115,37409.07,0.00,0.00
116,43082.71,0.00,0.00
117,61155.08,0.00,0.00
118,43971.78,0.00,0.00
119,34560.20,0.00,0.00
120,50111.53,0.00,0.00
121,43241.02,0.00,0.00
122,67291.50,0.00,0.00
123,56487.80,0.00,0.00
124,60571.43,0.00,0.00
125,62572.00,0.00,0.00
126,63799.62,0.00,0.00
127,57240.96,0.00,0.00
128,65043.21,0.00,0.00
129,62992.81,0.00,0.00
130,48901.56,0.00,0.00
131,39603.23,0.00,0.00
132,42027.47,0.00,0.00
133,45846.46,0.00,0.00
134,46327.11,0.00,0.00
135,35516.50,0.00,0.00
136,48338.65,0.00,0.00
137,44369.94,0.00,0.00
138,66238.16,0.00,0.00
