task_index,total_latency_ms,scheduling_latency_ms,execution_latency_ms
0,631331.92,0.00,0.00
1,600838.42,0.00,0.00
2,558753.01,0.00,0.00
3,589652.54,0.00,0.00
4,495651.25,0.00,0.00
5,471814.39,0.00,0.00
6,464342.12,0.00,0.00
7,505784.03,0.00,0.00
8,411618.95,0.00,0.00
9,374915.12,0.00,0.00
10,397454.98,0.00,0.00
11,615377.90,0.00,0.00
12,231503.01,0.00,0.00
13,303630.11,0.00,0.00
14,335457.80,0.00,0.00
15,446197.99,0.00,0.00
16,611810.45,0.00,0.00
17,596489.91,0.00,0.00
18,581669.09,0.00,0.00
19,528591.87,0.00,0.00
20,374996.66,0.00,0.00
21,232144.36,0.00,0.00
22,503853.32,0.00,0.00
23,261292.70,0.00,0.00
24,537277.94,0.00,0.00
25,526315.45,0.00,0.00
26,444089.65,0.00,0.00
27,364140.03,0.00,0.00
28,435153.72,0.00,0.00
29,195110.56,0.00,0.00
30,191836.36,0.00,0.00
31,470210.55,0.00,0.00
32,378525.73,0.00,0.00
33,448931.93,0.00,0.00
34,313162.80,0.00,0.00
35,392956.26,0.00,0.00
36,315363.41,0.00,0.00
37,402099.13,0.00,0.00
38,250739.34,0.00,0.00
39,242616.18,0.00,0.00
40,351097.58,0.00,0.00
41,452562.33,0.00,0.00
42,382665.87,0.00,0.00
43,207367.66,0.00,0.00
44,334125.76,0.00,0.00
45,429235.22,0.00,0.00
46,215165.14,0.00,0.00
47,345342.87,0.00,0.00
48,327053.55,0.00,0.00
49,411945.82,0.00,0.00
50,186508.42,0.00,0.00
51,339627.27,0.00,0.00
52,473562.48,0.00,0.00
53,219090.94,0.00,0.00
54,410595.18,0.00,0.00
55,277809.38,0.00,0.00
56,455912.83,0.00,0.00
57,179679.39,0.00,0.00
58,339711.67,0.00,0.00
59,518057.35,0.00,0.00
60,213908.91,0.00,0.00
61,363358.74,0.00,0.00
62,544297.22,0.00,0.00
63,233421.33,0.00,0.00
64,422539.23,0.00,0.00
65,273622.27,0.00,0.00
66,140521.05,0.00,0.00
67,460618.50,0.00,0.00
68,348928.45,0.00,0.00
69,178801.30,0.00,0.00
70,509774.45,0.00,0.00
71,370086.67,0.00,0.00
72,276044.85,0.00,0.00
73,434579.61,0.00,0.00
74,340819.60,0.00,0.00
75,214722.63,0.00,0.00
76,377500.53,0.00,0.00
77,527754.55,0.00,0.00
78,437842.61,0.00,0.00
79,282274.01,0.00,0.00
80,321527.72,0.00,0.00
81,510522.60,0.00,0.00
82,327390.43,0.00,0.00
83,599631.55,0.00,0.00
84,420625.69,0.00,0.00
85,274781.94,0.00,0.00
86,467661.86,0.00,0.00
87,288064.00,0.00,0.00
88,531852.72,0.00,0.00
89,365065.34,0.00,0.00
90,599588.39,0.00,0.00
91,435627.22,0.00,0.00
92,276846.17,0.00,0.00
93,481146.10,0.00,0.00
94,508794.31,0.00,0.00
95,338077.07,0.00,0.00
96,383352.28,0.00,0.00
97,600698.71,0.00,0.00
98,442074.06,0.00,0.00
99,626431.47,0.00,0.00
100,236766.82,0.00,0.00
