task_index,total_latency_ms,scheduling_latency_ms,execution_latency_ms
0,287233.59,0.00,0.00
1,272152.90,0.00,0.00
2,257715.23,0.00,0.00
3,245663.40,0.00,0.00
4,234493.02,0.00,0.00
5,229219.20,0.00,0.00
6,197704.55,0.00,0.00
7,230105.64,0.00,0.00
8,121628.28,0.00,0.00
9,148714.30,0.00,0.00
10,117571.12,0.00,0.00
11,204487.09,0.00,0.00
12,244741.44,0.00,0.00
13,202901.12,0.00,0.00
14,116923.33,0.00,0.00
15,142143.01,0.00,0.00
16,231199.74,0.00,0.00
17,86200.71,0.00,0.00
18,144063.95,0.00,0.00
19,172863.01,0.00,0.00
20,146647.45,0.00,0.00
21,141734.84,0.00,0.00
22,113450.77,0.00,0.00
23,197021.48,0.00,0.00
24,164187.43,0.00,0.00
25,144738.44,0.00,0.00
26,136595.96,0.00,0.00
27,115909.10,0.00,0.00
28,169347.52,0.00,0.00
29,146848.68,0.00,0.00
30,100232.36,0.00,0.00
31,153210.88,0.00,0.00
32,134530.31,0.00,0.00
33,168903.83,0.00,0.00
34,105493.07,0.00,0.00
35,141418.93,0.00,0.00
36,156791.93,0.00,0.00
37,133127.45,0.00,0.00
38,141256.09,0.00,0.00
39,120215.89,0.00,0.00
40,154146.43,0.00,0.00
41,139984.85,0.00,0.00
42,141453.03,0.00,0.00
43,118655.68,0.00,0.00
44,168114.66,0.00,0.00
45,139482.26,0.00,0.00
46,117560.63,0.00,0.00
47,153124.33,0.00,0.00
48,170386.55,0.00,0.00
49,141432.05,0.00,0.00
50,108103.28,0.00,0.00
51,153787.14,0.00,0.00
52,104667.43,0.00,0.00
53,172297.24,0.00,0.00
54,119076.97,0.00,0.00
55,162530.42,0.00,0.00
56,130234.24,0.00,0.00
57,164649.49,0.00,0.00
58,117744.21,0.00,0.00
59,149872.78,0.00,0.00
60,114583.49,0.00,0.00
61,169069.05,0.00,0.00
62,102032.90,0.00,0.00
63,165579.08,0.00,0.00
64,117597.34,0.00,0.00
65,172189.47,0.00,0.00
66,107098.10,0.00,0.00
67,154135.94,0.00,0.00
68,122060.30,0.00,0.00
69,178864.24,0.00,0.00
70,142176.63,0.00,0.00
71,123329.88,0.00,0.00
72,151637.79,0.00,0.00
73,139223.10,0.00,0.00
74,124169.11,0.00,0.00
75,161957.98,0.00,0.00
76,170047.28,0.00,0.00
77,143343.21,0.00,0.00
78,110248.57,0.00,0.00
79,151668.55,0.00,0.00
80,130530.60,0.00,0.00
81,174128.29,0.00,0.00
82,138234.62,0.00,0.00
83,111971.62,0.00,0.00
84,165659.67,0.00,0.00
85,135431.29,0.00,0.00
86,114785.19,0.00,0.00
87,157849.55,0.00,0.00
88,125696.18,0.00,0.00
89,170194.63,0.00,0.00
90,102697.13,0.00,0.00
91,144641.16,0.00,0.00
92,126092.43,0.00,0.00
93,175082.68,0.00,0.00
94,146075.01,0.00,0.00
95,116948.60,0.00,0.00
96,158963.20,0.00,0.00
97,143152.95,0.00,0.00
98,164828.06,0.00,0.00
99,155628.92,0.00,0.00
100,192516.57,0.00,0.00
101,149521.35,0.00,0.00
102,141252.28,0.00,0.00
103,181739.33,0.00,0.00
104,132756.47,0.00,0.00
105,186919.69,0.00,0.00
106,157642.60,0.00,0.00
107,127686.50,0.00,0.00
108,147858.14,0.00,0.00
109,127924.92,0.00,0.00
110,174966.81,0.00,0.00
111,146262.88,0.00,0.00
112,166911.36,0.00,0.00
113,145403.39,0.00,0.00
114,113020.18,0.00,0.00
115,160346.51,0.00,0.00
116,124520.06,0.00,0.00
117,172596.69,0.00,0.00
118,142082.69,0.00,0.00
119,116057.63,0.00,0.00
120,140475.27,0.00,0.00
121,127282.62,0.00,0.00
122,128151.89,0.00,0.00
123,116816.28,0.00,0.00
124,156135.32,0.00,0.00
125,133476.97,0.00,0.00
126,105069.40,0.00,0.00
127,144407.75,0.00,0.00
128,128780.84,0.00,0.00
129,176305.77,0.00,0.00
130,110147.48,0.00,0.00
131,147355.79,0.00,0.00
132,128994.70,0.00,0.00
133,162716.87,0.00,0.00
134,151134.49,0.00,0.00
135,121847.63,0.00,0.00
136,165606.26,0.00,0.00
137,141810.42,0.00,0.00
138,108639.24,0.00,0.00
139,147624.25,0.00,0.00
140,129822.97,0.00,0.00
141,170523.17,0.00,0.00
142,138799.91,0.00,0.00
143,110819.34,0.00,0.00
144,158400.06,0.00,0.00
145,129028.08,0.00,0.00
146,142317.06,0.00,0.00
147,111183.40,0.00,0.00
148,154005.29,0.00,0.00
149,131295.92,0.00,0.00
150,143268.11,0.00,0.00
151,120413.06,0.00,0.00
152,143437.15,0.00,0.00
153,132159.71,0.00,0.00
154,114744.90,0.00,0.00
155,151252.03,0.00,0.00
156,137549.16,0.00,0.00
157,183200.36,0.00,0.00
158,140450.72,0.00,0.00
159,146892.55,0.00,0.00
160,166319.13,0.00,0.00
161,166736.13,0.00,0.00
162,126734.73,0.00,0.00
163,135174.75,0.00,0.00
164,186735.63,0.00,0.00
165,200579.17,0.00,0.00
166,155649.19,0.00,0.00
167,124252.56,0.00,0.00
168,132544.99,0.00,0.00
169,171842.81,0.00,0.00
170,144552.47,0.00,0.00
171,117118.36,0.00,0.00
172,125545.02,0.00,0.00
173,162507.53,0.00,0.00
174,144873.14,0.00,0.00
175,118718.15,0.00,0.00
176,168277.26,0.00,0.00
177,138949.87,0.00,0.00
178,144000.53,0.00,0.00
179,121269.94,0.00,0.00
180,167296.17,0.00,0.00
181,142305.14,0.00,0.00
182,105749.13,0.00,0.00
183,157251.60,0.00,0.00
184,110780.48,0.00,0.00
185,166435.96,0.00,0.00
186,127461.43,0.00,0.00
187,106346.61,0.00,0.00
188,150674.10,0.00,0.00
189,122163.53,0.00,0.00
190,136240.48,0.00,0.00
191,108403.68,0.00,0.00
192,149664.88,0.00,0.00
193,119689.70,0.00,0.00
194,141449.93,0.00,0.00
195,108373.64,0.00,0.00
196,153204.92,0.00,0.00
197,135160.21,0.00,0.00
198,111907.01,0.00,0.00
199,155755.04,0.00,0.00
200,125304.70,0.00,0.00
201,169705.63,0.00,0.00
202,98796.61,0.00,0.00
203,140514.61,0.00,0.00
204,110220.43,0.00,0.00
205,156335.83,0.00,0.00
206,161804.20,0.00,0.00
207,116799.83,0.00,0.00
208,161091.57,0.00,0.00
209,144243.48,0.00,0.00
210,109831.57,0.00,0.00
211,151459.22,0.00,0.00
212,121246.81,0.00,0.00
213,182859.42,0.00,0.00
