task_index,total_latency_ms,scheduling_latency_ms,execution_latency_ms
0,524480.10,0.00,0.00
1,2077655.08,0.00,0.00
2,2386744.50,0.00,0.00
3,2458772.42,0.00,0.00
4,2897329.33,0.00,0.00
5,6932724.48,0.00,0.00
6,7061022.28,0.00,0.00
7,7430508.14,0.00,0.00
8,7483305.69,0.00,0.00
9,7540179.97,0.00,0.00
10,8499994.04,0.00,0.00
11,12642738.58,0.00,0.00
12,12704085.11,0.00,0.00
13,12828020.81,0.00,0.00
14,12950505.97,0.00,0.00
15,13012943.98,0.00,0.00
16,13126612.90,0.00,0.00
17,13186958.79,0.00,0.00
18,13260050.30,0.00,0.00
19,13324746.61,0.00,0.00
20,13384234.43,0.00,0.00
21,15080156.56,0.00,0.00
22,15451230.76,0.00,0.00
23,15498534.44,0.00,0.00
24,15834948.78,0.00,0.00
25,17156399.49,0.00,0.00
26,17221206.19,0.00,0.00
27,17581196.55,0.00,0.00
28,17632429.36,0.00,0.00
29,17700488.57,0.00,0.00
30,18095591.55,0.00,0.00
31,22090357.07,0.00,0.00
32,22128018.86,0.00,0.00
33,22244081.97,0.00,0.00
34,22407949.69,0.00,0.00
35,22462487.70,0.00,0.00
36,22536902.67,0.00,0.00
37,22600910.19,0.00,0.00
38,22728057.15,0.00,0.00
39,22875418.66,0.00,0.00
40,22957233.43,0.00,0.00
41,24466644.53,0.00,0.00
42,24787637.47,0.00,0.00
43,24852601.05,0.00,0.00
44,25324124.81,0.00,0.00
45,26320112.71,0.00,0.00
46,26435585.98,0.00,0.00
47,26812142.37,0.00,0.00
48,26923036.81,0.00,0.00
49,26994027.38,0.00,0.00
50,27383743.52,0.00,0.00
51,31660929.44,0.00,0.00
52,31707881.69,0.00,0.00
53,31828165.29,0.00,0.00
54,31921410.56,0.00,0.00
55,32691200.73,0.00,0.00
56,32739778.04,0.00,0.00
57,32878203.87,0.00,0.00
58,32949756.62,0.00,0.00
59,33073022.60,0.00,0.00
60,33137457.61,0.00,0.00
61,34757500.65,0.00,0.00
62,35030557.63,0.00,0.00
63,35086713.55,0.00,0.00
64,35478411.67,0.00,0.00
65,36385139.23,0.00,0.00
66,36500255.58,0.00,0.00
67,36868330.96,0.00,0.00
68,36923957.59,0.00,0.00
69,37023559.57,0.00,0.00
