task_index,total_latency_ms,scheduling_latency_ms,execution_latency_ms
0,546524.52,0.00,0.00
1,460655.93,0.00,0.00
2,682650.09,0.00,0.00
3,260043.14,0.00,0.00
4,571034.67,0.00,0.00
5,444564.58,0.00,0.00
6,362434.15,0.00,0.00
7,705314.40,0.00,0.00
8,985482.93,0.00,0.00
9,894349.34,0.00,0.00
10,572812.32,0.00,0.00
11,874699.35,0.00,0.00
12,311416.15,0.00,0.00
13,1038843.15,0.00,0.00
14,448481.32,0.00,0.00
15,614434.96,0.00,0.00
16,495351.31,0.00,0.00
17,769044.16,0.00,0.00
18,600206.85,0.00,0.00
19,692013.98,0.00,0.00
20,1006580.11,0.00,0.00
21,1174316.88,0.00,0.00
22,1147453.78,0.00,0.00
23,1809613.23,0.00,0.00
24,1850995.30,0.00,0.00
25,2011235.48,0.00,0.00
26,1802352.91,0.00,0.00
27,1869942.90,0.00,0.00
28,2107658.39,0.00,0.00
29,2628093.96,0.00,0.00
30,2151008.37,0.00,0.00
31,2700029.61,0.00,0.00
32,2020064.83,0.00,0.00
33,2532270.67,0.00,0.00
34,1461241.25,0.00,0.00
35,2726394.18,0.00,0.00
36,2157368.42,0.00,0.00
37,1588693.86,0.00,0.00
38,1647192.00,0.00,0.00
39,1707071.07,0.00,0.00
40,2927704.81,0.00,0.00
41,2652497.29,0.00,0.00
42,1848014.35,0.00,0.00
43,2710332.16,0.00,0.00
44,2791678.43,0.00,0.00
45,2754734.75,0.00,0.00
46,3468575.72,0.00,0.00
47,1988740.21,0.00,0.00
48,2816637.52,0.00,0.00
49,2125632.05,0.00,0.00
50,2877144.34,0.00,0.00
51,2250626.09,0.00,0.00
52,2159328.70,0.00,0.00
53,3057610.99,0.00,0.00
54,2307247.16,0.00,0.00
55,2435719.25,0.00,0.00
56,3188057.66,0.00,0.00
57,3006740.81,0.00,0.00
58,2562749.15,0.00,0.00
59,2617976.43,0.00,0.00
60,2772526.03,0.00,0.00
61,3648448.94,0.00,0.00
62,2036930.08,0.00,0.00
63,3711099.39,0.00,0.00
64,4345735.55,0.00,0.00
65,2150617.84,0.00,0.00
66,3809321.17,0.00,0.00
67,2291794.06,0.00,0.00
68,3462801.93,0.00,0.00
69,2364004.61,0.00,0.00
70,3509855.03,0.00,0.00
71,4818757.77,0.00,0.00
72,2498118.40,0.00,0.00
73,4211569.55,0.00,0.00
74,5102672.10,0.00,0.00
75,3867682.93,0.00,0.00
76,4127266.17,0.00,0.00
77,5246123.79,0.00,0.00
78,3084237.10,0.00,0.00
79,3738392.11,0.00,0.00
80,5314240.22,0.00,0.00
81,5220337.15,0.00,0.00
82,5529927.49,0.00,0.00
83,5376569.03,0.00,0.00
84,3631565.33,0.00,0.00
85,5467570.30,0.00,0.00
86,3486209.15,0.00,0.00
87,4140095.47,0.00,0.00
88,4219415.43,0.00,0.00
89,3752329.83,0.00,0.00
90,3713356.02,0.00,0.00
91,5912968.16,0.00,0.00
92,5101299.76,0.00,0.00
93,3933429.96,0.00,0.00
94,5861773.49,0.00,0.00
95,4237276.79,0.00,0.00
96,4581609.96,0.00,0.00
97,4084993.36,0.00,0.00
98,6029100.89,0.00,0.00
99,4135637.04,0.00,0.00
100,4369380.47,0.00,0.00
101,4261150.60,0.00,0.00
102,3567229.75,0.00,0.00
103,6743353.84,0.00,0.00
104,4158995.39,0.00,0.00
105,6805388.93,0.00,0.00
106,4761679.17,0.00,0.00
107,4841836.93,0.00,0.00
108,4909748.08,0.00,0.00
109,7216073.27,0.00,0.00
110,4591856.00,0.00,0.00
111,7083936.21,0.00,0.00
112,4690794.23,0.00,0.00
113,3903102.16,0.00,0.00
114,6493883.37,0.00,0.00
115,5363447.19,0.00,0.00
116,6954993.96,0.00,0.00
117,6599022.63,0.00,0.00
118,6722721.34,0.00,0.00
119,6786074.64,0.00,0.00
120,6836669.68,0.00,0.00
121,6824184.18,0.00,0.00
122,7376444.10,0.00,0.00
123,7010218.38,0.00,0.00
124,7066115.86,0.00,0.00
125,7200567.48,0.00,0.00
126,7718669.89,0.00,0.00
127,6430974.01,0.00,0.00
128,6560961.96,0.00,0.00
129,7276531.70,0.00,0.00
130,7106583.12,0.00,0.00
131,7068870.54,0.00,0.00
132,5663910.63,0.00,0.00
133,7231529.47,0.00,0.00
134,7541733.74,0.00,0.00
135,7710912.23,0.00,0.00
136,6134552.48,0.00,0.00
137,7633404.73,0.00,0.00
138,7982369.42,0.00,0.00
139,6217197.66,0.00,0.00
140,6894696.47,0.00,0.00
141,8355169.30,0.00,0.00
142,8432120.32,0.00,0.00
143,8135458.47,0.00,0.00
144,7177573.20,0.00,0.00
145,8537583.59,0.00,0.00
146,6750300.41,0.00,0.00
147,8857060.43,0.00,0.00
148,8934129.95,0.00,0.00
149,10147151.71,0.00,0.00
150,9014829.87,0.00,0.00
151,9422438.38,0.00,0.00
152,9483781.34,0.00,0.00
153,9461775.78,0.00,0.00
154,8300357.82,0.00,0.00
155,7850090.98,0.00,0.00
156,8275513.17,0.00,0.00
157,8047281.74,0.00,0.00
158,8014646.77,0.00,0.00
159,9207169.53,0.00,0.00
160,8314199.69,0.00,0.00
161,9026469.47,0.00,0.00
162,8805233.96,0.00,0.00
163,8890381.10,0.00,0.00
164,8957070.83,0.00,0.00
165,9584423.54,0.00,0.00
166,11525818.11,0.00,0.00
167,9720809.70,0.00,0.00
168,9406152.96,0.00,0.00
169,11681720.73,0.00,0.00
170,10202029.94,0.00,0.00
171,10367276.19,0.00,0.00
172,12092680.69,0.00,0.00
173,10534887.08,0.00,0.00
174,10972958.33,0.00,0.00
175,10499208.93,0.00,0.00
176,13239031.79,0.00,0.00
