task_index,total_latency_ms,scheduling_latency_ms,execution_latency_ms
0,4172160.63,0.00,0.00
1,4131803.04,0.00,0.00
2,4111201.29,0.00,0.00
3,4152859.21,0.00,0.00
4,4101089.72,0.00,0.00
5,4082587.24,0.00,0.00
6,4047387.36,0.00,0.00
7,4006836.41,0.00,0.00
8,3965366.84,0.00,0.00
9,4250480.41,0.00,0.00
10,4597260.48,0.00,0.00
11,4940302.13,0.00,0.00
12,5364133.83,0.00,0.00
13,5800422.91,0.00,0.00
14,6216881.28,0.00,0.00
15,6546067.48,0.00,0.00
16,6846872.33,0.00,0.00
17,7474408.63,0.00,0.00
18,7662759.30,0.00,0.00
19,7983585.83,0.00,0.00
20,8347780.94,0.00,0.00
21,8699426.65,0.00,0.00
22,9052961.59,0.00,0.00
23,9415882.83,0.00,0.00
24,9789841.89,0.00,0.00
25,9963018.89,0.00,0.00
26,10328401.33,0.00,0.00
27,10672449.83,0.00,0.00
28,10988155.84,0.00,0.00
29,11305003.17,0.00,0.00
30,11623696.09,0.00,0.00
31,1202878.71,0.00,0.00
32,11946984.77,0.00,0.00
33,1624088.05,0.00,0.00
34,12295125.25,0.00,0.00
35,2077059.98,0.00,0.00
36,12669200.90,0.00,0.00
37,2559818.98,0.00,0.00
38,13050561.67,0.00,0.00
39,3098212.96,0.00,0.00
40,13434078.22,0.00,0.00
41,3622910.98,0.00,0.00
42,13911866.19,0.00,0.00
43,4126819.85,0.00,0.00
44,14334456.92,0.00,0.00
45,4634759.43,0.00,0.00
46,14740017.18,0.00,0.00
47,5137834.55,0.00,0.00
48,15164126.16,0.00,0.00
49,5603911.88,0.00,0.00
50,15555246.59,0.00,0.00
51,6224804.40,0.00,0.00
52,15962879.90,0.00,0.00
53,6500115.16,0.00,0.00
54,16381599.43,0.00,0.00
55,6928119.90,0.00,0.00
56,16539857.39,0.00,0.00
57,7417828.32,0.00,0.00
58,16951011.90,0.00,0.00
59,7878300.67,0.00,0.00
60,17332034.59,0.00,0.00
61,8308312.42,0.00,0.00
62,17712306.02,0.00,0.00
63,8854339.12,0.00,0.00
64,18096613.88,0.00,0.00
65,18444231.99,0.00,0.00
66,9301369.91,0.00,0.00
67,9520581.48,0.00,0.00
68,18803903.58,0.00,0.00
69,9964010.00,0.00,0.00
70,19154572.49,0.00,0.00
71,10398177.15,0.00,0.00
72,19472900.15,0.00,0.00
73,10809804.68,0.00,0.00
74,19752890.35,0.00,0.00
75,1546181.44,0.00,0.00
76,11252367.97,0.00,0.00
77,20074333.19,0.00,0.00
78,1773764.13,0.00,0.00
79,11682535.89,0.00,0.00
80,20358623.03,0.00,0.00
81,2198283.67,0.00,0.00
82,12116708.28,0.00,0.00
83,20655475.85,0.00,0.00
84,2621539.12,0.00,0.00
85,12568456.89,0.00,0.00
86,20848387.00,0.00,0.00
87,3142300.37,0.00,0.00
88,13048615.93,0.00,0.00
89,21198112.96,0.00,0.00
90,3670338.39,0.00,0.00
91,13560049.53,0.00,0.00
92,21597412.59,0.00,0.00
93,4170659.30,0.00,0.00
94,14069460.87,0.00,0.00
95,21948000.19,0.00,0.00
96,4708526.85,0.00,0.00
97,14588485.00,0.00,0.00
98,22334804.53,0.00,0.00
99,4976029.16,0.00,0.00
100,14999649.05,0.00,0.00
101,22648684.50,0.00,0.00
102,5837198.26,0.00,0.00
103,15449952.84,0.00,0.00
104,22956790.69,0.00,0.00
105,5972057.82,0.00,0.00
106,15890024.66,0.00,0.00
107,23248453.86,0.00,0.00
108,6432306.53,0.00,0.00
109,16352794.17,0.00,0.00
110,6855118.04,0.00,0.00
111,16796041.97,0.00,0.00
112,7367224.22,0.00,0.00
113,17258154.15,0.00,0.00
114,7855764.63,0.00,0.00
115,17739750.15,0.00,0.00
116,8334109.07,0.00,0.00
117,18214644.19,0.00,0.00
118,8939413.79,0.00,0.00
119,18687623.98,0.00,0.00
120,9179613.35,0.00,0.00
121,18928382.87,0.00,0.00
122,9662644.86,0.00,0.00
123,19418163.54,0.00,0.00
124,10142168.05,0.00,0.00
125,19908075.09,0.00,0.00
126,10581274.51,0.00,0.00
127,20334800.00,0.00,0.00
128,11010796.55,0.00,0.00
129,20759043.22,0.00,0.00
130,1546462.54,0.00,0.00
131,11441170.93,0.00,0.00
132,21210138.80,0.00,0.00
133,1978403.33,0.00,0.00
134,11862060.55,0.00,0.00
135,21638446.57,0.00,0.00
136,2410109.04,0.00,0.00
137,12272546.53,0.00,0.00
138,22081291.68,0.00,0.00
139,2829784.39,0.00,0.00
140,12701309.44,0.00,0.00
141,22515342.71,0.00,0.00
142,3301017.28,0.00,0.00
143,13106879.47,0.00,0.00
144,3533272.98,0.00,0.00
145,22927385.57,0.00,0.00
