task_index,total_latency_ms,scheduling_latency_ms,execution_latency_ms
0,515497.68,0.00,0.00
1,499794.01,0.00,0.00
2,486654.76,0.00,0.00
3,305236.10,0.00,0.00
4,342897.18,0.00,0.00
5,320890.43,0.00,0.00
6,544443.13,0.00,0.00
7,405768.87,0.00,0.00
8,227243.19,0.00,0.00
9,667340.52,0.00,0.00
10,314900.40,0.00,0.00
11,731284.86,0.00,0.00
12,563206.43,0.00,0.00
13,603783.13,0.00,0.00
14,407884.36,0.00,0.00
15,850343.23,0.00,0.00
16,477903.37,0.00,0.00
17,729468.35,0.00,0.00
18,938384.29,0.00,0.00
19,832593.68,0.00,0.00
20,549741.98,0.00,0.00
21,1028998.37,0.00,0.00
22,891521.45,0.00,0.00
23,1091043.23,0.00,0.00
24,601612.81,0.00,0.00
25,948353.77,0.00,0.00
26,254792.69,0.00,0.00
27,650845.53,0.00,0.00
28,1161029.10,0.00,0.00
29,1026568.41,0.00,0.00
30,1240408.90,0.00,0.00
31,296376.94,0.00,0.00
32,702793.60,0.00,0.00
33,1077354.67,0.00,0.00
34,317859.89,0.00,0.00
35,1304118.63,0.00,0.00
36,741943.36,0.00,0.00
37,364750.15,0.00,0.00
38,1150812.39,0.00,0.00
39,1381165.27,0.00,0.00
40,803803.92,0.00,0.00
41,423748.49,0.00,0.00
42,1226804.49,0.00,0.00
43,1433173.66,0.00,0.00
44,856761.22,0.00,0.00
45,1279740.10,0.00,0.00
46,1514028.79,0.00,0.00
47,503450.87,0.00,0.00
48,887200.12,0.00,0.00
49,529025.32,0.00,0.00
50,1358166.22,0.00,0.00
51,241691.83,0.00,0.00
52,945007.80,0.00,0.00
53,275759.22,0.00,0.00
54,592178.58,0.00,0.00
55,970397.47,0.00,0.00
56,343695.88,0.00,0.00
57,647861.24,0.00,0.00
58,1037471.77,0.00,0.00
59,400162.70,0.00,0.00
60,716354.13,0.00,0.00
61,1066360.95,0.00,0.00
62,461804.15,0.00,0.00
63,796533.11,0.00,0.00
64,526005.03,0.00,0.00
65,859334.23,0.00,0.00
66,230566.50,0.00,0.00
67,584348.44,0.00,0.00
68,914507.87,0.00,0.00
69,291485.31,0.00,0.00
70,625336.65,0.00,0.00
71,311161.99,0.00,0.00
72,980083.23,0.00,0.00
73,676677.23,0.00,0.00
74,1022632.36,0.00,0.00
75,371438.74,0.00,0.00
76,740807.77,0.00,0.00
77,417878.15,0.00,0.00
78,1097214.46,0.00,0.00
79,817173.72,0.00,0.00
80,482853.17,0.00,0.00
81,204572.44,0.00,0.00
82,891023.87,0.00,0.00
83,537043.09,0.00,0.00
84,920742.27,0.00,0.00
85,266254.43,0.00,0.00
86,610466.96,0.00,0.00
87,984283.92,0.00,0.00
88,651729.11,0.00,0.00
89,347146.51,0.00,0.00
90,1024188.04,0.00,0.00
91,376685.38,0.00,0.00
92,713302.85,0.00,0.00
93,1126690.86,0.00,0.00
94,430955.65,0.00,0.00
95,757450.34,0.00,0.00
96,499928.95,0.00,0.00
97,842495.92,0.00,0.00
98,238281.97,0.00,0.00
99,563885.93,0.00,0.00
100,890805.01,0.00,0.00
101,937515.50,0.00,0.00
102,638068.44,0.00,0.00
103,333378.31,0.00,0.00
104,979380.13,0.00,0.00
105,678557.87,0.00,0.00
106,389344.45,0.00,0.00
107,1049393.42,0.00,0.00
108,741798.16,0.00,0.00
109,448586.46,0.00,0.00
110,787302.02,0.00,0.00
111,502387.52,0.00,0.00
112,868489.03,0.00,0.00
113,549710.27,0.00,0.00
114,215560.67,0.00,0.00
115,925921.20,0.00,0.00
116,255163.67,0.00,0.00
117,610782.62,0.00,0.00
118,963197.95,0.00,0.00
119,655011.89,0.00,0.00
120,307811.50,0.00,0.00
121,1030370.47,0.00,0.00
122,358630.66,0.00,0.00
123,726383.45,0.00,0.00
124,1091559.65,0.00,0.00
125,425944.81,0.00,0.00
126,782847.64,0.00,0.00
127,466046.57,0.00,0.00
128,831188.44,0.00,0.00
129,892776.49,0.00,0.00
130,553423.64,0.00,0.00
131,251289.37,0.00,0.00
132,600250.72,0.00,0.00
133,291765.45,0.00,0.00
134,956643.58,0.00,0.00
135,350399.49,0.00,0.00
136,667277.81,0.00,0.00
137,1022146.94,0.00,0.00
138,370269.78,0.00,0.00
139,721862.55,0.00,0.00
140,1089927.20,0.00,0.00
141,780138.02,0.00,0.00
142,502971.41,0.00,0.00
143,1156189.92,0.00,0.00
144,496573.69,0.00,0.00
145,825048.69,0.00,0.00
146,222670.08,0.00,0.00
147,890680.07,0.00,0.00
148,567383.53,0.00,0.00
149,611137.63,0.00,0.00
150,952953.34,0.00,0.00
151,322172.88,0.00,0.00
152,674081.56,0.00,0.00
153,1014781.24,0.00,0.00
154,395482.78,0.00,0.00
155,1058915.62,0.00,0.00
156,733537.44,0.00,0.00
157,437680.72,0.00,0.00
158,816525.70,0.00,0.00
159,540450.10,0.00,0.00
160,884842.63,0.00,0.00
161,597078.80,0.00,0.00
162,306322.81,0.00,0.00
163,977784.40,0.00,0.00
164,707399.37,0.00,0.00
165,365500.69,0.00,0.00
166,1028673.89,0.00,0.00
167,771046.88,0.00,0.00
168,426988.36,0.00,0.00
169,1116715.43,0.00,0.00
170,863650.08,0.00,0.00
171,492162.70,0.00,0.00
172,1210373.16,0.00,0.00
173,938585.76,0.00,0.00
174,574055.67,0.00,0.00
175,1028208.49,0.00,0.00
176,653128.15,0.00,0.00
177,1084121.70,0.00,0.00
178,286336.90,0.00,0.00
179,720694.78,0.00,0.00
180,1179772.14,0.00,0.00
181,370053.53,0.00,0.00
182,784169.44,0.00,0.00
183,1276122.81,0.00,0.00
184,465730.19,0.00,0.00
185,873778.34,0.00,0.00
186,1377360.58,0.00,0.00
187,538394.21,0.00,0.00
188,956389.19,0.00,0.00
189,1434225.08,0.00,0.00
190,589973.21,0.00,0.00
