task_index,total_latency_ms,scheduling_latency_ms,execution_latency_ms
0,1660480.02,0.00,0.00
1,1682965.52,0.00,0.00
2,1189821.24,0.00,0.00
3,1734145.40,0.00,0.00
4,1441409.83,0.00,0.00
5,1968668.70,0.00,0.00
6,1488692.05,0.00,0.00
7,1478877.78,0.00,0.00
8,1405749.56,0.00,0.00
9,868351.46,0.00,0.00
10,2380285.26,0.00,0.00
11,1823083.88,0.00,0.00
12,1296083.21,0.00,0.00
13,2615036.73,0.00,0.00
14,2108149.05,0.00,0.00
15,1599152.33,0.00,0.00
16,2972915.41,0.00,0.00
17,2502328.16,0.00,0.00
18,1875949.86,0.00,0.00
19,3353556.87,0.00,0.00
20,2833062.89,0.00,0.00
21,2226997.14,0.00,0.00
22,3697324.04,0.00,0.00
23,3166606.66,0.00,0.00
24,2358772.99,0.00,0.00
25,4064136.27,0.00,0.00
26,3417222.98,0.00,0.00
27,4385454.89,0.00,0.00
28,2776386.26,0.00,0.00
29,3772087.10,0.00,0.00
30,4597704.17,0.00,0.00
31,914681.91,0.00,0.00
32,3059046.75,0.00,0.00
33,4137135.03,0.00,0.00
34,1184628.73,0.00,0.00
35,4991698.03,0.00,0.00
36,3393144.61,0.00,0.00
37,4458708.05,0.00,0.00
38,5373124.60,0.00,0.00
39,1523861.65,0.00,0.00
40,3658003.81,0.00,0.00
41,4847407.10,0.00,0.00
42,1786225.08,0.00,0.00
43,3944466.83,0.00,0.00
44,5775862.22,0.00,0.00
45,5249546.05,0.00,0.00
46,2039671.90,0.00,0.00
47,4189938.78,0.00,0.00
48,6119805.81,0.00,0.00
49,5524169.21,0.00,0.00
50,2315122.60,0.00,0.00
51,4472235.92,0.00,0.00
52,6442194.70,0.00,0.00
53,5898328.07,0.00,0.00
54,2630879.16,0.00,0.00
55,6808531.52,0.00,0.00
56,4814707.76,0.00,0.00
57,6248243.57,0.00,0.00
58,2888342.38,0.00,0.00
59,5019956.59,0.00,0.00
60,7114970.68,0.00,0.00
61,6435024.26,0.00,0.00
62,946225.40,0.00,0.00
63,7454287.77,0.00,0.00
64,5339927.43,0.00,0.00
65,3221823.93,0.00,0.00
66,6944909.57,0.00,0.00
67,1226977.83,0.00,0.00
68,3459621.19,0.00,0.00
69,7778414.49,0.00,0.00
70,5650713.68,0.00,0.00
71,7266933.44,0.00,0.00
72,1449846.03,0.00,0.00
73,8143773.08,0.00,0.00
74,5964449.88,0.00,0.00
75,3845881.94,0.00,0.00
76,1700939.18,0.00,0.00
77,7644275.19,0.00,0.00
78,4047229.29,0.00,0.00
79,6178070.55,0.00,0.00
80,8607887.51,0.00,0.00
81,1953047.04,0.00,0.00
82,7884545.56,0.00,0.00
83,2197429.90,0.00,0.00
84,8248226.64,0.00,0.00
85,8960042.48,0.00,0.00
86,6504007.10,0.00,0.00
87,4386404.04,0.00,0.00
88,9165534.50,0.00,0.00
89,8455718.28,0.00,0.00
90,4629937.65,0.00,0.00
91,2509913.68,0.00,0.00
92,6801863.19,0.00,0.00
93,9542021.04,0.00,0.00
94,2708859.44,0.00,0.00
95,7033018.35,0.00,0.00
96,4951343.77,0.00,0.00
97,8929716.59,0.00,0.00
98,2950136.18,0.00,0.00
99,1003362.42,0.00,0.00
100,9111221.55,0.00,0.00
101,9960765.36,0.00,0.00
102,7401190.28,0.00,0.00
103,5298620.46,0.00,0.00
104,3255277.87,0.00,0.00
105,10147450.69,0.00,0.00
106,1369287.73,0.00,0.00
107,7654436.35,0.00,0.00
108,9601738.21,0.00,0.00
109,5590317.25,0.00,0.00
110,3535819.77,0.00,0.00
111,1646366.60,0.00,0.00
112,10653385.16,0.00,0.00
113,7971720.22,0.00,0.00
114,5913695.81,0.00,0.00
115,9988660.34,0.00,0.00
116,3777173.52,0.00,0.00
117,1926165.10,0.00,0.00
118,11104016.30,0.00,0.00
119,8380176.78,0.00,0.00
120,10294556.62,0.00,0.00
121,6285538.67,0.00,0.00
122,4064022.30,0.00,0.00
123,2330433.13,0.00,0.00
124,11547380.69,0.00,0.00
125,8682340.62,0.00,0.00
126,10733644.01,0.00,0.00
127,4376115.56,0.00,0.00
128,6588249.92,0.00,0.00
129,2645074.84,0.00,0.00
130,11938474.42,0.00,0.00
131,6877417.80,0.00,0.00
132,4679676.53,0.00,0.00
133,9050177.34,0.00,0.00
134,2936429.02,0.00,0.00
135,9297228.34,0.00,0.00
136,7264000.42,0.00,0.00
137,5084823.61,0.00,0.00
138,3295534.13,0.00,0.00
139,9658462.05,0.00,0.00
140,5368911.74,0.00,0.00
141,7560463.67,0.00,0.00
142,1177524.57,0.00,0.00
