task_index,total_latency_ms,scheduling_latency_ms,execution_latency_ms
0,2102681.88,0.00,0.00
1,909946.44,0.00,0.00
2,885591.27,0.00,0.00
3,860507.25,0.00,0.00
4,836759.33,0.00,0.00
5,775439.26,0.00,0.00
6,819993.73,0.00,0.00
7,1130096.67,0.00,0.00
8,2302892.21,0.00,0.00
9,2284860.85,0.00,0.00
10,2306431.06,0.00,0.00
11,2277591.47,0.00,0.00
12,2283520.94,0.00,0.00
13,2277214.77,0.00,0.00
14,927244.66,0.00,0.00
15,1874466.90,0.00,0.00
16,1878753.90,0.00,0.00
17,1877901.08,0.00,0.00
18,1866631.75,0.00,0.00
19,1851315.74,0.00,0.00
20,1851221.80,0.00,0.00
21,1847713.71,0.00,0.00
22,2453245.64,0.00,0.00
23,1072508.34,0.00,0.00
24,2012749.67,0.00,0.00
25,2615988.02,0.00,0.00
26,1301423.55,0.00,0.00
27,2221053.12,0.00,0.00
28,2871058.23,0.00,0.00
29,1543403.86,0.00,0.00
30,2443361.52,0.00,0.00
31,3124463.08,0.00,0.00
32,540281.77,0.00,0.00
33,1771182.30,0.00,0.00
34,2695927.62,0.00,0.00
35,3371538.16,0.00,0.00
36,726386.07,0.00,0.00
37,1996757.27,0.00,0.00
38,2939740.66,0.00,0.00
39,824608.80,0.00,0.00
40,3628170.25,0.00,0.00
41,2221733.33,0.00,0.00
42,3201902.87,0.00,0.00
43,998364.69,0.00,0.00
44,3838189.36,0.00,0.00
45,2365675.69,0.00,0.00
46,3415968.66,0.00,0.00
47,4037375.21,0.00,0.00
48,1178935.05,0.00,0.00
49,2584568.74,0.00,0.00
50,3610255.24,0.00,0.00
51,4256170.75,0.00,0.00
52,1354863.88,0.00,0.00
53,2802568.20,0.00,0.00
54,3827530.86,0.00,0.00
55,4488298.18,0.00,0.00
56,1529165.51,0.00,0.00
57,3024824.38,0.00,0.00
58,4032114.98,0.00,0.00
59,4699240.68,0.00,0.00
60,1610259.06,0.00,0.00
61,3216251.61,0.00,0.00
62,4256381.27,0.00,0.00
63,1736864.09,0.00,0.00
64,4911005.97,0.00,0.00
65,3366555.45,0.00,0.00
66,4449713.95,0.00,0.00
67,5090231.90,0.00,0.00
68,1853976.73,0.00,0.00
69,3465191.60,0.00,0.00
70,4621531.01,0.00,0.00
71,5232802.15,0.00,0.00
72,3558743.48,0.00,0.00
73,1984611.51,0.00,0.00
74,4763871.67,0.00,0.00
75,5403897.05,0.00,0.00
76,2045551.30,0.00,0.00
77,416106.70,0.00,0.00
78,3818354.61,0.00,0.00
79,4910302.64,0.00,0.00
80,5612936.50,0.00,0.00
81,2194237.23,0.00,0.00
82,603115.32,0.00,0.00
83,3940813.06,0.00,0.00
84,5213886.98,0.00,0.00
85,725245.71,0.00,0.00
86,5881603.96,0.00,0.00
87,2353592.63,0.00,0.00
88,4131405.59,0.00,0.00
89,5442925.45,0.00,0.00
90,903517.48,0.00,0.00
91,6097916.84,0.00,0.00
92,4237487.79,0.00,0.00
93,2531301.50,0.00,0.00
94,5612108.95,0.00,0.00
95,6213681.70,0.00,0.00
96,1087012.05,0.00,0.00
97,2695685.15,0.00,0.00
98,4416481.02,0.00,0.00
99,5825328.35,0.00,0.00
100,6515816.21,0.00,0.00
101,1295090.91,0.00,0.00
102,2875197.17,0.00,0.00
103,4599193.33,0.00,0.00
104,5984558.82,0.00,0.00
105,6763036.73,0.00,0.00
106,2970026.97,0.00,0.00
107,1479660.99,0.00,0.00
108,4777386.19,0.00,0.00
109,6370732.55,0.00,0.00
110,6971985.34,0.00,0.00
111,1618494.99,0.00,0.00
112,3166007.04,0.00,0.00
113,4945483.21,0.00,0.00
114,6547122.96,0.00,0.00
115,7197333.57,0.00,0.00
116,1789150.48,0.00,0.00
117,3319974.66,0.00,0.00
118,5119047.88,0.00,0.00
119,6839298.96,0.00,0.00
120,3442409.99,0.00,0.00
121,7441654.44,0.00,0.00
122,1962405.20,0.00,0.00
123,5296799.66,0.00,0.00
124,7048027.99,0.00,0.00
125,7669394.97,0.00,0.00
126,2148100.14,0.00,0.00
127,3679456.71,0.00,0.00
128,7262478.11,0.00,0.00
129,2253083.94,0.00,0.00
130,3789329.29,0.00,0.00
131,598625.18,0.00,0.00
132,3955068.83,0.00,0.00
133,2435070.99,0.00,0.00
134,777054.55,0.00,0.00
135,2599475.62,0.00,0.00
136,4139505.15,0.00,0.00
137,990422.25,0.00,0.00
138,2820832.25,0.00,0.00
139,4361170.05,0.00,0.00
140,1163613.80,0.00,0.00
141,2997140.65,0.00,0.00
142,4549969.43,0.00,0.00
143,1255996.23,0.00,0.00
144,3180131.67,0.00,0.00
145,4756293.06,0.00,0.00
146,1448302.51,0.00,0.00
147,3379514.22,0.00,0.00
148,4973450.18,0.00,0.00
149,1637504.58,0.00,0.00
150,5080357.07,0.00,0.00
151,3505511.28,0.00,0.00
152,1774819.85,0.00,0.00
153,5289315.22,0.00,0.00
154,3688629.87,0.00,0.00
155,1968948.60,0.00,0.00
156,5500054.60,0.00,0.00
157,3899158.48,0.00,0.00
158,2156325.10,0.00,0.00
159,4063652.75,0.00,0.00
160,2367354.15,0.00,0.00
161,4294977.43,0.00,0.00
162,641897.20,0.00,0.00
163,2583943.61,0.00,0.00
164,4489972.83,0.00,0.00
165,860404.97,0.00,0.00
166,2794901.13,0.00,0.00
167,4711594.58,0.00,0.00
168,1100785.02,0.00,0.00
169,2990617.75,0.00,0.00
170,4880349.40,0.00,0.00
171,3170531.03,0.00,0.00
172,1319102.76,0.00,0.00
173,5107312.20,0.00,0.00
174,3387818.34,0.00,0.00
175,1545747.52,0.00,0.00
176,5355475.43,0.00,0.00
177,1675813.67,0.00,0.00
178,3619139.43,0.00,0.00
179,5614260.44,0.00,0.00
180,1913250.68,0.00,0.00
181,3877521.28,0.00,0.00
182,5846669.91,0.00,0.00
183,4042310.95,0.00,0.00
184,2193329.81,0.00,0.00
185,6091132.40,0.00,0.00
186,4273127.79,0.00,0.00
187,2426203.97,0.00,0.00
188,2560190.20,0.00,0.00
189,6358633.76,0.00,0.00
190,4565644.74,0.00,0.00
191,4756464.72,0.00,0.00
192,2795276.40,0.00,0.00
193,718122.01,0.00,0.00
194,3040799.62,0.00,0.00
195,5034247.40,0.00,0.00
196,935137.99,0.00,0.00
197,5261801.24,0.00,0.00
198,3300707.34,0.00,0.00
199,3471989.15,0.00,0.00
200,1179659.84,0.00,0.00
201,5491326.57,0.00,0.00
202,3611665.73,0.00,0.00
203,1381547.21,0.00,0.00
204,5756203.65,0.00,0.00
205,3811871.53,0.00,0.00
206,1601450.92,0.00,0.00
207,5961106.30,0.00,0.00
208,4031758.31,0.00,0.00
209,6109537.60,0.00,0.00
210,1831539.63,0.00,0.00
211,1938146.59,0.00,0.00
212,4256452.08,0.00,0.00
213,6341603.76,0.00,0.00
214,2198368.07,0.00,0.00
215,6571221.83,0.00,0.00
216,4514842.99,0.00,0.00
217,6820705.65,0.00,0.00
218,2438284.87,0.00,0.00
219,4723150.97,0.00,0.00
220,4874740.60,0.00,0.00
221,2649232.86,0.00,0.00
222,7056690.69,0.00,0.00
223,5150527.72,0.00,0.00
224,2861897.95,0.00,0.00
225,2994907.62,0.00,0.00
226,5312604.67,0.00,0.00
227,792290.21,0.00,0.00
228,5513174.30,0.00,0.00
229,3252976.66,0.00,0.00
230,1021525.86,0.00,0.00
231,3422978.88,0.00,0.00
232,1162002.09,0.00,0.00
233,5734340.91,0.00,0.00
234,1360531.09,0.00,0.00
235,3680768.01,0.00,0.00
236,5981020.93,0.00,0.00
237,1589451.55,0.00,0.00
238,3891910.55,0.00,0.00
239,6173533.20,0.00,0.00
240,1811680.56,0.00,0.00
241,4099633.69,0.00,0.00
242,6400144.58,0.00,0.00
243,4221790.79,0.00,0.00
244,2027440.79,0.00,0.00
245,6611464.98,0.00,0.00
246,2175061.23,0.00,0.00
247,6738531.11,0.00,0.00
248,4493273.74,0.00,0.00
249,6960975.41,0.00,0.00
250,2404557.47,0.00,0.00
251,4692667.25,0.00,0.00
252,2610037.33,0.00,0.00
253,7171910.76,0.00,0.00
254,4930183.89,0.00,0.00
255,5115866.66,0.00,0.00
256,2857444.52,0.00,0.00
257,800667.29,0.00,0.00
258,3111793.04,0.00,0.00
259,5406474.83,0.00,0.00
260,1066898.58,0.00,0.00
261,5646833.66,0.00,0.00
262,3417706.73,0.00,0.00
263,1233247.52,0.00,0.00
264,3606139.18,0.00,0.00
265,5918312.31,0.00,0.00
266,3788346.29,0.00,0.00
267,6080673.46,0.00,0.00
268,1587188.96,0.00,0.00
269,1706064.22,0.00,0.00
270,4015025.62,0.00,0.00
271,6297882.56,0.00,0.00
272,1958523.51,0.00,0.00
273,4271554.47,0.00,0.00
274,6550149.92,0.00,0.00
275,2199539.66,0.00,0.00
276,4528484.11,0.00,0.00
277,6811857.70,0.00,0.00
278,2492496.49,0.00,0.00
279,7074639.56,0.00,0.00
280,4822075.61,0.00,0.00
281,2621614.93,0.00,0.00
282,7304380.42,0.00,0.00
283,5058557.51,0.00,0.00
284,2850054.03,0.00,0.00
285,5229375.60,0.00,0.00
286,7555069.92,0.00,0.00
287,3102275.85,0.00,0.00
288,5538252.83,0.00,0.00
289,686206.82,0.00,0.00
290,3351885.56,0.00,0.00
291,5725220.92,0.00,0.00
292,950183.87,0.00,0.00
293,3539995.43,0.00,0.00
294,5964775.80,0.00,0.00
295,1224020.00,0.00,0.00
296,3802241.80,0.00,0.00
297,6221106.05,0.00,0.00
298,1442495.35,0.00,0.00
299,4090794.32,0.00,0.00
300,6504494.91,0.00,0.00
301,1691252.95,0.00,0.00
302,4308427.57,0.00,0.00
303,6714156.15,0.00,0.00
304,1820104.12,0.00,0.00
305,4547163.72,0.00,0.00
306,6945380.69,0.00,0.00
307,2064915.18,0.00,0.00
308,4692922.35,0.00,0.00
309,7221196.41,0.00,0.00
310,2344746.35,0.00,0.00
311,7359114.41,0.00,0.00
312,4961443.19,0.00,0.00
313,2591598.99,0.00,0.00
314,7561117.17,0.00,0.00
315,5161941.05,0.00,0.00
316,2772282.36,0.00,0.00
317,7808235.17,0.00,0.00
318,5423729.18,0.00,0.00
319,3021800.04,0.00,0.00
320,5585594.65,0.00,0.00
321,651347.88,0.00,0.00
322,3235742.81,0.00,0.00
323,5851436.85,0.00,0.00
324,887155.29,0.00,0.00
325,3406084.30,0.00,0.00
326,6071838.62,0.00,0.00
327,3567863.46,0.00,0.00
328,1150238.99,0.00,0.00
329,6196400.88,0.00,0.00
330,1346314.43,0.00,0.00
331,3831015.35,0.00,0.00
332,6436709.88,0.00,0.00
333,1616384.98,0.00,0.00
334,4039676.67,0.00,0.00
335,6639469.86,0.00,0.00
336,1830760.24,0.00,0.00
337,4265894.17,0.00,0.00
338,6847171.07,0.00,0.00
