task_index,total_latency_ms,scheduling_latency_ms,execution_latency_ms
0,2321428.30,0.00,0.00
1,1852979.18,0.00,0.00
2,1835067.03,0.00,0.00
3,1829802.51,0.00,0.00
4,1871660.47,0.00,0.00
5,1901315.93,0.00,0.00
6,1988375.90,0.00,0.00
7,2477750.30,0.00,0.00
8,1163182.50,0.00,0.00
9,2467029.81,0.00,0.00
10,1158205.03,0.00,0.00
11,1176606.89,0.00,0.00
12,1702618.84,0.00,0.00
13,2580665.35,0.00,0.00
14,1299082.28,0.00,0.00
15,1291860.82,0.00,0.00
16,2619251.01,0.00,0.00
17,2069756.75,0.00,0.00
18,2644196.27,0.00,0.00
19,1425563.57,0.00,0.00
20,1829721.45,0.00,0.00
21,1877263.55,0.00,0.00
22,1899427.18,0.00,0.00
23,1877702.24,0.00,0.00
24,1461753.13,0.00,0.00
25,1896932.13,0.00,0.00
26,1082621.10,0.00,0.00
27,2303908.59,0.00,0.00
28,1018340.35,0.00,0.00
29,1133513.93,0.00,0.00
30,1040404.08,0.00,0.00
31,1114834.55,0.00,0.00
32,2903851.51,0.00,0.00
33,1047675.61,0.00,0.00
34,2968931.67,0.00,0.00
35,2190525.77,0.00,0.00
36,2520325.18,0.00,0.00
37,1816052.20,0.00,0.00
38,1292713.64,0.00,0.00
39,3205471.99,0.00,0.00
40,2693668.13,0.00,0.00
41,2406522.99,0.00,0.00
42,2054109.10,0.00,0.00
43,3375759.12,0.00,0.00
44,1491886.85,0.00,0.00
45,2935947.90,0.00,0.00
46,2655258.42,0.00,0.00
47,2239943.98,0.00,0.00
48,3631774.66,0.00,0.00
49,1717190.98,0.00,0.00
50,2835252.76,0.00,0.00
51,3180858.85,0.00,0.00
52,2487392.43,0.00,0.00
53,1865401.98,0.00,0.00
54,3858874.56,0.00,0.00
55,3408700.70,0.00,0.00
56,3081311.23,0.00,0.00
57,2710982.32,0.00,0.00
58,4082245.59,0.00,0.00
59,2082581.04,0.00,0.00
60,599653.01,0.00,0.00
61,3307876.83,0.00,0.00
62,3629565.95,0.00,0.00
63,2906666.28,0.00,0.00
64,2272465.23,0.00,0.00
65,4301919.94,0.00,0.00
66,748629.81,0.00,0.00
67,3503939.15,0.00,0.00
68,3880782.60,0.00,0.00
69,3181202.89,0.00,0.00
70,2458136.32,0.00,0.00
71,4576208.35,0.00,0.00
72,931062.94,0.00,0.00
73,3791028.74,0.00,0.00
74,4109843.02,0.00,0.00
75,3404475.45,0.00,0.00
76,2665832.04,0.00,0.00
77,4787944.56,0.00,0.00
78,1102433.68,0.00,0.00
79,4342700.00,0.00,0.00
80,4031516.08,0.00,0.00
81,4080173.02,0.00,0.00
82,5018866.54,0.00,0.00
83,2862367.87,0.00,0.00
84,1234973.67,0.00,0.00
85,3830082.65,0.00,0.00
86,4576472.04,0.00,0.00
87,4316805.36,0.00,0.00
88,3042998.79,0.00,0.00
89,1362778.19,0.00,0.00
90,5251645.09,0.00,0.00
91,4799472.33,0.00,0.00
92,4041598.80,0.00,0.00
93,4539256.33,0.00,0.00
94,5483331.20,0.00,0.00
95,3260067.70,0.00,0.00
96,4964531.66,0.00,0.00
97,1576259.61,0.00,0.00
98,4274616.72,0.00,0.00
99,4774020.91,0.00,0.00
100,5657849.07,0.00,0.00
101,3429689.88,0.00,0.00
102,5219598.05,0.00,0.00
103,1741245.99,0.00,0.00
104,4489312.17,0.00,0.00
105,4945665.36,0.00,0.00
106,5890140.30,0.00,0.00
107,3587411.64,0.00,0.00
108,4646459.10,0.00,0.00
109,5894176.48,0.00,0.00
110,1912200.93,0.00,0.00
111,5180834.05,0.00,0.00
112,3706776.86,0.00,0.00
113,5676670.55,0.00,0.00
114,5597547.53,0.00,0.00
115,2018860.58,0.00,0.00
116,4909351.59,0.00,0.00
117,5409884.21,0.00,0.00
118,6262986.90,0.00,0.00
119,5827723.50,0.00,0.00
120,3882978.44,0.00,0.00
121,2204685.45,0.00,0.00
122,5121377.23,0.00,0.00
123,5558083.06,0.00,0.00
124,506990.19,0.00,0.00
125,6511513.47,0.00,0.00
126,4063699.96,0.00,0.00
127,5273115.40,0.00,0.00
128,6493753.43,0.00,0.00
129,2371270.42,0.00,0.00
130,5805616.14,0.00,0.00
131,662904.74,0.00,0.00
132,4152517.32,0.00,0.00
133,5862021.68,0.00,0.00
134,5518364.43,0.00,0.00
135,5893657.21,0.00,0.00
136,2507507.32,0.00,0.00
137,6446195.84,0.00,0.00
138,830165.86,0.00,0.00
139,4306116.82,0.00,0.00
140,6985571.86,0.00,0.00
141,2602620.12,0.00,0.00
142,5736610.89,0.00,0.00
143,6099819.66,0.00,0.00
144,924361.71,0.00,0.00
145,6708504.92,0.00,0.00
146,4475981.00,0.00,0.00
147,7187273.03,0.00,0.00
148,2770479.44,0.00,0.00
149,6324314.83,0.00,0.00
150,5973453.76,0.00,0.00
151,6912883.04,0.00,0.00
152,1131881.24,0.00,0.00
153,7401618.48,0.00,0.00
154,6475938.08,0.00,0.00
155,4656066.18,0.00,0.00
156,2936995.51,0.00,0.00
157,6202467.44,0.00,0.00
158,1268870.59,0.00,0.00
159,7139712.33,0.00,0.00
160,7573753.36,0.00,0.00
161,4813480.38,0.00,0.00
162,7562946.80,0.00,0.00
163,6415546.42,0.00,0.00
164,3125087.74,0.00,0.00
165,1383067.37,0.00,0.00
166,7309704.78,0.00,0.00
167,6943929.43,0.00,0.00
168,4965191.36,0.00,0.00
169,7798316.24,0.00,0.00
170,6577637.91,0.00,0.00
171,3262195.11,0.00,0.00
172,7524121.28,0.00,0.00
173,1543510.91,0.00,0.00
174,7176390.17,0.00,0.00
175,5065379.62,0.00,0.00
176,6788744.21,0.00,0.00
177,8022295.71,0.00,0.00
178,3422009.47,0.00,0.00
179,7760987.76,0.00,0.00
180,1717672.11,0.00,0.00
181,5222476.24,0.00,0.00
182,7408698.32,0.00,0.00
183,3529853.58,0.00,0.00
184,7021629.57,0.00,0.00
185,1826509.48,0.00,0.00
186,8012271.17,0.00,0.00
187,5414618.73,0.00,0.00
188,3732437.37,0.00,0.00
189,7271261.93,0.00,0.00
190,2042810.20,0.00,0.00
191,5567330.60,0.00,0.00
192,3880771.16,0.00,0.00
193,2163860.56,0.00,0.00
194,546721.70,0.00,0.00
195,4013174.53,0.00,0.00
196,585791.59,0.00,0.00
197,2272907.97,0.00,0.00
198,2356868.98,0.00,0.00
199,4138016.94,0.00,0.00
200,709190.61,0.00,0.00
201,4196912.29,0.00,0.00
202,2480172.63,0.00,0.00
203,853371.14,0.00,0.00
204,4346236.47,0.00,0.00
205,2640058.04,0.00,0.00
206,956131.94,0.00,0.00
207,4452511.79,0.00,0.00
208,1069751.02,0.00,0.00
209,2778280.97,0.00,0.00
210,4571932.79,0.00,0.00
211,2881076.10,0.00,0.00
212,1239042.76,0.00,0.00
213,4715447.43,0.00,0.00
214,1318238.74,0.00,0.00
215,3013245.58,0.00,0.00
216,3091603.76,0.00,0.00
217,4828332.66,0.00,0.00
218,1468732.36,0.00,0.00
219,5017552.85,0.00,0.00
220,3271093.13,0.00,0.00
221,1656164.65,0.00,0.00
222,1791182.99,0.00,0.00
223,5173072.58,0.00,0.00
224,3450229.88,0.00,0.00
225,1964463.23,0.00,0.00
226,3624910.12,0.00,0.00
227,567834.38,0.00,0.00
228,3712423.80,0.00,0.00
229,2131224.63,0.00,0.00
230,744841.10,0.00,0.00
231,3898957.01,0.00,0.00
232,2366098.40,0.00,0.00
233,932539.70,0.00,0.00
234,4089384.56,0.00,0.00
235,1021126.75,0.00,0.00
236,2546666.38,0.00,0.00
237,2664041.76,0.00,0.00
238,4248674.15,0.00,0.00
239,1244588.85,0.00,0.00
240,2847587.59,0.00,0.00
241,4422582.39,0.00,0.00
242,1392620.56,0.00,0.00
243,3016676.43,0.00,0.00
244,1533710.96,0.00,0.00
245,4619804.38,0.00,0.00
246,3214729.31,0.00,0.00
247,4781923.77,0.00,0.00
248,1711057.90,0.00,0.00
249,4887569.67,0.00,0.00
250,3419934.51,0.00,0.00
251,1925668.72,0.00,0.00
252,3546523.81,0.00,0.00
253,5119243.38,0.00,0.00
254,2064213.75,0.00,0.00
255,3743428.95,0.00,0.00
256,2193934.44,0.00,0.00
257,3946020.84,0.00,0.00
258,2347476.96,0.00,0.00
259,654615.64,0.00,0.00
260,4128356.46,0.00,0.00
261,2499054.91,0.00,0.00
262,750808.24,0.00,0.00
263,4271322.49,0.00,0.00
264,880128.86,0.00,0.00
265,2651580.81,0.00,0.00
266,4356264.35,0.00,0.00
267,1003244.64,0.00,0.00
268,2772750.14,0.00,0.00
269,1086537.12,0.00,0.00
270,4549131.39,0.00,0.00
271,2909507.51,0.00,0.00
272,4628788.23,0.00,0.00
