task_index,total_latency_ms,scheduling_latency_ms,execution_latency_ms
0,24333177.09,0.00,0.00
1,24345149.28,0.00,0.00
2,24328192.71,0.00,0.00
3,23511912.58,0.00,0.00
4,23468798.88,0.00,0.00
5,23538520.57,0.00,0.00
6,22587064.27,0.00,0.00
7,22711412.91,0.00,0.00
8,22754613.16,0.00,0.00
9,22004547.60,0.00,0.00
10,22175846.58,0.00,0.00
11,20991610.29,0.00,0.00
12,21124461.89,0.00,0.00
13,20001672.74,0.00,0.00
14,19566723.11,0.00,0.00
15,22335421.56,0.00,0.00
16,20179220.20,0.00,0.00
17,18643186.09,0.00,0.00
18,19764753.82,0.00,0.00
19,21378495.45,0.00,0.00
20,15468822.24,0.00,0.00
21,25335592.75,0.00,0.00
22,24378625.63,0.00,0.00
23,23558723.21,0.00,0.00
24,20548657.89,0.00,0.00
25,19134551.29,0.00,0.00
26,18060884.95,0.00,0.00
27,18138846.40,0.00,0.00
28,20359333.52,0.00,0.00
29,23006267.31,0.00,0.00
30,17256715.06,0.00,0.00
31,25867975.71,0.00,0.00
32,25937452.79,0.00,0.00
33,19514300.35,0.00,0.00
34,21991505.15,0.00,0.00
35,24899902.82,0.00,0.00
36,15106670.62,0.00,0.00
37,24880733.97,0.00,0.00
38,18327311.52,0.00,0.00
39,24008871.79,0.00,0.00
40,24039628.98,0.00,0.00
41,16424386.98,0.00,0.00
42,13123838.42,0.00,0.00
43,17611813.31,0.00,0.00
44,17586484.67,0.00,0.00
45,21112610.10,0.00,0.00
46,14166282.65,0.00,0.00
47,15370635.51,0.00,0.00
48,23367482.66,0.00,0.00
49,23334989.55,0.00,0.00
50,20658726.22,0.00,0.00
51,12384682.18,0.00,0.00
52,22319353.58,0.00,0.00
53,13439270.02,0.00,0.00
54,22322168.35,0.00,0.00
55,19755168.68,0.00,0.00
56,16610088.35,0.00,0.00
57,11055299.76,0.00,0.00
58,26434436.80,0.00,0.00
59,21402438.88,0.00,0.00
60,14550769.57,0.00,0.00
61,21406399.01,0.00,0.00
62,17693403.24,0.00,0.00
63,10022583.72,0.00,0.00
64,25374586.82,0.00,0.00
65,20918808.22,0.00,0.00
66,16849973.92,0.00,0.00
67,12550353.05,0.00,0.00
68,20902292.73,0.00,0.00
69,8786203.62,0.00,0.00
70,24542374.13,0.00,0.00
71,11310087.44,0.00,0.00
72,20123044.73,0.00,0.00
73,15721532.11,0.00,0.00
74,20071967.84,0.00,0.00
75,15804370.40,0.00,0.00
76,7782149.31,0.00,0.00
77,23750159.26,0.00,0.00
78,10279917.72,0.00,0.00
79,18074420.21,0.00,0.00
80,18033025.50,0.00,0.00
81,19013855.46,0.00,0.00
82,14799537.42,0.00,0.00
83,6170810.94,0.00,0.00
84,22635001.42,0.00,0.00
85,16943820.00,0.00,0.00
86,9070868.97,0.00,0.00
87,16871337.18,0.00,0.00
88,13902223.83,0.00,0.00
89,13960335.73,0.00,0.00
90,4417227.03,0.00,0.00
91,21804726.36,0.00,0.00
92,15935331.58,0.00,0.00
93,7811536.31,0.00,0.00
94,15941360.95,0.00,0.00
95,14818672.42,0.00,0.00
96,12956164.12,0.00,0.00
97,2771762.61,0.00,0.00
98,21266805.41,0.00,0.00
99,6407654.29,0.00,0.00
100,19217846.63,0.00,0.00
101,19155462.03,0.00,0.00
102,11705333.23,0.00,0.00
103,12864081.38,0.00,0.00
104,953134.54,0.00,0.00
105,20372395.52,0.00,0.00
106,4661909.34,0.00,0.00
107,13976815.46,0.00,0.00
108,14050999.88,0.00,0.00
109,11681787.73,0.00,0.00
110,18224885.23,0.00,0.00
111,14964860.20,0.00,0.00
112,2922756.67,0.00,0.00
113,10564280.75,0.00,0.00
114,15151676.65,0.00,0.00
115,17421316.39,0.00,0.00
116,13109470.13,0.00,0.00
117,1167121.89,0.00,0.00
118,27182700.16,0.00,0.00
119,9382888.79,0.00,0.00
120,12998962.40,0.00,0.00
121,16167843.34,0.00,0.00
122,11848431.11,0.00,0.00
123,27213466.64,0.00,0.00
124,10849406.00,0.00,0.00
125,27253432.27,0.00,0.00
126,25194524.29,0.00,0.00
127,8213081.36,0.00,0.00
128,11871963.02,0.00,0.00
129,19459318.16,0.00,0.00
130,10859536.65,0.00,0.00
131,25227235.08,0.00,0.00
132,26204750.78,0.00,0.00
133,6764058.59,0.00,0.00
134,27365216.49,0.00,0.00
135,10827240.94,0.00,0.00
136,14308980.70,0.00,0.00
137,9623844.62,0.00,0.00
138,26199715.14,0.00,0.00
139,24458485.36,0.00,0.00
140,25347488.88,0.00,0.00
141,5044736.86,0.00,0.00
142,9659884.21,0.00,0.00
143,26373741.15,0.00,0.00
144,15362426.76,0.00,0.00
145,9852237.22,0.00,0.00
146,8425210.71,0.00,0.00
147,24508828.16,0.00,0.00
148,23493683.34,0.00,0.00
149,8467002.39,0.00,0.00
150,3417061.57,0.00,0.00
151,25604352.95,0.00,0.00
152,6999468.33,0.00,0.00
153,13556239.13,0.00,0.00
154,26537944.79,0.00,0.00
155,22705344.92,0.00,0.00
156,23614692.69,0.00,0.00
157,1719191.55,0.00,0.00
158,12296734.33,0.00,0.00
159,5337331.06,0.00,0.00
160,24865209.10,0.00,0.00
161,8917073.49,0.00,0.00
162,7176161.53,0.00,0.00
163,24887982.85,0.00,0.00
164,22908372.88,0.00,0.00
165,22474174.74,0.00,0.00
166,5382444.38,0.00,0.00
167,23826103.21,0.00,0.00
168,11409067.15,0.00,0.00
169,3740386.96,0.00,0.00
170,27889944.08,0.00,0.00
171,23924554.59,0.00,0.00
172,693791.63,0.00,0.00
173,665731.67,0.00,0.00
174,22574991.23,0.00,0.00
175,3695964.34,0.00,0.00
176,21457861.90,0.00,0.00
177,2057712.79,0.00,0.00
178,7639786.72,0.00,0.00
179,10330621.72,0.00,0.00
180,26138094.90,0.00,0.00
181,21576667.31,0.00,0.00
182,2112008.33,0.00,0.00
183,23164946.79,0.00,0.00
184,23282711.98,0.00,0.00
185,19522094.96,0.00,0.00
186,753221.51,0.00,0.00
187,6103215.22,0.00,0.00
188,9184195.28,0.00,0.00
189,27089434.39,0.00,0.00
190,19473919.87,0.00,0.00
191,22810802.22,0.00,0.00
192,18462013.48,0.00,0.00
193,25329979.66,0.00,0.00
194,18465328.93,0.00,0.00
195,22867475.51,0.00,0.00
196,24369955.78,0.00,0.00
197,17632035.49,0.00,0.00
198,7810665.61,0.00,0.00
199,4535440.68,0.00,0.00
200,17588649.75,0.00,0.00
201,22017163.28,0.00,0.00
202,1163834.57,0.00,0.00
203,20863203.76,0.00,0.00
204,23682847.50,0.00,0.00
205,22056350.71,0.00,0.00
206,1184106.59,0.00,0.00
207,6221533.54,0.00,0.00
208,19997286.08,0.00,0.00
209,2986893.65,0.00,0.00
210,21055753.71,0.00,0.00
211,23417537.93,0.00,0.00
212,20027845.62,0.00,0.00
213,15951220.51,0.00,0.00
214,16119180.20,0.00,0.00
215,4694116.59,0.00,0.00
216,22344047.55,0.00,0.00
217,19316482.78,0.00,0.00
218,16946365.36,0.00,0.00
219,19283743.14,0.00,0.00
220,17063534.02,0.00,0.00
221,1906285.76,0.00,0.00
222,15029899.60,0.00,0.00
223,15022243.74,0.00,0.00
224,12724361.42,0.00,0.00
225,3228457.45,0.00,0.00
226,18375996.35,0.00,0.00
227,20467597.48,0.00,0.00
228,18470241.55,0.00,0.00
229,12731352.33,0.00,0.00
230,1638975.86,0.00,0.00
231,19382888.56,0.00,0.00
232,13973430.40,0.00,0.00
233,21646801.47,0.00,0.00
234,13954633.95,0.00,0.00
235,21818057.30,0.00,0.00
236,16497349.74,0.00,0.00
237,18560665.85,0.00,0.00
238,11903413.77,0.00,0.00
239,11784253.36,0.00,0.00
240,16670945.88,0.00,0.00
241,21902960.78,0.00,0.00
242,17447317.84,0.00,0.00
243,10508364.92,0.00,0.00
244,10431322.34,0.00,0.00
245,17559233.67,0.00,0.00
246,456292.63,0.00,0.00
247,8992576.36,0.00,0.00
248,16793222.43,0.00,0.00
249,15694431.30,0.00,0.00
250,15563596.25,0.00,0.00
251,17627439.98,0.00,0.00
252,7422793.63,0.00,0.00
253,9070146.56,0.00,0.00
254,29978661.78,0.00,0.00
255,13315880.78,0.00,0.00
256,14623086.69,0.00,0.00
257,15654605.15,0.00,0.00
258,27864302.40,0.00,0.00
259,14688943.62,0.00,0.00
260,13521998.88,0.00,0.00
261,13391492.37,0.00,0.00
262,7356934.31,0.00,0.00
263,5533298.73,0.00,0.00
264,30119017.84,0.00,0.00
265,27957803.01,0.00,0.00
266,12284108.40,0.00,0.00
267,30238308.67,0.00,0.00
268,5687748.19,0.00,0.00
269,12350124.60,0.00,0.00
270,14697021.96,0.00,0.00
271,836572.65,0.00,0.00
272,4069013.83,0.00,0.00
273,28132789.85,0.00,0.00
274,30309266.33,0.00,0.00
275,28114815.24,0.00,0.00
276,1141416.31,0.00,0.00
277,11103025.67,0.00,0.00
278,28981825.59,0.00,0.00
279,4063459.87,0.00,0.00
280,12299250.36,0.00,0.00
281,11222546.10,0.00,0.00
282,2646352.29,0.00,0.00
283,29081531.05,0.00,0.00
284,29176242.35,0.00,0.00
285,27216416.36,0.00,0.00
286,2615665.44,0.00,0.00
287,11188760.04,0.00,0.00
288,27372409.58,0.00,0.00
289,9848680.73,0.00,0.00
290,29299089.19,0.00,0.00
291,27542477.37,0.00,0.00
292,26327306.75,0.00,0.00
293,9523534.30,0.00,0.00
294,26431020.26,0.00,0.00
295,9600294.35,0.00,0.00
296,1124743.46,0.00,0.00
297,8295056.82,0.00,0.00
298,28522686.48,0.00,0.00
299,26672025.44,0.00,0.00
300,25779762.74,0.00,0.00
301,6483368.40,0.00,0.00
302,27691927.67,0.00,0.00
303,8254607.44,0.00,0.00
304,1440891.74,0.00,0.00
305,25856206.89,0.00,0.00
306,28556586.74,0.00,0.00
307,8189103.60,0.00,0.00
308,4868301.87,0.00,0.00
309,31016846.66,0.00,0.00
310,31006165.03,0.00,0.00
311,1477979.66,0.00,0.00
312,3443160.30,0.00,0.00
313,6447439.43,0.00,0.00
314,26098687.17,0.00,0.00
315,24303801.06,0.00,0.00
316,26916776.66,0.00,0.00
317,24401266.57,0.00,0.00
318,29863621.00,0.00,0.00
319,5059356.45,0.00,0.00
320,6799670.46,0.00,0.00
321,25615158.32,0.00,0.00
322,25576921.70,0.00,0.00
323,25561467.89,0.00,0.00
324,29893555.64,0.00,0.00
325,26415737.39,0.00,0.00
326,1758088.83,0.00,0.00
327,28259787.08,0.00,0.00
328,3542166.47,0.00,0.00
329,24926919.46,0.00,0.00
330,22631332.40,0.00,0.00
331,22677399.64,0.00,0.00
332,25931149.48,0.00,0.00
333,5337703.23,0.00,0.00
334,28381307.13,0.00,0.00
335,20721461.30,0.00,0.00
336,25129998.68,0.00,0.00
337,20617043.02,0.00,0.00
338,26771862.75,0.00,0.00
339,21803097.96,0.00,0.00
340,29595741.03,0.00,0.00
341,23086848.26,0.00,0.00
342,29566956.52,0.00,0.00
343,4104679.58,0.00,0.00
344,2184600.35,0.00,0.00
345,23345384.12,0.00,0.00
346,26919529.68,0.00,0.00
347,21133608.58,0.00,0.00
348,713705.54,0.00,0.00
349,22188320.64,0.00,0.00
350,32020655.63,0.00,0.00
351,27906397.10,0.00,0.00
352,22151099.92,0.00,0.00
353,24381995.44,0.00,0.00
354,32171474.22,0.00,0.00
355,27869743.82,0.00,0.00
356,22336234.57,0.00,0.00
357,24742446.18,0.00,0.00
358,21483713.87,0.00,0.00
359,2535403.49,0.00,0.00
360,31059293.27,0.00,0.00
361,19237839.46,0.00,0.00
362,25660738.95,0.00,0.00
363,31146955.25,0.00,0.00
364,998989.82,0.00,0.00
365,24857945.92,0.00,0.00
366,19294947.39,0.00,0.00
367,26957459.93,0.00,0.00
368,25642284.39,0.00,0.00
369,19480589.63,0.00,0.00
370,20484000.92,0.00,0.00
371,1219965.46,0.00,0.00
372,23704960.82,0.00,0.00
373,20568870.31,0.00,0.00
374,27004788.64,0.00,0.00
375,18327949.29,0.00,0.00
376,29461054.56,0.00,0.00
377,18291427.85,0.00,0.00
378,29565556.76,0.00,0.00
379,24997723.82,0.00,0.00
380,2961493.25,0.00,0.00
381,24987186.19,0.00,0.00
382,23909310.82,0.00,0.00
383,30592071.53,0.00,0.00
384,16159909.73,0.00,0.00
