task_index,total_latency_ms,scheduling_latency_ms,execution_latency_ms
0,982794.52,0.00,0.00
1,1152270.56,0.00,0.00
2,708649.87,0.00,0.00
3,609514.24,0.00,0.00
4,984635.11,0.00,0.00
5,1215732.57,0.00,0.00
6,1129110.10,0.00,0.00
7,657378.67,0.00,0.00
8,1158011.67,0.00,0.00
9,1190610.41,0.00,0.00
10,1581629.99,0.00,0.00
11,1122309.45,0.00,0.00
12,1382502.56,0.00,0.00
13,1546235.80,0.00,0.00
14,1495486.97,0.00,0.00
15,1366147.04,0.00,0.00
16,1521984.58,0.00,0.00
17,1414289.24,0.00,0.00
18,1812647.58,0.00,0.00
19,1434586.52,0.00,0.00
20,1904888.39,0.00,0.00
21,1695425.99,0.00,0.00
22,1631039.38,0.00,0.00
23,2041968.58,0.00,0.00
24,1871225.60,0.00,0.00
25,2170504.09,0.00,0.00
26,2396513.46,0.00,0.00
27,1974684.72,0.00,0.00
28,2527320.62,0.00,0.00
29,1231252.91,0.00,0.00
30,2462260.48,0.00,0.00
31,1336714.03,0.00,0.00
32,2655239.82,0.00,0.00
33,3466979.98,0.00,0.00
34,1461042.40,0.00,0.00
35,2873788.83,0.00,0.00
36,1573595.29,0.00,0.00
37,1133208.27,0.00,0.00
38,3324528.69,0.00,0.00
39,1299796.10,0.00,0.00
40,4000854.49,0.00,0.00
41,3457478.28,0.00,0.00
42,1506833.79,0.00,0.00
43,1628908.16,0.00,0.00
44,4234542.37,0.00,0.00
45,1825928.45,0.00,0.00
46,4043502.09,0.00,0.00
47,3280401.71,0.00,0.00
48,2023170.71,0.00,0.00
49,2223604.92,0.00,0.00
50,3646812.20,0.00,0.00
51,4514740.71,0.00,0.00
52,3771678.45,0.00,0.00
53,2423399.69,0.00,0.00
54,4700842.14,0.00,0.00
55,3492309.33,0.00,0.00
56,3711222.41,0.00,0.00
57,5719816.45,0.00,0.00
58,6052598.00,0.00,0.00
59,490754.60,0.00,0.00
60,5967878.34,0.00,0.00
61,4101592.06,0.00,0.00
62,6212346.32,0.00,0.00
63,611364.36,0.00,0.00
64,4259126.42,0.00,0.00
65,742171.76,0.00,0.00
66,1835153.58,0.00,0.00
67,6488001.35,0.00,0.00
68,856937.41,0.00,0.00
69,6725916.62,0.00,0.00
70,1050337.31,0.00,0.00
71,5766912.94,0.00,0.00
72,7228362.32,0.00,0.00
73,7514246.23,0.00,0.00
74,6047626.02,0.00,0.00
75,7736359.12,0.00,0.00
76,6336210.25,0.00,0.00
77,6960526.70,0.00,0.00
78,7156513.69,0.00,0.00
79,8337054.49,0.00,0.00
80,7298092.60,0.00,0.00
81,7019392.73,0.00,0.00
82,3740786.79,0.00,0.00
83,7604548.45,0.00,0.00
84,8793200.25,0.00,0.00
85,7621598.01,0.00,0.00
86,9055455.92,0.00,0.00
87,3010569.81,0.00,0.00
88,4226538.18,0.00,0.00
89,4332057.00,0.00,0.00
90,8398562.91,0.00,0.00
91,3415746.93,0.00,0.00
92,8627172.23,0.00,0.00
93,8106700.42,0.00,0.00
94,8800071.95,0.00,0.00
95,3544625.52,0.00,0.00
96,9186975.48,0.00,0.00
97,4767028.09,0.00,0.00
98,8841570.38,0.00,0.00
99,8982002.97,0.00,0.00
100,6246314.53,0.00,0.00
101,8034855.84,0.00,0.00
102,691003.80,0.00,0.00
103,9474184.27,0.00,0.00
104,7477932.69,0.00,0.00
105,10418676.61,0.00,0.00
106,5713142.40,0.00,0.00
107,7594834.09,0.00,0.00
108,5911874.06,0.00,0.00
109,10965946.91,0.00,0.00
110,8079156.16,0.00,0.00
111,11237552.40,0.00,0.00
112,6394165.75,0.00,0.00
113,10108752.73,0.00,0.00
114,10971206.43,0.00,0.00
115,3525787.12,0.00,0.00
116,2686142.92,0.00,0.00
117,11618961.57,0.00,0.00
118,11578871.73,0.00,0.00
119,3104278.33,0.00,0.00
120,3247381.69,0.00,0.00
121,11952579.74,0.00,0.00
122,12222840.55,0.00,0.00
123,3688521.15,0.00,0.00
124,10124919.41,0.00,0.00
125,10310238.60,0.00,0.00
126,9963849.78,0.00,0.00
127,10483438.01,0.00,0.00
128,10193343.16,0.00,0.00
129,10728106.50,0.00,0.00
130,10905316.35,0.00,0.00
131,10692183.26,0.00,0.00
132,6208411.22,0.00,0.00
133,10850697.28,0.00,0.00
134,12855780.36,0.00,0.00
135,6418361.90,0.00,0.00
136,11022426.61,0.00,0.00
137,13284565.21,0.00,0.00
138,6912683.01,0.00,0.00
139,11542763.95,0.00,0.00
140,13603277.68,0.00,0.00
141,12535185.10,0.00,0.00
142,7129549.50,0.00,0.00
143,12691119.19,0.00,0.00
144,13801991.22,0.00,0.00
145,14502408.50,0.00,0.00
146,7342449.43,0.00,0.00
147,12916462.66,0.00,0.00
148,14041719.20,0.00,0.00
149,12671630.62,0.00,0.00
150,13168160.92,0.00,0.00
151,15123723.98,0.00,0.00
152,13332680.94,0.00,0.00
153,7877781.15,0.00,0.00
154,13118891.48,0.00,0.00
155,14589837.55,0.00,0.00
156,15430539.85,0.00,0.00
157,9916051.39,0.00,0.00
158,13299151.66,0.00,0.00
159,15417423.96,0.00,0.00
160,10701828.48,0.00,0.00
161,15871627.09,0.00,0.00
162,10929690.12,0.00,0.00
163,16078388.21,0.00,0.00
164,11143044.95,0.00,0.00
165,8158644.68,0.00,0.00
166,16402370.45,0.00,0.00
167,8383758.54,0.00,0.00
168,14155669.69,0.00,0.00
169,14411265.61,0.00,0.00
170,8889060.74,0.00,0.00
171,12047083.14,0.00,0.00
172,11737827.06,0.00,0.00
173,14638192.42,0.00,0.00
174,12203265.67,0.00,0.00
175,14810229.78,0.00,0.00
176,12432108.16,0.00,0.00
177,4938271.28,0.00,0.00
178,12240056.04,0.00,0.00
179,15045836.93,0.00,0.00
180,12664497.85,0.00,0.00
181,12404506.21,0.00,0.00
