task_index,total_latency_ms,scheduling_latency_ms,execution_latency_ms
0,719789.27,0.00,0.00
1,722858.67,0.00,0.00
2,900341.27,0.00,0.00
3,757867.81,0.00,0.00
4,1050457.24,0.00,0.00
5,1230657.82,0.00,0.00
6,1379310.61,0.00,0.00
7,583895.44,0.00,0.00
8,1045436.62,0.00,0.00
9,1344649.31,0.00,0.00
10,832659.72,0.00,0.00
11,563075.54,0.00,0.00
12,1029795.65,0.00,0.00
13,1117022.51,0.00,0.00
14,1363852.98,0.00,0.00
15,563671.59,0.00,0.00
16,1513212.44,0.00,0.00
17,1037659.88,0.00,0.00
18,2829498.05,0.00,0.00
19,778447.87,0.00,0.00
20,1661398.89,0.00,0.00
21,1240765.33,0.00,0.00
22,1813399.79,0.00,0.00
23,995784.76,0.00,0.00
24,1107912.06,0.00,0.00
25,3322317.84,0.00,0.00
26,3061540.60,0.00,0.00
27,1254770.99,0.00,0.00
28,3456447.60,0.00,0.00
29,1690402.03,0.00,0.00
30,3302849.05,0.00,0.00
31,2368651.39,0.00,0.00
32,3671469.93,0.00,0.00
33,3807695.87,0.00,0.00
34,2855290.17,0.00,0.00
35,2521819.83,0.00,0.00
36,1230040.55,0.00,0.00
37,2974417.92,0.00,0.00
38,2652868.75,0.00,0.00
39,678883.79,0.00,0.00
40,2854078.53,0.00,0.00
41,3364778.28,0.00,0.00
42,865422.49,0.00,0.00
43,3074119.33,0.00,0.00
44,4994185.92,0.00,0.00
45,980672.60,0.00,0.00
46,5103671.07,0.00,0.00
47,3042850.02,0.00,0.00
48,1095893.86,0.00,0.00
49,5311497.21,0.00,0.00
50,1205129.86,0.00,0.00
51,3556077.00,0.00,0.00
52,5462101.94,0.00,0.00
53,5557513.95,0.00,0.00
54,696046.11,0.00,0.00
55,5232987.64,0.00,0.00
56,3543689.73,0.00,0.00
57,3159545.18,0.00,0.00
58,884900.33,0.00,0.00
59,5377510.31,0.00,0.00
60,5827452.66,0.00,0.00
61,2905186.18,0.00,0.00
62,3354840.76,0.00,0.00
63,1061150.07,0.00,0.00
64,3557171.11,0.00,0.00
65,5852222.68,0.00,0.00
66,3401226.76,0.00,0.00
67,6028810.74,0.00,0.00
68,1546170.95,0.00,0.00
69,3531730.89,0.00,0.00
70,1666171.31,0.00,0.00
71,6229938.27,0.00,0.00
72,4034661.05,0.00,0.00
73,7012633.09,0.00,0.00
74,1828637.12,0.00,0.00
75,4183158.40,0.00,0.00
76,2857143.40,0.00,0.00
77,3913165.09,0.00,0.00
78,7229475.98,0.00,0.00
79,4335295.44,0.00,0.00
80,2059265.38,0.00,0.00
81,6677919.39,0.00,0.00
82,4472559.45,0.00,0.00
83,2246202.47,0.00,0.00
84,4618828.06,0.00,0.00
85,3381713.87,0.00,0.00
86,7749498.84,0.00,0.00
87,1423310.52,0.00,0.00
88,3507842.06,0.00,0.00
89,1537930.97,0.00,0.00
90,4802850.25,0.00,0.00
91,1728180.17,0.00,0.00
92,4942412.38,0.00,0.00
93,6029535.06,0.00,0.00
94,1858858.59,0.00,0.00
95,611872.67,0.00,0.00
96,2038920.88,0.00,0.00
97,5406000.14,0.00,0.00
98,7527071.71,0.00,0.00
99,6823980.57,0.00,0.00
100,2478315.83,0.00,0.00
101,7944132.80,0.00,0.00
102,7072851.18,0.00,0.00
103,860048.53,0.00,0.00
104,8384534.36,0.00,0.00
105,7533070.33,0.00,0.00
106,7324033.98,0.00,0.00
107,7682909.49,0.00,0.00
108,4762465.00,0.00,0.00
109,895249.13,0.00,0.00
110,2377492.90,0.00,0.00
111,3755431.18,0.00,0.00
112,7934966.33,0.00,0.00
113,6092411.04,0.00,0.00
114,1378735.78,0.00,0.00
115,6409011.13,0.00,0.00
116,1557093.14,0.00,0.00
117,3065435.41,0.00,0.00
118,8577696.80,0.00,0.00
119,4400848.87,0.00,0.00
120,10490252.97,0.00,0.00
121,1734377.62,0.00,0.00
122,9089880.70,0.00,0.00
123,3170419.45,0.00,0.00
124,4516455.41,0.00,0.00
125,5668362.62,0.00,0.00
126,578004.36,0.00,0.00
127,5865032.43,0.00,0.00
128,3695080.52,0.00,0.00
129,8593580.72,0.00,0.00
130,8810207.13,0.00,0.00
131,6292966.60,0.00,0.00
132,6996689.32,0.00,0.00
133,4354567.29,0.00,0.00
134,9305323.84,0.00,0.00
135,4541312.46,0.00,0.00
136,7395880.70,0.00,0.00
137,3407771.59,0.00,0.00
138,7572576.52,0.00,0.00
139,4989570.38,0.00,0.00
140,2187401.29,0.00,0.00
141,6550641.54,0.00,0.00
142,3887742.52,0.00,0.00
143,8106932.64,0.00,0.00
144,4043124.91,0.00,0.00
145,6774449.35,0.00,0.00
146,1050918.10,0.00,0.00
147,2722320.80,0.00,0.00
148,2874428.27,0.00,0.00
149,7253938.91,0.00,0.00
150,7409667.73,0.00,0.00
151,7572402.00,0.00,0.00
152,668191.91,0.00,0.00
153,3451569.32,0.00,0.00
154,10673498.63,0.00,0.00
155,8088882.45,0.00,0.00
156,11082999.71,0.00,0.00
157,12166831.49,0.00,0.00
158,4409070.25,0.00,0.00
159,12331197.50,0.00,0.00
160,10040136.58,0.00,0.00
161,4585806.13,0.00,0.00
162,11578573.70,0.00,0.00
163,12561603.31,0.00,0.00
164,10206197.50,0.00,0.00
165,11806303.74,0.00,0.00
166,12791700.60,0.00,0.00
167,10433569.67,0.00,0.00
168,5056471.82,0.00,0.00
169,2480332.14,0.00,0.00
170,13027826.55,0.00,0.00
171,10664199.83,0.00,0.00
172,12332857.37,0.00,0.00
173,9698497.30,0.00,0.00
174,1010098.93,0.00,0.00
175,2997206.21,0.00,0.00
176,9941300.15,0.00,0.00
177,11159763.10,0.00,0.00
178,3135351.66,0.00,0.00
179,10173845.53,0.00,0.00
180,7019151.45,0.00,0.00
181,7227253.20,0.00,0.00
182,3586299.18,0.00,0.00
183,12441059.83,0.00,0.00
184,10640586.61,0.00,0.00
185,7454053.40,0.00,0.00
186,5415089.85,0.00,0.00
187,12677907.23,0.00,0.00
188,7584827.18,0.00,0.00
189,10866187.33,0.00,0.00
190,5611852.41,0.00,0.00
191,7744145.63,0.00,0.00
192,11086100.10,0.00,0.00
193,13145913.36,0.00,0.00
194,7909373.76,0.00,0.00
195,11287579.77,0.00,0.00
196,11924293.99,0.00,0.00
197,6157866.24,0.00,0.00
198,8307709.22,0.00,0.00
199,11450371.03,0.00,0.00
200,7756117.82,0.00,0.00
201,9794739.25,0.00,0.00
202,6368994.47,0.00,0.00
203,7321499.82,0.00,0.00
204,8467807.29,0.00,0.00
205,7973261.36,0.00,0.00
206,6508897.30,0.00,0.00
207,4264231.44,0.00,0.00
208,7473873.85,0.00,0.00
209,4391362.91,0.00,0.00
210,7613079.07,0.00,0.00
211,7754449.13,0.00,0.00
212,8446478.61,0.00,0.00
213,4585150.96,0.00,0.00
214,7027111.29,0.00,0.00
215,8304790.26,0.00,0.00
216,5099226.47,0.00,0.00
217,5188039.30,0.00,0.00
218,9563133.24,0.00,0.00
219,16746095.66,0.00,0.00
220,9670140.27,0.00,0.00
221,5388126.85,0.00,0.00
222,13272596.84,0.00,0.00
223,9847955.47,0.00,0.00
224,5551414.49,0.00,0.00
225,13525853.40,0.00,0.00
226,10037261.72,0.00,0.00
227,5968548.54,0.00,0.00
228,13928849.94,0.00,0.00
229,7971422.91,0.00,0.00
230,6087562.08,0.00,0.00
231,10154004.10,0.00,0.00
232,8153468.61,0.00,0.00
233,6285366.30,0.00,0.00
234,10738191.37,0.00,0.00
235,6981273.65,0.00,0.00
236,6258578.78,0.00,0.00
237,14681378.13,0.00,0.00
238,10642802.95,0.00,0.00
239,8609432.22,0.00,0.00
240,6443893.67,0.00,0.00
241,7371701.48,0.00,0.00
242,6758781.19,0.00,0.00
243,10787330.87,0.00,0.00
244,7477106.33,0.00,0.00
245,14942995.79,0.00,0.00
246,6602423.19,0.00,0.00
247,6202869.18,0.00,0.00
248,2727775.10,0.00,0.00
249,14071400.17,0.00,0.00
250,15154284.24,0.00,0.00
251,4415719.99,0.00,0.00
252,14287907.12,0.00,0.00
253,15359113.93,0.00,0.00
254,7439006.81,0.00,0.00
255,15523148.06,0.00,0.00
256,7377155.30,0.00,0.00
257,11145584.58,0.00,0.00
258,14714455.13,0.00,0.00
259,7575361.97,0.00,0.00
260,3199928.05,0.00,0.00
261,14875519.28,0.00,0.00
262,11337982.65,0.00,0.00
263,11522743.94,0.00,0.00
264,3353915.69,0.00,0.00
265,7781874.66,0.00,0.00
266,15084154.61,0.00,0.00
267,11540455.34,0.00,0.00
268,7001436.00,0.00,0.00
269,7984176.40,0.00,0.00
270,7197144.75,0.00,0.00
271,8120798.35,0.00,0.00
272,3840269.80,0.00,0.00
273,7997854.71,0.00,0.00
274,15591860.06,0.00,0.00
275,4602680.21,0.00,0.00
276,3709984.78,0.00,0.00
277,12233169.32,0.00,0.00
278,7682800.29,0.00,0.00
279,3891658.31,0.00,0.00
