task_index,total_latency_ms,scheduling_latency_ms,execution_latency_ms
0,76593.40,0.00,0.00
1,94069.00,0.00,0.00
2,120023.49,0.00,0.00
3,83215.71,0.00,0.00
4,93176.84,0.00,0.00
5,74405.91,0.00,0.00
6,100588.80,0.00,0.00
7,109562.87,0.00,0.00
8,72197.68,0.00,0.00
9,39242.51,0.00,0.00
10,55418.73,0.00,0.00
11,56166.41,0.00,0.00
12,59973.48,0.00,0.00
13,68607.57,0.00,0.00
14,73164.94,0.00,0.00
15,85329.53,0.00,0.00
16,54185.39,0.00,0.00
17,56537.63,0.00,0.00
18,78101.40,0.00,0.00
19,71705.82,0.00,0.00
20,87665.08,0.00,0.00
21,44300.79,0.00,0.00
22,49971.34,0.00,0.00
23,59024.81,0.00,0.00
24,74707.03,0.00,0.00
25,90548.28,0.00,0.00
26,57841.54,0.00,0.00
27,40646.31,0.00,0.00
28,58429.00,0.00,0.00
29,66739.56,0.00,0.00
30,71017.03,0.00,0.00
31,76718.57,0.00,0.00
32,55381.30,0.00,0.00
33,51186.80,0.00,0.00
34,61342.48,0.00,0.00
35,60329.44,0.00,0.00
36,71158.65,0.00,0.00
37,86394.07,0.00,0.00
38,44414.76,0.00,0.00
39,56444.41,0.00,0.00
40,80248.59,0.00,0.00
41,81216.10,0.00,0.00
42,50708.29,0.00,0.00
43,38440.94,0.00,0.00
44,45614.00,0.00,0.00
45,58925.63,0.00,0.00
46,71563.72,0.00,0.00
47,98870.99,0.00,0.00
48,55272.10,0.00,0.00
49,43868.06,0.00,0.00
50,76988.94,0.00,0.00
51,61748.98,0.00,0.00
52,67971.23,0.00,0.00
53,80421.45,0.00,0.00
54,42332.17,0.00,0.00
55,54425.00,0.00,0.00
56,71608.07,0.00,0.00
57,69699.53,0.00,0.00
58,46021.46,0.00,0.00
59,86356.40,0.00,0.00
60,88576.79,0.00,0.00
61,61689.85,0.00,0.00
62,70832.73,0.00,0.00
63,82594.16,0.00,0.00
64,54565.67,0.00,0.00
65,49403.19,0.00,0.00
66,78796.15,0.00,0.00
67,78884.60,0.00,0.00
68,83070.99,0.00,0.00
69,85758.92,0.00,0.00
70,50576.69,0.00,0.00
71,59302.33,0.00,0.00
72,73311.81,0.00,0.00
73,65226.08,0.00,0.00
74,55826.43,0.00,0.00
75,47111.75,0.00,0.00
76,39150.24,0.00,0.00
77,58619.98,0.00,0.00
78,69922.92,0.00,0.00
79,76944.83,0.00,0.00
80,50287.96,0.00,0.00
81,48413.04,0.00,0.00
82,81815.72,0.00,0.00
83,71481.70,0.00,0.00
84,59388.64,0.00,0.00
85,77721.12,0.00,0.00
86,43676.85,0.00,0.00
87,51740.17,0.00,0.00
88,75409.89,0.00,0.00
89,84420.68,0.00,0.00
90,69408.66,0.00,0.00
91,48311.00,0.00,0.00
92,78132.63,0.00,0.00
93,54930.93,0.00,0.00
94,70427.89,0.00,0.00
95,69545.27,0.00,0.00
96,49286.84,0.00,0.00
97,44770.72,0.00,0.00
98,72610.86,0.00,0.00
99,64996.24,0.00,0.00
100,52240.37,0.00,0.00
101,78503.85,0.00,0.00
102,43490.65,0.00,0.00
103,43954.37,0.00,0.00
104,63335.42,0.00,0.00
105,55499.32,0.00,0.00
106,41293.38,0.00,0.00
107,38395.40,0.00,0.00
108,68902.25,0.00,0.00
109,52499.53,0.00,0.00
110,59923.17,0.00,0.00
111,62459.95,0.00,0.00
112,100702.05,0.00,0.00
113,75638.29,0.00,0.00
114,61397.31,0.00,0.00
115,54545.40,0.00,0.00
116,38935.66,0.00,0.00
117,76123.71,0.00,0.00
118,78766.82,0.00,0.00
119,82733.15,0.00,0.00
120,59743.64,0.00,0.00
121,41780.47,0.00,0.00
122,83850.38,0.00,0.00
123,75023.65,0.00,0.00
124,55565.83,0.00,0.00
125,38386.82,0.00,0.00
126,50046.21,0.00,0.00
127,57676.55,0.00,0.00
128,86059.09,0.00,0.00
129,70447.92,0.00,0.00
130,63846.35,0.00,0.00
131,56195.50,0.00,0.00
132,86058.38,0.00,0.00
133,77606.20,0.00,0.00
134,74257.85,0.00,0.00
135,81309.08,0.00,0.00
136,59879.30,0.00,0.00
137,42912.01,0.00,0.00
138,90597.15,0.00,0.00
139,87430.95,0.00,0.00
140,64906.12,0.00,0.00
141,94271.18,0.00,0.00
142,51984.55,0.00,0.00
143,54168.70,0.00,0.00
144,84825.04,0.00,0.00
145,65955.64,0.00,0.00
146,63090.32,0.00,0.00
147,59128.05,0.00,0.00
148,80352.31,0.00,0.00
149,65630.44,0.00,0.00
150,69802.52,0.00,0.00
151,78968.05,0.00,0.00
152,60310.13,0.00,0.00
153,53126.34,0.00,0.00
154,99162.34,0.00,0.00
155,87053.54,0.00,0.00
156,54392.10,0.00,0.00
157,98997.59,0.00,0.00
158,46382.19,0.00,0.00
159,57494.40,0.00,0.00
160,96937.42,0.00,0.00
161,71913.96,0.00,0.00
162,67559.96,0.00,0.00
163,66383.12,0.00,0.00
164,91294.05,0.00,0.00
165,81412.32,0.00,0.00
166,83895.21,0.00,0.00
167,87967.63,0.00,0.00
168,77884.44,0.00,0.00
