task_index,total_latency_ms,scheduling_latency_ms,execution_latency_ms
0,30158.52,0.00,0.00
1,10903.60,0.00,0.00
2,22262.57,0.00,0.00
3,13090.13,0.00,0.00
4,6945.13,0.00,0.00
5,16774.65,0.00,0.00
6,11029.72,0.00,0.00
7,22783.28,0.00,0.00
8,14347.31,0.00,0.00
9,8798.84,0.00,0.00
10,20521.88,0.00,0.00
11,14508.96,0.00,0.00
12,8227.11,0.00,0.00
13,19671.68,0.00,0.00
14,13360.50,0.00,0.00
15,8310.08,0.00,0.00
16,19403.22,0.00,0.00
17,13712.64,0.00,0.00
18,8127.93,0.00,0.00
19,18940.45,0.00,0.00
20,12937.31,0.00,0.00
21,6689.55,0.00,0.00
22,17520.19,0.00,0.00
23,11648.18,0.00,0.00
24,6366.97,0.00,0.00
25,17473.94,0.00,0.00
26,10428.19,0.00,0.00
27,21020.41,0.00,0.00
28,13661.62,0.00,0.00
29,8080.24,0.00,0.00
30,19349.10,0.00,0.00
31,13916.97,0.00,0.00
32,8476.26,0.00,0.00
33,19758.70,0.00,0.00
34,13980.15,0.00,0.00
35,7638.93,0.00,0.00
36,18085.96,0.00,0.00
37,13097.52,0.00,0.00
38,6955.39,0.00,0.00
39,17404.56,0.00,0.00
40,11492.25,0.00,0.00
41,7259.61,0.00,0.00
42,18209.46,0.00,0.00
43,12641.67,0.00,0.00
44,5891.32,0.00,0.00
45,17426.49,0.00,0.00
46,11669.16,0.00,0.00
47,6737.47,0.00,0.00
48,16860.25,0.00,0.00
49,11083.13,0.00,0.00
50,21755.93,0.00,0.00
51,14336.35,0.00,0.00
52,9739.16,0.00,0.00
53,20346.16,0.00,0.00
54,14328.24,0.00,0.00
55,8423.09,0.00,0.00
56,20371.91,0.00,0.00
57,13797.76,0.00,0.00
58,9664.54,0.00,0.00
59,21471.02,0.00,0.00
60,14906.17,0.00,0.00
61,9386.78,0.00,0.00
62,20881.89,0.00,0.00
63,13120.65,0.00,0.00
64,8564.95,0.00,0.00
65,20124.67,0.00,0.00
66,13603.21,0.00,0.00
67,8146.76,0.00,0.00
68,19331.69,0.00,0.00
69,11873.01,0.00,0.00
70,7424.59,0.00,0.00
71,18950.22,0.00,0.00
72,13597.01,0.00,0.00
73,8794.31,0.00,0.00
74,20174.74,0.00,0.00
75,14619.35,0.00,0.00
76,9163.62,0.00,0.00
77,22921.56,0.00,0.00
78,13339.76,0.00,0.00
79,8177.76,0.00,0.00
80,19415.62,0.00,0.00
81,13656.62,0.00,0.00
82,8022.55,0.00,0.00
83,19043.92,0.00,0.00
84,15058.04,0.00,0.00
85,9173.63,0.00,0.00
86,20652.06,0.00,0.00
87,13766.77,0.00,0.00
88,8918.76,0.00,0.00
89,20929.34,0.00,0.00
90,14559.75,0.00,0.00
91,8932.83,0.00,0.00
92,20647.29,0.00,0.00
93,13349.29,0.00,0.00
94,9399.18,0.00,0.00
95,20454.41,0.00,0.00
96,14391.42,0.00,0.00
97,9363.17,0.00,0.00
98,21279.10,0.00,0.00
99,14381.89,0.00,0.00
100,8919.95,0.00,0.00
101,20846.61,0.00,0.00
102,14030.46,0.00,0.00
103,8732.32,0.00,0.00
104,19461.87,0.00,0.00
105,13885.50,0.00,0.00
106,10291.58,0.00,0.00
107,21278.38,0.00,0.00
108,14556.17,0.00,0.00
109,8117.20,0.00,0.00
110,19975.19,0.00,0.00
111,12357.00,0.00,0.00
112,6782.77,0.00,0.00
113,18993.14,0.00,0.00
114,13959.88,0.00,0.00
115,7919.31,0.00,0.00
116,19220.35,0.00,0.00
117,12768.27,0.00,0.00
118,6577.73,0.00,0.00
119,18178.70,0.00,0.00
120,12983.80,0.00,0.00
121,7663.25,0.00,0.00
122,19332.41,0.00,0.00
123,12161.73,0.00,0.00
124,8184.19,0.00,0.00
125,19616.84,0.00,0.00
126,13374.81,0.00,0.00
127,6393.43,0.00,0.00
128,18759.49,0.00,0.00
129,11681.56,0.00,0.00
130,6762.74,0.00,0.00
131,18095.73,0.00,0.00
132,10323.05,0.00,0.00
133,23230.79,0.00,0.00
134,15242.34,0.00,0.00
135,9551.29,0.00,0.00
136,21638.39,0.00,0.00
137,14136.55,0.00,0.00
138,8718.25,0.00,0.00
139,21317.48,0.00,0.00
140,13576.51,0.00,0.00
141,8016.11,0.00,0.00
142,19734.38,0.00,0.00
143,14066.93,0.00,0.00
144,7885.46,0.00,0.00
145,19613.98,0.00,0.00
146,13360.74,0.00,0.00
147,7553.34,0.00,0.00
148,20539.28,0.00,0.00
149,15026.81,0.00,0.00
150,9588.48,0.00,0.00
151,21161.79,0.00,0.00
152,14315.13,0.00,0.00
153,8498.19,0.00,0.00
154,20324.71,0.00,0.00
155,13216.97,0.00,0.00
156,7393.12,0.00,0.00
157,20521.40,0.00,0.00
158,14485.36,0.00,0.00
159,9011.51,0.00,0.00
160,21789.07,0.00,0.00
161,14879.47,0.00,0.00
162,9684.80,0.00,0.00
163,21673.20,0.00,0.00
164,14534.95,0.00,0.00
165,8816.48,0.00,0.00
166,20745.52,0.00,0.00
167,14810.09,0.00,0.00
168,11230.23,0.00,0.00
169,22507.19,0.00,0.00
170,14620.78,0.00,0.00
171,8649.35,0.00,0.00
172,19847.39,0.00,0.00
173,14064.79,0.00,0.00
174,9790.42,0.00,0.00
175,23043.87,0.00,0.00
176,16042.95,0.00,0.00
177,10270.12,0.00,0.00
178,21138.19,0.00,0.00
179,13954.40,0.00,0.00
180,7518.05,0.00,0.00
181,19098.52,0.00,0.00
182,13765.34,0.00,0.00
183,7416.01,0.00,0.00
184,18739.70,0.00,0.00
185,13167.38,0.00,0.00
186,7320.88,0.00,0.00
187,18754.01,0.00,0.00
188,12593.51,0.00,0.00
189,6487.61,0.00,0.00
190,17310.62,0.00,0.00
191,11580.94,0.00,0.00
192,6660.22,0.00,0.00
193,17326.12,0.00,0.00
194,11641.03,0.00,0.00
195,6589.17,0.00,0.00
196,17327.31,0.00,0.00
197,11685.37,0.00,0.00
198,22975.21,0.00,0.00
199,15132.67,0.00,0.00
200,9690.52,0.00,0.00
201,21034.96,0.00,0.00
202,15207.05,0.00,0.00
203,9185.08,0.00,0.00
204,20799.16,0.00,0.00
205,15037.54,0.00,0.00
206,9664.77,0.00,0.00
207,20975.83,0.00,0.00
208,14634.61,0.00,0.00
209,10435.34,0.00,0.00
210,21157.26,0.00,0.00
211,15019.42,0.00,0.00
212,9843.59,0.00,0.00
213,22073.51,0.00,0.00
214,15146.97,0.00,0.00
215,9944.20,0.00,0.00
216,22050.86,0.00,0.00
217,10950.33,0.00,0.00
218,23558.38,0.00,0.00
219,14563.08,0.00,0.00
220,9326.22,0.00,0.00
221,22612.57,0.00,0.00
222,14636.52,0.00,0.00
223,9845.50,0.00,0.00
224,6996.15,0.00,0.00
225,18961.67,0.00,0.00
226,13257.03,0.00,0.00
227,5390.17,0.00,0.00
228,18353.70,0.00,0.00
229,13266.32,0.00,0.00
230,7686.38,0.00,0.00
231,19984.48,0.00,0.00
232,14340.16,0.00,0.00
233,8329.39,0.00,0.00
234,21118.40,0.00,0.00
235,15344.86,0.00,0.00
236,10207.41,0.00,0.00
237,23126.84,0.00,0.00
238,16355.28,0.00,0.00
239,9842.40,0.00,0.00
240,20623.21,0.00,0.00
241,14307.50,0.00,0.00
242,7334.23,0.00,0.00
243,20962.72,0.00,0.00
244,14976.98,0.00,0.00
245,9369.85,0.00,0.00
246,21363.26,0.00,0.00
247,11728.76,0.00,0.00
248,6653.79,0.00,0.00
249,18438.58,0.00,0.00
250,12179.37,0.00,0.00
251,23060.56,0.00,0.00
252,13895.75,0.00,0.00
253,9561.06,0.00,0.00
254,21231.89,0.00,0.00
255,14086.72,0.00,0.00
256,9133.34,0.00,0.00
257,20427.94,0.00,0.00
258,20980.12,0.00,0.00
259,15299.56,0.00,0.00
260,8888.48,0.00,0.00
261,23337.36,0.00,0.00
262,14209.75,0.00,0.00
263,8748.77,0.00,0.00
264,21472.93,0.00,0.00
265,14636.04,0.00,0.00
266,7243.87,0.00,0.00
267,20722.63,0.00,0.00
268,14435.05,0.00,0.00
269,9513.85,0.00,0.00
270,22410.39,0.00,0.00
271,15031.34,0.00,0.00
272,9588.24,0.00,0.00
273,22284.51,0.00,0.00
274,15355.35,0.00,0.00
275,10038.61,0.00,0.00
276,22453.78,0.00,0.00
277,15028.72,0.00,0.00
278,9356.50,0.00,0.00
279,20366.91,0.00,0.00
280,14089.35,0.00,0.00
281,8491.28,0.00,0.00
282,20979.17,0.00,0.00
283,14700.17,0.00,0.00
284,9411.10,0.00,0.00
285,20215.27,0.00,0.00
286,13709.55,0.00,0.00
287,7947.44,0.00,0.00
288,21148.68,0.00,0.00
289,14353.75,0.00,0.00
290,8486.51,0.00,0.00
291,21941.18,0.00,0.00
292,14462.47,0.00,0.00
293,7750.27,0.00,0.00
294,19442.56,0.00,0.00
295,13867.38,0.00,0.00
296,8512.50,0.00,0.00
297,21187.07,0.00,0.00
298,14278.41,0.00,0.00
299,8988.14,0.00,0.00
300,22051.57,0.00,0.00
301,14640.33,0.00,0.00
302,9215.35,0.00,0.00
303,21988.39,0.00,0.00
304,14569.52,0.00,0.00
305,9032.25,0.00,0.00
306,22346.50,0.00,0.00
307,14734.75,0.00,0.00
308,8550.17,0.00,0.00
309,22143.36,0.00,0.00
310,15043.50,0.00,0.00
311,8618.12,0.00,0.00
312,20218.13,0.00,0.00
313,12054.92,0.00,0.00
314,22409.92,0.00,0.00
315,13841.15,0.00,0.00
316,9972.81,0.00,0.00
317,21245.24,0.00,0.00
318,14382.84,0.00,0.00
319,10202.65,0.00,0.00
320,21625.04,0.00,0.00
321,13955.59,0.00,0.00
322,9179.12,0.00,0.00
323,21353.96,0.00,0.00
324,14482.98,0.00,0.00
325,9360.79,0.00,0.00
326,21013.98,0.00,0.00
327,14093.88,0.00,0.00
328,10007.14,0.00,0.00
329,21394.49,0.00,0.00
330,14556.41,0.00,0.00
331,9763.00,0.00,0.00
332,21200.42,0.00,0.00
333,14374.26,0.00,0.00
334,9840.25,0.00,0.00
335,21434.55,0.00,0.00
336,14355.90,0.00,0.00
337,9900.09,0.00,0.00
338,21318.44,0.00,0.00
339,14217.62,0.00,0.00
340,9826.18,0.00,0.00
341,21268.13,0.00,0.00
342,14421.22,0.00,0.00
343,10014.30,0.00,0.00
344,21241.19,0.00,0.00
345,14037.61,0.00,0.00
346,9783.51,0.00,0.00
347,21307.95,0.00,0.00
348,14375.69,0.00,0.00
349,9134.53,0.00,0.00
350,20362.62,0.00,0.00
351,15271.19,0.00,0.00
352,9171.01,0.00,0.00
353,21096.71,0.00,0.00
354,14203.79,0.00,0.00
355,8546.11,0.00,0.00
356,19910.81,0.00,0.00
357,14543.29,0.00,0.00
358,9840.97,0.00,0.00
359,22409.20,0.00,0.00
360,15734.20,0.00,0.00
361,7130.38,0.00,0.00
362,19467.59,0.00,0.00
363,13578.89,0.00,0.00
364,7621.53,0.00,0.00
365,21401.41,0.00,0.00
366,14967.68,0.00,0.00
367,9150.74,0.00,0.00
368,22617.58,0.00,0.00
369,14911.89,0.00,0.00
370,9032.25,0.00,0.00
371,22415.40,0.00,0.00
372,15044.69,0.00,0.00
373,9210.11,0.00,0.00
374,22741.56,0.00,0.00
375,14922.62,0.00,0.00
376,9497.88,0.00,0.00
377,22707.94,0.00,0.00
378,15140.53,0.00,0.00
379,9818.32,0.00,0.00
380,22906.30,0.00,0.00
381,14649.63,0.00,0.00
382,8917.57,0.00,0.00
383,21157.98,0.00,0.00
384,14846.56,0.00,0.00
385,9481.43,0.00,0.00
386,21998.17,0.00,0.00
387,14674.90,0.00,0.00
388,8675.81,0.00,0.00
389,22567.03,0.00,0.00
390,15298.84,0.00,0.00
391,10034.08,0.00,0.00
392,22879.36,0.00,0.00
393,15118.36,0.00,0.00
394,9533.41,0.00,0.00
395,22151.95,0.00,0.00
396,15103.58,0.00,0.00
397,9265.18,0.00,0.00
398,22967.58,0.00,0.00
399,15204.19,0.00,0.00
400,9835.24,0.00,0.00
401,22125.72,0.00,0.00
402,14611.48,0.00,0.00
403,9134.53,0.00,0.00
404,21522.52,0.00,0.00
405,14986.52,0.00,0.00
406,8862.26,0.00,0.00
407,21917.58,0.00,0.00
408,15069.01,0.00,0.00
409,9701.49,0.00,0.00
410,22548.91,0.00,0.00
411,15290.74,0.00,0.00
412,10511.16,0.00,0.00
413,22381.07,0.00,0.00
414,14509.92,0.00,0.00
415,8893.01,0.00,0.00
416,21082.64,0.00,0.00
417,14739.27,0.00,0.00
418,8859.63,0.00,0.00
419,21182.54,0.00,0.00
420,16151.91,0.00,0.00
421,11313.20,0.00,0.00
422,22591.83,0.00,0.00
423,14612.91,0.00,0.00
424,9389.16,0.00,0.00
425,21390.68,0.00,0.00
426,14776.71,0.00,0.00
427,9160.52,0.00,0.00
428,22450.92,0.00,0.00
429,15085.22,0.00,0.00
430,9503.60,0.00,0.00
431,21781.21,0.00,0.00
432,14436.72,0.00,0.00
433,8523.46,0.00,0.00
434,21122.69,0.00,0.00
435,14952.42,0.00,0.00
436,9299.28,0.00,0.00
437,22635.70,0.00,0.00
438,14793.40,0.00,0.00
439,8970.50,0.00,0.00
440,21036.15,0.00,0.00
441,14876.37,0.00,0.00
442,9274.01,0.00,0.00
443,21540.40,0.00,0.00
444,14937.64,0.00,0.00
445,9461.88,0.00,0.00
446,20982.74,0.00,0.00
447,14652.49,0.00,0.00
448,9258.51,0.00,0.00
449,21917.82,0.00,0.00
450,14951.94,0.00,0.00
451,9166.96,0.00,0.00
452,22066.35,0.00,0.00
453,14489.65,0.00,0.00
454,8874.65,0.00,0.00
455,21468.88,0.00,0.00
456,14993.43,0.00,0.00
457,9392.26,0.00,0.00
458,22967.82,0.00,0.00
459,14931.92,0.00,0.00
460,9547.47,0.00,0.00
461,22249.94,0.00,0.00
462,14917.37,0.00,0.00
463,9489.54,0.00,0.00
464,22022.49,0.00,0.00
465,14715.67,0.00,0.00
466,8895.64,0.00,0.00
467,22540.57,0.00,0.00
468,15189.17,0.00,0.00
469,9995.22,0.00,0.00
470,21655.08,0.00,0.00
471,14481.78,0.00,0.00
472,8855.10,0.00,0.00
473,22292.85,0.00,0.00
474,15903.95,0.00,0.00
475,9693.86,0.00,0.00
476,21445.27,0.00,0.00
477,14230.01,0.00,0.00
478,8502.24,0.00,0.00
479,20729.78,0.00,0.00
480,15053.27,0.00,0.00
481,9917.50,0.00,0.00
482,23629.90,0.00,0.00
483,14984.85,0.00,0.00
484,9333.37,0.00,0.00
485,22547.01,0.00,0.00
486,14951.23,0.00,0.00
487,9342.43,0.00,0.00
488,22075.18,0.00,0.00
489,14757.63,0.00,0.00
490,8889.91,0.00,0.00
491,22141.93,0.00,0.00
492,15617.13,0.00,0.00
493,9947.78,0.00,0.00
494,21440.51,0.00,0.00
495,14476.78,0.00,0.00
496,9372.95,0.00,0.00
497,20643.23,0.00,0.00
498,14229.54,0.00,0.00
499,8620.98,0.00,0.00
500,21777.15,0.00,0.00
501,15069.96,0.00,0.00
502,9638.55,0.00,0.00
503,21657.47,0.00,0.00
504,14674.90,0.00,0.00
505,8924.25,0.00,0.00
506,20590.07,0.00,0.00
507,14264.11,0.00,0.00
508,8416.41,0.00,0.00
509,21846.77,0.00,0.00
510,15716.08,0.00,0.00
511,10050.54,0.00,0.00
512,22039.89,0.00,0.00
513,14639.62,0.00,0.00
514,8727.07,0.00,0.00
515,21816.97,0.00,0.00
516,14945.51,0.00,0.00
517,10210.99,0.00,0.00
518,22663.59,0.00,0.00
519,15137.43,0.00,0.00
520,9531.74,0.00,0.00
521,22598.98,0.00,0.00
522,14986.75,0.00,0.00
523,8789.54,0.00,0.00
524,22181.03,0.00,0.00
525,14646.53,0.00,0.00
526,9057.76,0.00,0.00
527,21994.35,0.00,0.00
528,15295.74,0.00,0.00
529,10092.50,0.00,0.00
530,22388.22,0.00,0.00
531,15250.68,0.00,0.00
532,9455.44,0.00,0.00
533,22352.46,0.00,0.00
534,15084.03,0.00,0.00
535,9731.29,0.00,0.00
536,21298.65,0.00,0.00
537,14535.67,0.00,0.00
538,8730.17,0.00,0.00
539,21122.93,0.00,0.00
540,14412.16,0.00,0.00
541,9039.64,0.00,0.00
542,22426.37,0.00,0.00
543,14144.18,0.00,0.00
544,8115.05,0.00,0.00
545,19367.46,0.00,0.00
546,13792.75,0.00,0.00
547,7280.35,0.00,0.00
548,21344.90,0.00,0.00
549,14792.20,0.00,0.00
550,9418.49,0.00,0.00
551,22240.64,0.00,0.00
552,15365.36,0.00,0.00
553,10269.64,0.00,0.00
554,21953.34,0.00,0.00
555,14747.62,0.00,0.00
556,8934.02,0.00,0.00
557,21968.60,0.00,0.00
558,14260.77,0.00,0.00
559,9068.73,0.00,0.00
560,21858.69,0.00,0.00
561,15622.85,0.00,0.00
