task_index,total_latency_ms,scheduling_latency_ms,execution_latency_ms
0,26826.62,0.00,0.00
1,8194.68,0.00,0.00
2,19941.33,0.00,0.00
3,14745.95,0.00,0.00
4,10822.53,0.00,0.00
5,21264.08,0.00,0.00
6,15874.15,0.00,0.00
7,10413.41,0.00,0.00
8,20513.30,0.00,0.00
9,14314.89,0.00,0.00
10,9915.83,0.00,0.00
11,20418.64,0.00,0.00
12,14594.79,0.00,0.00
13,9449.48,0.00,0.00
14,20686.86,0.00,0.00
15,14890.67,0.00,0.00
16,10137.56,0.00,0.00
17,20786.52,0.00,0.00
18,571002.72,0.00,0.00
19,544351.82,0.00,0.00
20,16221.52,0.00,0.00
21,520321.13,0.00,0.00
22,497743.37,0.00,0.00
23,474514.48,0.00,0.00
24,447911.74,0.00,0.00
25,12956.38,0.00,0.00
26,424300.19,0.00,0.00
27,403339.15,0.00,0.00
28,9045.60,0.00,0.00
29,379687.55,0.00,0.00
30,357694.39,0.00,0.00
31,336956.74,0.00,0.00
32,315055.37,0.00,0.00
33,293323.99,0.00,0.00
34,21022.56,0.00,0.00
35,272056.58,0.00,0.00
36,249463.80,0.00,0.00
37,228441.00,0.00,0.00
38,15966.65,0.00,0.00
39,205614.81,0.00,0.00
40,180618.52,0.00,0.00
41,159067.87,0.00,0.00
42,12915.85,0.00,0.00
43,137128.83,0.00,0.00
44,116101.74,0.00,0.00
45,91327.43,0.00,0.00
46,68763.26,0.00,0.00
47,21352.29,0.00,0.00
48,45534.13,0.00,0.00
49,20263.43,0.00,0.00
50,17601.25,0.00,0.00
51,18763.78,0.00,0.00
52,16088.96,0.00,0.00
53,14072.42,0.00,0.00
54,11683.94,0.00,0.00
55,9084.22,0.00,0.00
56,22516.73,0.00,0.00
57,17821.31,0.00,0.00
58,16696.45,0.00,0.00
59,15116.69,0.00,0.00
60,14416.93,0.00,0.00
61,10377.65,0.00,0.00
62,9833.57,0.00,0.00
63,8884.91,0.00,0.00
64,22495.27,0.00,0.00
65,19260.17,0.00,0.00
66,17998.22,0.00,0.00
67,16191.24,0.00,0.00
68,15983.58,0.00,0.00
69,12025.12,0.00,0.00
70,10470.15,0.00,0.00
71,7856.13,0.00,0.00
72,20991.09,0.00,0.00
73,17285.35,0.00,0.00
74,15531.30,0.00,0.00
75,11493.44,0.00,0.00
76,10138.51,0.00,0.00
77,20806.55,0.00,0.00
78,14627.70,0.00,0.00
79,11861.56,0.00,0.00
80,9911.54,0.00,0.00
81,20871.16,0.00,0.00
82,14900.68,0.00,0.00
83,12275.93,0.00,0.00
84,10760.55,0.00,0.00
85,8915.19,0.00,0.00
86,20881.65,0.00,0.00
87,17194.03,0.00,0.00
88,16402.01,0.00,0.00
89,13096.33,0.00,0.00
90,10852.34,0.00,0.00
91,12048.96,0.00,0.00
92,21094.80,0.00,0.00
93,23325.44,0.00,0.00
94,12347.94,0.00,0.00
95,18490.08,0.00,0.00
96,9394.65,0.00,0.00
97,15353.44,0.00,0.00
98,19917.49,0.00,0.00
99,7600.55,0.00,0.00
100,13909.10,0.00,0.00
101,19683.60,0.00,0.00
102,22180.80,0.00,0.00
103,11239.05,0.00,0.00
104,18137.93,0.00,0.00
105,7431.75,0.00,0.00
106,13441.32,0.00,0.00
107,18835.31,0.00,0.00
108,7657.53,0.00,0.00
109,14416.93,0.00,0.00
110,20429.61,0.00,0.00
111,7483.72,0.00,0.00
112,14646.05,0.00,0.00
113,19815.68,0.00,0.00
114,11256.46,0.00,0.00
115,16080.14,0.00,0.00
116,9469.27,0.00,0.00
117,11404.04,0.00,0.00
118,20908.36,0.00,0.00
119,20308.97,0.00,0.00
120,12538.67,0.00,0.00
121,12815.71,0.00,0.00
122,20417.69,0.00,0.00
123,21503.93,0.00,0.00
124,11910.68,0.00,0.00
125,16301.39,0.00,0.00
126,21008.73,0.00,0.00
127,6680.73,0.00,0.00
128,14810.32,0.00,0.00
129,20387.41,0.00,0.00
130,10941.03,0.00,0.00
131,16664.98,0.00,0.00
132,21373.51,0.00,0.00
133,6724.36,0.00,0.00
134,16886.71,0.00,0.00
135,17963.41,0.00,0.00
136,16777.52,0.00,0.00
137,14340.88,0.00,0.00
138,12324.33,0.00,0.00
139,9487.15,0.00,0.00
140,7348.30,0.00,0.00
141,24219.99,0.00,0.00
142,14132.74,0.00,0.00
143,15900.85,0.00,0.00
144,10009.05,0.00,0.00
145,11151.08,0.00,0.00
146,20267.96,0.00,0.00
147,21458.63,0.00,0.00
148,11770.01,0.00,0.00
149,16516.92,0.00,0.00
150,6355.76,0.00,0.00
151,11326.55,0.00,0.00
152,18937.11,0.00,0.00
153,22070.41,0.00,0.00
154,11251.21,0.00,0.00
155,18568.52,0.00,0.00
156,9356.74,0.00,0.00
157,15132.19,0.00,0.00
158,20244.36,0.00,0.00
159,6415.61,0.00,0.00
160,15885.35,0.00,0.00
161,19735.81,0.00,0.00
162,10865.45,0.00,0.00
163,10826.83,0.00,0.00
164,20020.72,0.00,0.00
165,16277.55,0.00,0.00
166,8632.18,0.00,0.00
167,10237.22,0.00,0.00
168,20448.45,0.00,0.00
169,22516.49,0.00,0.00
170,12681.48,0.00,0.00
171,17422.44,0.00,0.00
172,7505.42,0.00,0.00
173,12818.81,0.00,0.00
174,20332.81,0.00,0.00
175,7595.54,0.00,0.00
176,15164.38,0.00,0.00
177,20683.53,0.00,0.00
178,10630.37,0.00,0.00
