task_index,total_latency_ms,scheduling_latency_ms,execution_latency_ms
0,651345.73,0.00,0.00
1,1213737.25,0.00,0.00
2,1286876.92,0.00,0.00
3,1689342.02,0.00,0.00
4,2545694.83,0.00,0.00
5,2966392.28,0.00,0.00
6,3333729.98,0.00,0.00
7,3429526.09,0.00,0.00
8,3809768.92,0.00,0.00
9,4630310.54,0.00,0.00
10,4938481.09,0.00,0.00
11,5015473.13,0.00,0.00
12,5399477.96,0.00,0.00
13,5473059.65,0.00,0.00
14,5837650.78,0.00,0.00
15,6287294.39,0.00,0.00
16,7369329.45,0.00,0.00
17,7405495.64,0.00,0.00
18,7491889.00,0.00,0.00
19,8383037.57,0.00,0.00
20,8794465.54,0.00,0.00
21,9783885.72,0.00,0.00
22,9955438.14,0.00,0.00
23,10184261.80,0.00,0.00
24,10628657.34,0.00,0.00
25,11188599.82,0.00,0.00
26,12004780.53,0.00,0.00
27,12233084.92,0.00,0.00
28,12786699.30,0.00,0.00
29,12855576.75,0.00,0.00
30,12924700.74,0.00,0.00
31,13389725.21,0.00,0.00
32,13457420.11,0.00,0.00
33,13729282.38,0.00,0.00
34,13814598.56,0.00,0.00
35,14401776.55,0.00,0.00
36,14525702.71,0.00,0.00
37,14882444.62,0.00,0.00
38,15137202.02,0.00,0.00
39,15801012.28,0.00,0.00
40,16284678.70,0.00,0.00
41,16633211.61,0.00,0.00
42,16710587.98,0.00,0.00
43,17415959.12,0.00,0.00
44,17456031.08,0.00,0.00
45,17942216.87,0.00,0.00
46,18348750.83,0.00,0.00
47,18701462.03,0.00,0.00
48,19529147.86,0.00,0.00
49,20013563.16,0.00,0.00
50,20098031.76,0.00,0.00
51,20481378.32,0.00,0.00
52,20828444.96,0.00,0.00
53,21227321.15,0.00,0.00
54,21634585.86,0.00,0.00
55,22257924.32,0.00,0.00
56,22681743.14,0.00,0.00
57,22751015.42,0.00,0.00
58,23358194.83,0.00,0.00
59,23964435.58,0.00,0.00
60,24952545.64,0.00,0.00
61,25555450.68,0.00,0.00
62,25889894.96,0.00,0.00
63,25932352.78,0.00,0.00
64,25999423.98,0.00,0.00
65,26609365.70,0.00,0.00
66,27023134.71,0.00,0.00
67,27329541.92,0.00,0.00
68,27797654.63,0.00,0.00
69,27881867.17,0.00,0.00
70,28450070.86,0.00,0.00
71,28640802.15,0.00,0.00
72,28728507.76,0.00,0.00
73,29933045.39,0.00,0.00
74,30495024.44,0.00,0.00
75,31275028.47,0.00,0.00
76,31319924.12,0.00,0.00
77,31844284.30,0.00,0.00
78,32067232.61,0.00,0.00
79,32764302.02,0.00,0.00
80,33664630.41,0.00,0.00
81,34140666.25,0.00,0.00
82,34181917.67,0.00,0.00
83,34761263.85,0.00,0.00
84,35177092.08,0.00,0.00
85,35415568.59,0.00,0.00
86,35553172.11,0.00,0.00
87,35892531.39,0.00,0.00
88,36544456.48,0.00,0.00
89,36627976.66,0.00,0.00
90,37388654.71,0.00,0.00
91,37896572.59,0.00,0.00
92,38318948.51,0.00,0.00
93,38756491.42,0.00,0.00
94,38831184.15,0.00,0.00
95,39470496.42,0.00,0.00
96,39874783.52,0.00,0.00
97,40561910.39,0.00,0.00
98,40632210.25,0.00,0.00
99,40972002.03,0.00,0.00
100,41957799.43,0.00,0.00
101,42460350.04,0.00,0.00
102,44394319.30,0.00,0.00
103,44989490.27,0.00,0.00
104,45075052.02,0.00,0.00
105,45389424.32,0.00,0.00
106,45768159.87,0.00,0.00
107,45977081.54,0.00,0.00
108,46460786.34,0.00,0.00
109,46881525.28,0.00,0.00
110,46976659.54,0.00,0.00
111,47333018.06,0.00,0.00
112,47400118.11,0.00,0.00
113,47693757.06,0.00,0.00
114,48092770.10,0.00,0.00
115,48505632.88,0.00,0.00
116,48811026.57,0.00,0.00
117,49962017.77,0.00,0.00
118,50287956.24,0.00,0.00
119,50693808.56,0.00,0.00
120,51015983.58,0.00,0.00
121,52081811.90,0.00,0.00
122,52434139.01,0.00,0.00
123,52529379.37,0.00,0.00
124,52576526.88,0.00,0.00
125,53404012.68,0.00,0.00
126,54133947.37,0.00,0.00
127,54335302.83,0.00,0.00
128,54783190.73,0.00,0.00
129,55027048.35,0.00,0.00
130,55127764.46,0.00,0.00
131,55319022.42,0.00,0.00
132,55728391.41,0.00,0.00
133,57441545.49,0.00,0.00
134,58036587.24,0.00,0.00
135,59289826.39,0.00,0.00
136,59360080.48,0.00,0.00
137,59446140.29,0.00,0.00
138,60064492.46,0.00,0.00
139,60136930.70,0.00,0.00
140,60604845.52,0.00,0.00
141,60824580.43,0.00,0.00
142,61620154.62,0.00,0.00
143,62120461.70,0.00,0.00
144,62606627.70,0.00,0.00
145,63365086.32,0.00,0.00
146,64604769.95,0.00,0.00
147,65093017.34,0.00,0.00
148,66118044.14,0.00,0.00
149,67245285.51,0.00,0.00
150,67569066.52,0.00,0.00
151,67641627.07,0.00,0.00
152,68335710.29,0.00,0.00
153,68888451.10,0.00,0.00
154,68931864.02,0.00,0.00
155,68973493.34,0.00,0.00
156,69605171.92,0.00,0.00
157,69646819.11,0.00,0.00
158,69900785.45,0.00,0.00
159,70502543.69,0.00,0.00
160,70774808.41,0.00,0.00
161,71475011.59,0.00,0.00
162,71886365.89,0.00,0.00
163,72420453.79,0.00,0.00
164,73555022.24,0.00,0.00
165,73960540.53,0.00,0.00
166,74595905.78,0.00,0.00
167,75004680.63,0.00,0.00
168,75538267.85,0.00,0.00
169,76208104.13,0.00,0.00
170,76519626.86,0.00,0.00
171,77188972.47,0.00,0.00
172,77807675.60,0.00,0.00
173,78113715.41,0.00,0.00
174,78247169.73,0.00,0.00
175,79094997.88,0.00,0.00
176,79663131.71,0.00,0.00
177,79732744.22,0.00,0.00
178,79884483.58,0.00,0.00
179,80551414.97,0.00,0.00
180,81076120.62,0.00,0.00
181,81948517.80,0.00,0.00
182,82531285.76,0.00,0.00
183,83073463.92,0.00,0.00
184,84348879.10,0.00,0.00
185,84583239.56,0.00,0.00
186,85190423.01,0.00,0.00
187,85638949.63,0.00,0.00
188,85709649.56,0.00,0.00
189,85795145.03,0.00,0.00
190,86277602.91,0.00,0.00
191,86844507.69,0.00,0.00
192,87199992.18,0.00,0.00
193,87597678.18,0.00,0.00
194,87640200.14,0.00,0.00
195,87727714.06,0.00,0.00
196,88181092.02,0.00,0.00
197,88312998.77,0.00,0.00
198,88754800.08,0.00,0.00
199,89001515.87,0.00,0.00
200,89493734.84,0.00,0.00
201,90038281.68,0.00,0.00
202,90820966.72,0.00,0.00
203,91187541.48,0.00,0.00
204,91257235.77,0.00,0.00
205,91758005.14,0.00,0.00
206,92501955.27,0.00,0.00
207,92959531.55,0.00,0.00
208,93941355.47,0.00,0.00
209,94016225.10,0.00,0.00
210,94573791.98,0.00,0.00
211,94641447.54,0.00,0.00
212,94683432.10,0.00,0.00
213,95317524.43,0.00,0.00
214,95505948.78,0.00,0.00
215,96315571.55,0.00,0.00
216,96806772.23,0.00,0.00
217,97357250.21,0.00,0.00
218,97727221.01,0.00,0.00
219,97768889.67,0.00,0.00
220,98447296.62,0.00,0.00
221,98616508.72,0.00,0.00
222,98990104.20,0.00,0.00
223,99974677.80,0.00,0.00
224,100287723.30,0.00,0.00
225,101906368.49,0.00,0.00
226,102693506.48,0.00,0.00
227,103102278.23,0.00,0.00
228,103688133.00,0.00,0.00
229,103942585.95,0.00,0.00
230,104569238.42,0.00,0.00
231,104738770.01,0.00,0.00
232,104810310.84,0.00,0.00
233,105419703.01,0.00,0.00
234,105732861.52,0.00,0.00
235,106154650.69,0.00,0.00
236,106982710.36,0.00,0.00
237,107065191.75,0.00,0.00
238,107710195.78,0.00,0.00
239,108277542.11,0.00,0.00
240,108806600.09,0.00,0.00
241,109195889.95,0.00,0.00
242,109279274.23,0.00,0.00
243,109320454.36,0.00,0.00
244,109827718.26,0.00,0.00
245,110585537.43,0.00,0.00
246,110653949.50,0.00,0.00
247,111279919.86,0.00,0.00
248,112925489.90,0.00,0.00
249,113483970.64,0.00,0.00
250,113745277.64,0.00,0.00
251,113828922.03,0.00,0.00
252,113963212.01,0.00,0.00
253,114525281.43,0.00,0.00
254,114685081.96,0.00,0.00
255,115207324.27,0.00,0.00
256,115699929.71,0.00,0.00
257,116278821.23,0.00,0.00
258,116538130.28,0.00,0.00
259,117187608.48,0.00,0.00
260,117273130.18,0.00,0.00
261,118374267.10,0.00,0.00
262,119187450.17,0.00,0.00
263,119315700.29,0.00,0.00
264,119358923.44,0.00,0.00
265,119925364.02,0.00,0.00
266,120298814.06,0.00,0.00
267,120369142.53,0.00,0.00
268,120572251.80,0.00,0.00
269,121861115.46,0.00,0.00
270,122152656.79,0.00,0.00
271,122242541.31,0.00,0.00
272,122803388.60,0.00,0.00
273,125048739.91,0.00,0.00
274,125615548.13,0.00,0.00
275,125775793.08,0.00,0.00
276,126165433.41,0.00,0.00
277,126846541.17,0.00,0.00
278,127063278.44,0.00,0.00
279,127411503.31,0.00,0.00
280,127971574.31,0.00,0.00
281,128044065.71,0.00,0.00
282,128349999.90,0.00,0.00
283,128393395.66,0.00,0.00
284,128475854.16,0.00,0.00
285,129060293.67,0.00,0.00
286,129662804.37,0.00,0.00
287,129950096.85,0.00,0.00
288,130017313.00,0.00,0.00
289,130202805.76,0.00,0.00
290,130582278.49,0.00,0.00
291,131111432.55,0.00,0.00
292,131753874.54,0.00,0.00
293,132344895.12,0.00,0.00
294,132856889.49,0.00,0.00
295,133537826.06,0.00,0.00
296,134000793.46,0.00,0.00
297,134359557.87,0.00,0.00
298,134444598.91,0.00,0.00
299,134509984.25,0.00,0.00
300,135119762.42,0.00,0.00
301,135656246.42,0.00,0.00
302,136098009.35,0.00,0.00
303,136485129.83,0.00,0.00
304,136873730.42,0.00,0.00
305,137882737.16,0.00,0.00
306,138895823.00,0.00,0.00
307,139274835.82,0.00,0.00
308,139512151.24,0.00,0.00
309,139577731.13,0.00,0.00
310,140081059.46,0.00,0.00
311,140394365.07,0.00,0.00
312,140726299.52,0.00,0.00
313,140793663.02,0.00,0.00
314,140859819.89,0.00,0.00
315,140924626.11,0.00,0.00
316,141534670.83,0.00,0.00
317,142045400.38,0.00,0.00
318,142459745.41,0.00,0.00
319,142628134.73,0.00,0.00
320,143050106.53,0.00,0.00
321,143949098.35,0.00,0.00
322,144128841.88,0.00,0.00
323,144265682.22,0.00,0.00
324,144521992.44,0.00,0.00
325,144608745.34,0.00,0.00
326,145141395.57,0.00,0.00
327,145205869.44,0.00,0.00
328,145722755.43,0.00,0.00
329,146138866.90,0.00,0.00
330,146682877.06,0.00,0.00
331,147080352.31,0.00,0.00
332,148067083.12,0.00,0.00
333,148363051.89,0.00,0.00
334,148882409.10,0.00,0.00
335,149161195.76,0.00,0.00
336,149752579.45,0.00,0.00
337,149825607.30,0.00,0.00
338,150239390.13,0.00,0.00
339,150552898.88,0.00,0.00
340,150624112.61,0.00,0.00
341,151703021.76,0.00,0.00
342,152098661.90,0.00,0.00
343,152863381.86,0.00,0.00
344,153242511.51,0.00,0.00
345,153283968.21,0.00,0.00
346,153368720.77,0.00,0.00
347,153613558.53,0.00,0.00
348,153826886.18,0.00,0.00
349,154260500.91,0.00,0.00
350,154657126.19,0.00,0.00
351,155044472.22,0.00,0.00
352,155087327.96,0.00,0.00
353,155484232.43,0.00,0.00
354,156227690.46,0.00,0.00
355,156310859.68,0.00,0.00
356,157018194.44,0.00,0.00
357,158550289.15,0.00,0.00
358,160311094.28,0.00,0.00
359,160574108.12,0.00,0.00
360,160834319.11,0.00,0.00
361,161393838.64,0.00,0.00
362,161741958.62,0.00,0.00
363,161883963.11,0.00,0.00
364,162419833.42,0.00,0.00
365,162487127.78,0.00,0.00
366,162834355.35,0.00,0.00
367,163343561.65,0.00,0.00
368,163770664.22,0.00,0.00
369,164115807.53,0.00,0.00
370,164988787.65,0.00,0.00
371,165260970.59,0.00,0.00
372,166571987.39,0.00,0.00
373,166977920.53,0.00,0.00
374,167283729.55,0.00,0.00
375,167839302.06,0.00,0.00
376,167967430.83,0.00,0.00
377,168583805.32,0.00,0.00
378,169324573.04,0.00,0.00
379,169394027.47,0.00,0.00
380,169842402.70,0.00,0.00
381,170470339.30,0.00,0.00
382,170875943.90,0.00,0.00
383,172000852.35,0.00,0.00
384,172257631.78,0.00,0.00
385,174382751.46,0.00,0.00
386,174526880.74,0.00,0.00
387,174851542.47,0.00,0.00
388,175146491.29,0.00,0.00
389,175633016.59,0.00,0.00
390,175700173.62,0.00,0.00
391,176134080.17,0.00,0.00
392,176758034.71,0.00,0.00
393,177298789.98,0.00,0.00
394,177975661.99,0.00,0.00
395,178526377.44,0.00,0.00
396,179134968.28,0.00,0.00
397,179693025.83,0.00,0.00
398,180234765.77,0.00,0.00
399,180525358.20,0.00,0.00
400,181010106.33,0.00,0.00
401,181084079.27,0.00,0.00
402,181217537.16,0.00,0.00
403,182135558.13,0.00,0.00
404,182693256.14,0.00,0.00
405,183226122.38,0.00,0.00
406,183858464.72,0.00,0.00
407,185300286.53,0.00,0.00
408,185554677.96,0.00,0.00
409,185620143.65,0.00,0.00
410,186294645.79,0.00,0.00
411,186379179.95,0.00,0.00
412,186626972.91,0.00,0.00
413,186694499.73,0.00,0.00
414,187131052.49,0.00,0.00
415,187524320.84,0.00,0.00
416,187840552.81,0.00,0.00
417,188284962.18,0.00,0.00
418,188635127.07,0.00,0.00
419,188719290.26,0.00,0.00
420,189329573.63,0.00,0.00
421,189396360.64,0.00,0.00
422,189616437.44,0.00,0.00
423,190079565.29,0.00,0.00
424,190504535.91,0.00,0.00
425,190547253.85,0.00,0.00
426,191064021.35,0.00,0.00
427,191745529.89,0.00,0.00
428,192103504.90,0.00,0.00
429,192504736.42,0.00,0.00
430,193373235.46,0.00,0.00
431,195582957.51,0.00,0.00
432,195660116.43,0.00,0.00
433,195728252.65,0.00,0.00
434,196389981.99,0.00,0.00
435,196791619.06,0.00,0.00
436,198975666.52,0.00,0.00
