task_index,total_latency_ms,scheduling_latency_ms,execution_latency_ms
0,315994.98,0.00,0.00
1,532030.34,0.00,0.00
2,721416.71,0.00,0.00
3,1062768.46,0.00,0.00
4,1040500.40,0.00,0.00
5,1149610.04,0.00,0.00
6,1464422.23,0.00,0.00
7,1680177.21,0.00,0.00
8,1856671.09,0.00,0.00
9,1877748.97,0.00,0.00
10,1957969.43,0.00,0.00
11,1980730.53,0.00,0.00
12,1966583.73,0.00,0.00
13,2173556.33,0.00,0.00
14,2474663.50,0.00,0.00
15,2320810.08,0.00,0.00
16,2373024.46,0.00,0.00
17,2548430.68,0.00,0.00
18,2851202.96,0.00,0.00
19,2760218.62,0.00,0.00
20,2788280.96,0.00,0.00
21,2714628.93,0.00,0.00
22,2735604.29,0.00,0.00
23,3118201.02,0.00,0.00
24,3379017.11,0.00,0.00
25,3774272.68,0.00,0.00
26,3663661.24,0.00,0.00
27,4007853.51,0.00,0.00
28,3671099.66,0.00,0.00
29,4123437.17,0.00,0.00
30,4107417.58,0.00,0.00
31,4222992.90,0.00,0.00
32,4787395.24,0.00,0.00
33,4669244.29,0.00,0.00
34,4873045.44,0.00,0.00
35,4811844.59,0.00,0.00
36,4564300.78,0.00,0.00
37,4853244.30,0.00,0.00
38,4895295.14,0.00,0.00
39,4936318.64,0.00,0.00
40,4877299.79,0.00,0.00
41,5164459.47,0.00,0.00
42,4906975.27,0.00,0.00
43,5439199.21,0.00,0.00
44,5464932.92,0.00,0.00
45,5330065.49,0.00,0.00
46,5489873.89,0.00,0.00
47,5386257.41,0.00,0.00
48,5626590.25,0.00,0.00
49,5962765.46,0.00,0.00
50,5979125.26,0.00,0.00
51,5967038.15,0.00,0.00
52,6003020.76,0.00,0.00
53,6044732.33,0.00,0.00
54,6388873.82,0.00,0.00
55,6393252.61,0.00,0.00
56,6404299.97,0.00,0.00
57,6803128.48,0.00,0.00
58,6573457.24,0.00,0.00
59,6816020.97,0.00,0.00
60,7242297.17,0.00,0.00
61,7487614.15,0.00,0.00
62,7280345.92,0.00,0.00
63,7537021.16,0.00,0.00
64,7538476.23,0.00,0.00
65,7498286.72,0.00,0.00
66,7810028.55,0.00,0.00
67,7543654.68,0.00,0.00
